method,seed,step,edge_type,sender,receiver,weight
greedy_tree_path,CA1 Pyramidal,1,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,CA1 Pyramidal,2,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,CA1 Pyramidal,3,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,CA1 Pyramidal,4,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,CA1 Pyramidal,5,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,CA1 Pyramidal,6,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,CA1 Pyramidal,7,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,CA1 Pyramidal,8,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,CA1 Pyramidal,9,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,CA1 Pyramidal,10,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,CA1 Pyramidal,11,transition,CA3c Pyramidal,CA2 Pyramidal,24424.53581944845
greedy_tree_path,CA1 Pyramidal,12,transition,CA2 Pyramidal,DG Mossy,4836.413875657298
greedy_tree_path,CA1 Pyramidal,13,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,CA1 Pyramidal,14,transition,DG Hilar Ectopic Granule,CA3 Pyramidal,0.0133035385226386
greedy_tree_path,CA1 Pyramidal,15,transition,CA3 Pyramidal,CA1 Radiatum Giant,303.66294985857763
greedy_tree_path,CA1 Radiatum Giant,1,transition,CA1 Radiatum Giant,CA1 Pyramidal,52.52606827667822
greedy_tree_path,CA1 Radiatum Giant,2,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,CA1 Radiatum Giant,3,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,CA1 Radiatum Giant,4,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,CA1 Radiatum Giant,5,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,CA1 Radiatum Giant,6,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,CA1 Radiatum Giant,7,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,CA1 Radiatum Giant,8,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,CA1 Radiatum Giant,9,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,CA1 Radiatum Giant,10,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,CA1 Radiatum Giant,11,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,CA1 Radiatum Giant,12,transition,CA3c Pyramidal,CA2 Pyramidal,24424.53581944845
greedy_tree_path,CA1 Radiatum Giant,13,transition,CA2 Pyramidal,DG Mossy,4836.413875657298
greedy_tree_path,CA1 Radiatum Giant,14,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,CA1 Radiatum Giant,15,transition,DG Hilar Ectopic Granule,CA3 Pyramidal,0.0133035385226386
greedy_tree_path,CA2 Pyramidal,1,transition,CA2 Pyramidal,CA1 Pyramidal,5532.563189259333
greedy_tree_path,CA2 Pyramidal,2,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,CA2 Pyramidal,3,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,CA2 Pyramidal,4,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,CA2 Pyramidal,5,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,CA2 Pyramidal,6,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,CA2 Pyramidal,7,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,CA2 Pyramidal,8,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,CA2 Pyramidal,9,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,CA2 Pyramidal,10,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
