seed,bb_weight,dp_weight,bb_length,dp_length,bb_terminus,dp_terminus,weight_difference_dp_minus_bb
CA1 Pyramidal,133423.0292978634,61577.71957728488,24,4,CA3 Granule,DG Mossy,-71845.30972057852
CA1 Radiatum Giant,133475.55536614006,61630.24564556156,25,5,CA3 Granule,DG Mossy,-71845.3097205785
CA2 Pyramidal,128210.21142468057,145723.68374686144,25,5,CA1 Radiatum Giant,DG Mossy,17513.472322180867
CA3 Granule,214153.05860028183,150286.63799014583,29,6,CA1 Radiatum Giant,DG Mossy,-63866.420610136
CA3 Pyramidal,139012.46732972658,150285.69597126252,28,5,CA1 Radiatum Giant,DG Mossy,11273.228641535941
CA3c Pyramidal,214480.6996172044,147187.32934066665,28,5,CA3 Granule,DG Mossy,-67293.37027653775
DG Granule,202981.9206122129,146202.77389131868,28,5,CA3 Granule,MEC LV VI Pyramidal Polymorphic,-56779.146720894234
DG Hilar Ectopic Granule,80485.66591266615,150285.70927480108,25,6,CA1 Radiatum Giant,DG Mossy,69800.04336213492
DG Mossy,170915.23658289076,132031.51109627297,28,6,CA3 Granule,MEC LV VI Pyramidal Polymorphic,-38883.7254866178
DG Semilunar Granule,172535.17238795164,150349.91474987887,28,6,CA3 Granule,DG Mossy,-22185.25763807277
EC LI II Multipolar Pyramidal,220641.58049510556,129387.09715552849,20,4,CA1 Radiatum Giant,CA1 Pyramidal,-91254.48333957707
EC LI II Pyramidal Fan,228114.01760195318,117456.23332964274,21,4,CA1 Radiatum Giant,CA1 Pyramidal,-110657.78427231044
EC LII III Pyramidal Tripolar,232244.06169885187,113531.91343162605,24,4,CA1 Radiatum Giant,CA1 Pyramidal,-118712.14826722583
EC LIII Pyramidal,138395.67995068483,96993.61823825716,25,4,CA3 Granule,CA1 Pyramidal,-41402.061712427676
EC LIII Pyramidal Stellate,142184.53192520654,90474.29632285325,24,4,CA3 Granule,CA1 Pyramidal,-51710.23560235329
EC LIII Stellate,219353.1364135805,90289.4715648583,24,4,CA1 Radiatum Giant,CA1 Pyramidal,-129063.66484872221
EC LIII V Bipolar Pyramidal,145060.1756774032,97206.87989814453,26,4,CA3 Granule,CA1 Pyramidal,-47853.29577925867
EC LIV VI Deep Multipolar Principal,136786.64471042476,97459.9354324922,26,4,CA3 Granule,CA1 Pyramidal,-39326.70927793256
EC LV Deep Pyramidal,136484.19937138673,97153.2542367543,26,4,CA3 Granule,CA1 Pyramidal,-39330.94513463242
LEC LIII Complex Pyramidal,220736.75029636052,94167.10313878124,20,4,CA1 Radiatum Giant,CA1 Pyramidal,-126569.64715757928
LEC LIII Multipolar Principal,143743.26083996645,94175.8566577482,26,4,CA3 Granule,CA1 Pyramidal,-49567.40418221825
LEC LVI Multipolar Pyramidal,137308.2437021637,90268.64355266205,24,4,CA3 Granule,CA1 Pyramidal,-47039.60014950164
MEC LII III Pyramidal Multiform,137899.99787034604,105560.6600470898,26,4,CA3 Granule,CA1 Pyramidal,-32339.33782325624
MEC LII Oblique Pyramidal,226106.23716999684,90231.62893970466,28,4,CA1 Radiatum Giant,CA1 Pyramidal,-135874.60823029216
MEC LII Stellate,230528.89843912577,118817.21194184356,29,4,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,-111711.68649728221
MEC LIII Bipolar Complex Pyramidal,230973.9907462514,105521.14413704081,25,4,CA1 Radiatum Giant,CA1 Pyramidal,-125452.84660921058
MEC LIII Complex Pyramidal,231311.95628027228,106445.65185989958,29,4,CA1 Radiatum Giant,CA1 Pyramidal,-124866.3044203727
MEC LV Multipolar Pyramidal,231469.79164425572,97096.56668962711,29,4,CA1 Radiatum Giant,CA1 Pyramidal,-134373.22495462862
MEC LV Pyramidal,208179.92328274035,120293.11600550936,25,4,CA3 Granule,CA1 Pyramidal,-87886.80727723098
MEC LV Superficial Pyramidal,226053.46580290186,105387.57962368772,27,4,CA1 Radiatum Giant,CA1 Pyramidal,-120665.88617921414
MEC LV VI Pyramidal Polymorphic,137299.15952357117,97546.71139837561,26,5,CA3 Granule,CA1 Pyramidal,-39752.44812519556
SUB CA1 Projecting Pyramidal,133529.2378614637,61683.9281408852,25,5,CA3 Granule,DG Mossy,-71845.30972057852
