seed,length_edges__branch_and_bound,length_edges__dynamic_programming,length_edges__greedy_tree_path,length_edges__maximum_spanning_tree,length_edges__maximum_weight_asymmetric_hamiltonian_path,length_edges__milp_subtour_elimination,n_nodes_visited__branch_and_bound,n_nodes_visited__dynamic_programming,n_nodes_visited__greedy_tree_path,n_nodes_visited__maximum_spanning_tree,n_nodes_visited__maximum_weight_asymmetric_hamiltonian_path,n_nodes_visited__milp_subtour_elimination,summed_weight__branch_and_bound,summed_weight__dynamic_programming,summed_weight__greedy_tree_path,summed_weight__maximum_spanning_tree,summed_weight__maximum_weight_asymmetric_hamiltonian_path,summed_weight__milp_subtour_elimination,terminus__branch_and_bound,terminus__dynamic_programming,terminus__greedy_tree_path,terminus__maximum_spanning_tree,terminus__maximum_weight_asymmetric_hamiltonian_path,terminus__milp_subtour_elimination,transition_weight_sum__branch_and_bound,transition_weight_sum__dynamic_programming,transition_weight_sum__greedy_tree_path,transition_weight_sum__maximum_spanning_tree,transition_weight_sum__maximum_weight_asymmetric_hamiltonian_path,transition_weight_sum__milp_subtour_elimination
CA1 Pyramidal,24,4,15,6,31,29,25,5,16,7,32,30,133423.0292978634,61577.71957728488,70463.83456151624,58407.13279806113,138363.44205473232,155964.94569185676,CA3 Granule,DG Mossy,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA3 Granule,133423.0292978634,61577.71957728488,70463.83456151624,58407.13279806113,138363.44205473232,155964.94569185676
CA1 Radiatum Giant,25,5,15,3,31,29,26,6,16,4,32,30,133475.55536614006,61630.24564556156,70212.69767993434,99174.25456563932,138407.68039697158,143278.11500291023,CA3 Granule,DG Mossy,CA3 Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal,CA2 Pyramidal,133475.55536614006,61630.24564556156,70212.69767993434,99174.25456563932,138407.68039697158,143278.11500291023
CA2 Pyramidal,25,5,16,3,31,28,26,6,17,4,32,29,128210.21142468057,145723.68374686144,98803.64714458957,101386.52098062955,184864.16885884324,217745.4785721496,CA1 Radiatum Giant,DG Mossy,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,128210.21142468057,145723.68374686144,98803.64714458957,101386.52098062955,184864.16885884324,217745.4785721496
CA3 Granule,29,6,15,7,31,29,30,7,16,8,32,30,214153.05860028183,150286.63799014583,118053.76242369786,111573.68975652223,194266.4705787545,224463.25185374386,CA1 Radiatum Giant,DG Mossy,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,214153.05860028183,150286.63799014583,118053.76242369786,111573.68975652223,194266.4705787545,224463.25185374386
CA3 Pyramidal,28,5,15,4,31,28,29,6,16,5,32,29,139012.46732972658,150285.69597126252,110967.27295280102,113853.82304223813,138415.95481947047,224462.30983486056,CA1 Radiatum Giant,DG Mossy,DG Hilar Ectopic Granule,MEC LV VI Pyramidal Polymorphic,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,139012.46732972658,150285.69597126252,110967.27295280102,113853.82304223813,138415.95481947047,224462.30983486056
CA3c Pyramidal,28,5,14,2,31,29,29,6,15,3,32,30,214480.6996172044,147187.32934066665,143811.1955212624,99174.25456563932,138413.68731172703,222843.04305800734,CA3 Granule,DG Mossy,DG Hilar Ectopic Granule,MEC LV VI Pyramidal Polymorphic,CA3 Granule,CA3 Granule,214480.6996172044,147187.32934066665,143811.1955212624,99174.25456563932,138413.68731172703,222843.04305800734
DG Granule,28,5,16,3,31,29,29,6,17,4,32,30,202981.9206122129,146202.77389131868,184146.61118735807,100976.7660440129,213918.94930939205,232916.87994843567,CA3 Granule,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA3 Granule,202981.9206122129,146202.77389131868,184146.61118735807,100976.7660440129,213918.94930939205,232916.87994843567
DG Hilar Ectopic Granule,25,6,15,4,31,28,26,7,16,5,32,29,80485.66591266615,150285.70927480108,52707.12536318414,100976.7660440129,165146.09065013603,219817.78873346877,CA1 Radiatum Giant,DG Mossy,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Semilunar Granule,80485.66591266615,150285.70927480108,52707.12536318414,100976.7660440129,165146.09065013603,219817.78873346877
DG Mossy,28,6,15,4,31,28,29,7,16,5,32,29,170915.23658289076,132031.51109627297,139237.90120878708,101945.01634302066,190024.34007684488,209451.6434461126,CA3 Granule,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA3 Granule,170915.23658289076,132031.51109627297,139237.90120878708,101945.01634302066,190024.34007684488,209451.6434461126
DG Semilunar Granule,28,6,16,5,31,29,29,7,17,6,32,30,172535.17238795164,150349.91474987887,144393.00700757426,107100.12214180779,211887.44138517848,230885.3720242221,CA3 Granule,DG Mossy,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA3 Granule,172535.17238795164,150349.91474987887,144393.00700757426,107100.12214180779,211887.44138517848,230885.3720242221
