method,seed,step,edge_type,sender,receiver,weight
greedy_tree_path,CA1 Pyramidal,1,self_connection,CA1 Pyramidal,CA1 Pyramidal,2793.7555172355333
greedy_tree_path,CA1 Pyramidal,2,self_connection,MEC LV VI Pyramidal Polymorphic,MEC LV VI Pyramidal Polymorphic,1336.06008642144
greedy_tree_path,CA1 Pyramidal,3,self_connection,EC LIV VI Deep Multipolar Principal,EC LIV VI Deep Multipolar Principal,1969.34413375272
greedy_tree_path,CA1 Pyramidal,4,self_connection,LEC LVI Multipolar Pyramidal,LEC LVI Multipolar Pyramidal,212.6675576452901
greedy_tree_path,CA1 Pyramidal,5,self_connection,LEC LIII Multipolar Principal,LEC LIII Multipolar Principal,496.4095848183002
greedy_tree_path,CA1 Pyramidal,6,self_connection,LEC LIII Complex Pyramidal,LEC LIII Complex Pyramidal,744.1845437655309
greedy_tree_path,CA1 Pyramidal,7,self_connection,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,360.1830629372671
greedy_tree_path,CA1 Pyramidal,8,self_connection,MEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,1453.7180710081302
greedy_tree_path,CA1 Pyramidal,11,self_connection,CA3c Pyramidal,CA3c Pyramidal,639.8640695461409
greedy_tree_path,CA1 Pyramidal,12,self_connection,CA2 Pyramidal,CA2 Pyramidal,2163.138288508038
greedy_tree_path,CA1 Pyramidal,13,self_connection,DG Mossy,DG Mossy,1751.260654032912
greedy_tree_path,CA1 Pyramidal,14,self_connection,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,0.9213810801264162
greedy_tree_path,CA1 Pyramidal,15,self_connection,CA3 Pyramidal,CA3 Pyramidal,3278.450765697168
greedy_tree_path,CA1 Pyramidal,1,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,CA1 Pyramidal,2,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,CA1 Pyramidal,3,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,CA1 Pyramidal,4,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,CA1 Pyramidal,5,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,CA1 Pyramidal,6,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,CA1 Pyramidal,7,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,CA1 Pyramidal,8,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,CA1 Pyramidal,9,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,CA1 Pyramidal,10,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,CA1 Pyramidal,11,transition,CA3c Pyramidal,CA2 Pyramidal,24424.53581944845
greedy_tree_path,CA1 Pyramidal,12,transition,CA2 Pyramidal,DG Mossy,4836.413875657298
