seed,bb_weight,dp_weight,bb_length,dp_length,bb_terminus,dp_terminus,weight_difference_dp_minus_bb
CA1 Pyramidal,182775.85376983005,69288.80919274729,27,4,CA3 Granule,MEC LIII Bipolar Complex Pyramidal,-113487.04457708276
CA1 Radiatum Giant,182828.37983810672,69341.33526102395,28,5,CA3 Granule,MEC LIII Bipolar Complex Pyramidal,-113487.04457708276
CA2 Pyramidal,172331.17335970557,153636.9470036915,14,5,DG Hilar Ectopic Granule,DG Mossy,-18694.226356014085
CA3 Granule,173464.57337111002,159315.213724165,30,6,CA1 Radiatum Giant,DG Mossy,-14149.359646945028
CA3 Pyramidal,178025.53557432152,159314.2717052817,14,5,DG Hilar Ectopic Granule,DG Mossy,-18711.26386903983
CA3c Pyramidal,249353.9607024293,155538.2830256752,25,5,CA3 Granule,MEC LIII Bipolar Complex Pyramidal,-93815.6776767541
DG Granule,172370.22872123437,152724.63559963484,14,5,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,-19645.593121599522
DG Hilar Ectopic Granule,173436.70643826592,159315.20638990038,14,6,DG Semilunar Granule,DG Mossy,-14121.500048365531
DG Mossy,130556.49738417269,147380.0578761905,13,6,DG Granule,EC LII III Pyramidal Tripolar,16823.5604920178
DG Semilunar Granule,135752.20787694067,159419.09517787886,14,6,DG Granule,DG Mossy,23666.887300938193
EC LI II Multipolar Pyramidal,179705.3259272045,151116.79520251226,27,4,CA3 Granule,CA1 Pyramidal,-28588.530724692246
EC LI II Pyramidal Fan,186953.62172840434,121261.52875851309,24,4,DG Hilar Ectopic Granule,CA1 Pyramidal,-65692.09296989125
EC LII III Pyramidal Tripolar,183644.89731148494,119243.75224184495,25,4,CA3 Granule,CA1 Pyramidal,-64401.145069639984
EC LIII Pyramidal,182949.80685123987,101010.02761567898,27,4,CA3 Granule,CA1 Pyramidal,-81939.7792355609
EC LIII Pyramidal Stellate,187652.1244969947,96545.39681492929,27,4,CA3 Granule,CA1 Pyramidal,-91106.7276820654
EC LIII Stellate,183412.23720709299,96061.07353063828,27,4,CA3 Granule,CA1 Pyramidal,-87351.1636764547
EC LIII V Bipolar Pyramidal,181724.06744369553,101677.56940630182,28,4,CA3 Granule,CA1 Pyramidal,-80046.49803739371
EC LIV VI Deep Multipolar Principal,193616.36873140367,103428.14388053401,29,4,CA1 Radiatum Giant,CA1 Pyramidal,-90188.22485086965
EC LV Deep Pyramidal,185615.01331112898,101550.29675334367,28,4,CA1 Radiatum Giant,CA1 Pyramidal,-84064.7165577853
LEC LIII Complex Pyramidal,179263.12192497446,99884.17405944239,27,4,CA3 Granule,DG Mossy,-79378.94786553207
LEC LIII Multipolar Principal,179561.90500594012,99931.2350580449,27,4,CA3 Granule,DG Mossy,-79630.66994789522
LEC LVI Multipolar Pyramidal,191380.03565841683,96192.2285394461,28,4,CA1 Radiatum Giant,CA1 Pyramidal,-95187.80711897073
MEC LII III Pyramidal Multiform,179094.9813932021,109302.0769406497,28,4,CA3 Granule,CA1 Pyramidal,-69792.9044525524
MEC LII Oblique Pyramidal,183065.93095065493,95942.54636884344,23,4,DG Hilar Ectopic Granule,CA1 Pyramidal,-87123.3845818115
MEC LII Stellate,189827.2875651616,123586.89161504668,29,4,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,-66240.39595011491
MEC LIII Bipolar Complex Pyramidal,179322.7876758331,109131.3792115673,25,4,CA3 Granule,CA1 Pyramidal,-70191.4084642658
MEC LIII Complex Pyramidal,190703.20400819025,111332.98951768938,29,4,CA1 Radiatum Giant,CA1 Pyramidal,-79370.21449050088
MEC LV Multipolar Pyramidal,183332.20502010337,101297.21798466967,28,4,CA3 Granule,CA1 Pyramidal,-82034.9870354337
MEC LV Pyramidal,182175.58348957522,124292.90170087857,25,4,CA1 Radiatum Giant,CA1 Pyramidal,-57882.681788696646
MEC LV Superficial Pyramidal,179149.20934609193,108925.34269811686,25,4,CA3 Granule,CA1 Pyramidal,-70223.86664797507
MEC LV VI Pyramidal Polymorphic,186888.72118820625,104850.97993283886,29,5,CA1 Radiatum Giant,CA1 Pyramidal,-82037.7412553674
SUB CA1 Projecting Pyramidal,183842.30517979272,70355.26060270997,28,5,CA3 Granule,MEC LIII Bipolar Complex Pyramidal,-113487.04457708275
