method,seed,length_edges,n_nodes_visited,transition_weight_sum,self_weight_sum,summed_weight,n_self_connections_included,terminus,path,annealing_iterations,annealing_initial_temperature,annealing_cooling_rate,annealing_score,bb_states_seen,bb_status,dp_mode
greedy_tree_path,CA1 Pyramidal,15,16,70463.83456151624,17199.957716448596,87663.79227796484,13,CA1 Radiatum Giant,CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,CA1 Radiatum Giant,15,16,70212.69767993434,17199.957716448596,87412.65539638294,13,CA3 Pyramidal,CA1 Radiatum Giant -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal,,,,,,,
greedy_tree_path,CA2 Pyramidal,16,17,98803.64714458957,17199.957716448596,116003.60486103817,13,CA1 Radiatum Giant,CA2 Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> DG Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,CA3 Granule,15,16,118053.76242369786,17199.9577164486,135253.72014014647,13,CA1 Radiatum Giant,CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,CA3 Pyramidal,15,16,110967.27295280102,17199.957716448596,128167.23066924962,13,DG Hilar Ectopic Granule,CA3 Pyramidal -> CA2 Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> DG Granule -> DG Mossy -> DG Hilar Ectopic Granule,,,,,,,
greedy_tree_path,CA3c Pyramidal,14,15,143811.1955212624,17199.957716448596,161011.153237711,13,DG Hilar Ectopic Granule,CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3 Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule,,,,,,,
greedy_tree_path,DG Granule,16,17,184146.61118735807,17199.957716448596,201346.56890380668,13,CA1 Radiatum Giant,DG Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3 Pyramidal -> CA2 Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,DG Hilar Ectopic Granule,15,16,52707.12536318414,13921.50695075143,66628.63231393557,12,CA1 Radiatum Giant,DG Hilar Ectopic Granule -> DG Mossy -> DG Granule -> CA2 Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,DG Mossy,15,16,139237.90120878708,17199.957716448596,156437.8589252357,13,CA1 Radiatum Giant,DG Mossy -> DG Hilar Ectopic Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3 Pyramidal -> CA2 Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,DG Semilunar Granule,16,17,144393.00700757426,17240.562410429426,161633.56941800367,14,CA1 Radiatum Giant,DG Semilunar Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3 Pyramidal -> CA2 Pyramidal -> CA1 Radiatum Giant,,,,,,,
