seed,length_edges__branch_and_bound,length_edges__dynamic_programming,length_edges__greedy_tree_path,length_edges__greedy_tree_simulated_annealing,length_edges__maximum_spanning_tree,n_nodes_visited__branch_and_bound,n_nodes_visited__dynamic_programming,n_nodes_visited__greedy_tree_path,n_nodes_visited__greedy_tree_simulated_annealing,n_nodes_visited__maximum_spanning_tree,n_self_connections_included__branch_and_bound,n_self_connections_included__dynamic_programming,n_self_connections_included__greedy_tree_path,n_self_connections_included__greedy_tree_simulated_annealing,n_self_connections_included__maximum_spanning_tree,self_weight_sum__branch_and_bound,self_weight_sum__dynamic_programming,self_weight_sum__greedy_tree_path,self_weight_sum__greedy_tree_simulated_annealing,self_weight_sum__maximum_spanning_tree,summed_weight__branch_and_bound,summed_weight__dynamic_programming,summed_weight__greedy_tree_path,summed_weight__greedy_tree_simulated_annealing,summed_weight__maximum_spanning_tree,terminus__branch_and_bound,terminus__dynamic_programming,terminus__greedy_tree_path,terminus__greedy_tree_simulated_annealing,terminus__maximum_spanning_tree,transition_weight_sum__branch_and_bound,transition_weight_sum__dynamic_programming,transition_weight_sum__greedy_tree_path,transition_weight_sum__greedy_tree_simulated_annealing,transition_weight_sum__maximum_spanning_tree
CA1 Pyramidal,27,4,15,22,6,28,5,16,23,7,25,5,13,20,4,40384.370672723504,23756.414865184834,17199.957716448596,39035.92290259122,22100.45250799231,182775.85376983005,69288.80919274729,87663.79227796484,180872.15365746466,80507.58530605344,CA3 Granule,MEC LIII Bipolar Complex Pyramidal,CA1 Radiatum Giant,CA3 Granule,CA3 Granule,142391.48309710654,45532.39432756245,70463.83456151624,141836.23075487342,58407.13279806113
CA1 Radiatum Giant,28,5,15,20,3,29,6,16,21,4,25,5,13,17,3,40384.370672723504,23756.414865184834,17199.957716448596,38257.74681353083,4769.679673203114,182828.37983810672,69341.33526102395,87412.65539638294,176065.7762919015,103943.93423884243,CA3 Granule,MEC LIII Bipolar Complex Pyramidal,CA3 Pyramidal,CA2 Pyramidal,MEC LV VI Pyramidal Polymorphic,142444.0091653832,45584.92039583912,70212.69767993434,137808.02947837068,99174.25456563932
CA2 Pyramidal,14,5,16,23,3,15,6,17,24,4,12,5,13,21,4,36000.493963822235,7913.263256830038,17199.957716448596,39214.65025249659,6932.817961711152,172331.17335970557,153636.9470036915,116003.60486103817,177017.33215627182,108319.33894234069,DG Hilar Ectopic Granule,DG Mossy,CA1 Radiatum Giant,DG Hilar Ectopic Granule,MEC LV VI Pyramidal Polymorphic,136330.67939588334,145723.68374686144,98803.64714458957,137802.68190377523,101386.52098062955
CA3 Granule,30,6,15,20,7,31,7,16,21,8,26,5,13,16,5,40488.514160370956,9028.575734019169,17199.9577164486,35014.43497543727,23436.51259441375,173464.57337111002,159315.213724165,135253.72014014647,240308.3256361486,135010.202350936,CA1 Radiatum Giant,DG Mossy,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,132976.05921073907,150286.63799014583,118053.76242369786,205293.89066071133,111573.68975652223
CA3 Pyramidal,14,5,15,14,4,15,6,16,15,5,12,5,13,13,5,36000.49396382224,9028.575734019169,17199.957716448596,36668.966412305,10211.268727408318,178025.53557432152,159314.2717052817,128167.23066924962,210619.76914275403,124065.09176964645,DG Hilar Ectopic Granule,DG Mossy,DG Hilar Ectopic Granule,CA3 Granule,MEC LV VI Pyramidal Polymorphic,142025.04161049926,150285.69597126252,110967.27295280102,173950.80273044904,113853.82304223813
CA3c Pyramidal,25,5,14,20,2,26,6,15,21,3,23,6,13,19,3,40306.141072949555,24396.278934730974,17199.957716448596,38952.30652169436,4769.679673203114,249353.9607024293,155538.2830256752,161011.153237711,244485.19625908398,103943.93423884243,CA3 Granule,MEC LIII Bipolar Complex Pyramidal,DG Hilar Ectopic Granule,CA3 Granule,MEC LV VI Pyramidal Polymorphic,209047.81962947972,131142.00409094422,143811.1955212624,205532.88973738963,99174.25456563932
DG Granule,14,5,16,23,3,15,6,17,24,4,11,5,13,20,3,35959.88926984141,6521.8617083161525,17199.957716448596,38250.2995078023,4769.679673203114,172370.22872123437,152724.63559963484,201346.56890380668,253564.15975521604,105746.445717216,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,136410.33945139294,146202.77389131868,184146.61118735807,215313.86024741374,100976.7660440129
DG Hilar Ectopic Granule,14,6,15,28,4,15,7,16,29,5,12,6,12,25,4,36000.49396382224,9029.497115099295,13921.50695075143,40117.759699362425,4770.601054283241,173436.70643826592,159315.20638990038,66628.63231393557,244266.7010932927,105747.36709829613,DG Semilunar Granule,DG Mossy,CA1 Radiatum Giant,CA3 Granule,MEC LV VI Pyramidal Polymorphic,137436.21247444366,150285.70927480108,52707.12536318414,204148.9413939303,100976.7660440129
DG Mossy,13,6,15,17,4,14,7,16,18,5,11,6,13,14,4,35959.88926984141,26323.501270881196,17199.957716448596,36729.65094894621,6520.940327236026,130556.49738417269,147380.0578761905,156437.8589252357,230508.9330102496,108465.95667025668,DG Granule,EC LII III Pyramidal Tripolar,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,94596.60811433128,121056.5566053093,139237.90120878708,193779.28206130338,101945.01634302066
DG Semilunar Granule,14,6,16,18,5,15,7,17,19,6,12,6,14,16,5,36000.49396382224,9069.180427999996,17240.562410429426,37630.371137796166,6561.545021216854,135752.20787694067,159419.09517787886,161633.56941800367,216979.79692413725,113661.66716302464,DG Granule,DG Mossy,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,99751.71391311842,150349.91474987887,144393.00700757426,179349.42578634107,107100.12214180779
