seed,length_edges__boltzmann_path_sampling,length_edges__branch_and_bound,length_edges__greedy_tree_path,length_edges__maximum_spanning_tree,length_edges__monte_carlo_tree_search,length_edges__weighted_random_walk_ensemble,n_nodes_visited__boltzmann_path_sampling,n_nodes_visited__branch_and_bound,n_nodes_visited__greedy_tree_path,n_nodes_visited__maximum_spanning_tree,n_nodes_visited__monte_carlo_tree_search,n_nodes_visited__weighted_random_walk_ensemble,summed_weight__boltzmann_path_sampling,summed_weight__branch_and_bound,summed_weight__greedy_tree_path,summed_weight__maximum_spanning_tree,summed_weight__monte_carlo_tree_search,summed_weight__weighted_random_walk_ensemble,terminus__boltzmann_path_sampling,terminus__branch_and_bound,terminus__greedy_tree_path,terminus__maximum_spanning_tree,terminus__monte_carlo_tree_search,terminus__weighted_random_walk_ensemble,transition_weight_sum__boltzmann_path_sampling,transition_weight_sum__branch_and_bound,transition_weight_sum__greedy_tree_path,transition_weight_sum__maximum_spanning_tree,transition_weight_sum__monte_carlo_tree_search,transition_weight_sum__weighted_random_walk_ensemble
CA1 Pyramidal,21,24,15,6,20,22,22,25,16,7,21,23,142391.57466517514,133423.0292978634,70463.83456151624,58407.13279806113,135092.4687868105,134815.91633967584,CA3 Granule,CA3 Granule,CA1 Radiatum Giant,CA3 Granule,CA3 Granule,CA3 Granule,142391.57466517514,133423.0292978634,70463.83456151624,58407.13279806113,135092.4687868105,134815.91633967584
CA1 Radiatum Giant,21,25,15,3,28,24,22,26,16,4,29,25,140081.01505946854,133475.55536614006,70212.69767993434,99174.25456563932,139525.16402544404,137057.59337688825,CA3 Granule,CA3 Granule,CA3 Pyramidal,MEC LV VI Pyramidal Polymorphic,CA3 Granule,CA3 Pyramidal,140081.01505946854,133475.55536614006,70212.69767993434,99174.25456563932,139525.16402544404,137057.59337688825
CA2 Pyramidal,19,25,16,3,26,20,20,26,17,4,27,21,196634.8970374558,128210.21142468057,98803.64714458957,101386.52098062955,201723.26644167711,196150.41541654145,CA3 Granule,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA3 Granule,CA3 Granule,196634.8970374558,128210.21142468057,98803.64714458957,101386.52098062955,201723.26644167711,196150.41541654145
CA3 Granule,21,29,15,7,25,25,22,30,16,8,26,26,210108.59701448394,214153.05860028183,118053.76242369786,111573.68975652223,211418.7995984235,206408.98665908218,CA1 Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,210108.59701448394,214153.05860028183,118053.76242369786,111573.68975652223,211418.7995984235,206408.98665908218
CA3 Pyramidal,21,28,15,4,25,21,22,29,16,5,26,22,211265.64131510752,139012.46732972658,110967.27295280102,113853.82304223813,205742.85366650487,196426.95350456488,DG Hilar Ectopic Granule,CA1 Radiatum Giant,DG Hilar Ectopic Granule,MEC LV VI Pyramidal Polymorphic,DG Hilar Ectopic Granule,CA3 Granule,211265.64131510752,139012.46732972658,110967.27295280102,113853.82304223813,205742.85366650487,196426.95350456488
CA3c Pyramidal,21,28,14,2,25,21,22,29,15,3,26,22,207789.59334826714,214480.6996172044,143811.1955212624,99174.25456563932,212889.62999531787,199699.25495017477,CA3 Granule,CA3 Granule,DG Hilar Ectopic Granule,MEC LV VI Pyramidal Polymorphic,CA3 Granule,CA3 Granule,207789.59334826714,214480.6996172044,143811.1955212624,99174.25456563932,212889.62999531787,199699.25495017477
DG Granule,23,28,16,3,25,27,24,29,17,4,26,28,222173.804721568,202981.9206122129,184146.61118735807,100976.7660440129,222297.70249503743,209438.1984829873,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA3 Granule,CA1 Radiatum Giant,222173.804721568,202981.9206122129,184146.61118735807,100976.7660440129,222297.70249503743,209438.1984829873
DG Hilar Ectopic Granule,21,25,15,4,24,23,22,26,16,5,25,24,193667.63833302035,80485.66591266615,52707.12536318414,100976.7660440129,208897.11358025743,182992.31644566118,DG Semilunar Granule,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA3 Granule,CA3 Granule,193667.63833302035,80485.66591266615,52707.12536318414,100976.7660440129,208897.11358025743,182992.31644566118
DG Mossy,17,28,15,4,29,18,18,29,16,5,30,19,197547.75670058595,170915.23658289076,139237.90120878708,101945.01634302066,200593.9204327239,190771.7053018985,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA3 Granule,197547.75670058595,170915.23658289076,139237.90120878708,101945.01634302066,200593.9204327239,190771.7053018985
DG Semilunar Granule,16,28,16,5,21,18,17,29,17,6,22,19,214283.14954410758,172535.17238795164,144393.00700757426,107100.12214180779,222026.45823708366,207652.63671567774,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,214283.14954410758,172535.17238795164,144393.00700757426,107100.12214180779,222026.45823708366,207652.63671567774
