table_type,method,seed,sender,receiver,visit_count,visit_probability,weight
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,416,0.208,13564.64480225756
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,465,0.2325,86.77596588341953
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,MEC LIII Complex Pyramidal,86,0.043,1427.516326568439
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Complex Pyramidal,EC LII III Pyramidal Tripolar,34,0.017,158.0456038737529
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,31,0.0155,1661.9274787853765
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal,EC LIII Stellate,12,0.006,16.121135143574193
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Stellate,EC LIII Pyramidal Stellate,67,0.0335,91.4501088515022
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal Stellate,SUB CA1 Projecting Pyramidal,109,0.0545,389.79456390732304
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,SUB CA1 Projecting Pyramidal,CA1 Radiatum Giant,392,0.196,8.28772603741471
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA1 Pyramidal,LEC LVI Multipolar Pyramidal,408,0.204,10569.009270094895
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,245,0.1225,304.0317537911717
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Multipolar Principal,EC LIII Stellate,127,0.0635,407.20715251546153
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Stellate,MEC LIII Complex Pyramidal,95,0.0475,165.81222907217855
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Complex Pyramidal,MEC LII Oblique Pyramidal,104,0.052,569.2148212010752
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Oblique Pyramidal,MEC LIII Bipolar Complex Pyramidal,24,0.012,57.5389943157286
