table_type,method,seed,terminal,count,probability
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,CA1 Radiatum Giant,878,0.439
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,CA3 Granule,155,0.0775
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Complex Pyramidal,23,0.0115
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,97,0.0485
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Complex Pyramidal,38,0.019
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Multipolar Principal,44,0.022
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,CA2 Pyramidal,35,0.0175
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,DG Mossy,29,0.0145
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Bipolar Complex Pyramidal,34,0.017
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,DG Hilar Ectopic Granule,63,0.0315
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,54,0.027
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,DG Granule,54,0.027
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,SUB CA1 Projecting Pyramidal,22,0.011
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,EC LII III Pyramidal Tripolar,37,0.0185
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Multipolar Pyramidal,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal Stellate,34,0.017
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,CA3 Pyramidal,28,0.014
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,EC LI II Multipolar Pyramidal,17,0.0085
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,DG Semilunar Granule,21,0.0105
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,25,0.0125
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,EC LV Deep Pyramidal,36,0.018
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,CA3c Pyramidal,36,0.018
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Stellate,33,0.0165
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal,15,0.0075
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII III Pyramidal Multiform,23,0.0115
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Stellate,22,0.011
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Oblique Pyramidal,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Pyramidal,32,0.016
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LVI Multipolar Pyramidal,42,0.021
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,EC LI II Pyramidal Fan,3,0.0015
terminal_distribution,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Superficial Pyramidal,16,0.008
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,EC LII III Pyramidal Tripolar,22,0.011
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,EC LI II Multipolar Pyramidal,23,0.0115
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,SUB CA1 Projecting Pyramidal,531,0.2655
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,DG Semilunar Granule,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,CA3 Pyramidal,201,0.1005
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,LEC LIII Multipolar Principal,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,MEC LV Multipolar Pyramidal,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,CA3 Granule,211,0.1055
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,LEC LVI Multipolar Pyramidal,48,0.024
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,EC LIII Pyramidal Stellate,40,0.02
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,MEC LII III Pyramidal Multiform,24,0.012
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,DG Granule,67,0.0335
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,CA1 Pyramidal,88,0.044
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,CA3c Pyramidal,31,0.0155
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,MEC LV Superficial Pyramidal,16,0.008
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,100,0.05
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,EC LIV VI Deep Multipolar Principal,48,0.024
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,MEC LIII Complex Pyramidal,55,0.0275
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,DG Mossy,40,0.02
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,EC LV Deep Pyramidal,41,0.0205
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,EC LIII V Bipolar Pyramidal,36,0.018
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,CA2 Pyramidal,62,0.031
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,LEC LIII Complex Pyramidal,21,0.0105
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,MEC LIII Bipolar Complex Pyramidal,29,0.0145
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,MEC LV Pyramidal,25,0.0125
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,MEC LII Oblique Pyramidal,19,0.0095
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,MEC LII Stellate,17,0.0085
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,DG Hilar Ectopic Granule,68,0.034
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,EC LIII Stellate,35,0.0175
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,EC LIII Pyramidal,15,0.0075
terminal_distribution,weighted_random_walk_ensemble,CA1 Radiatum Giant,EC LI II Pyramidal Fan,6,0.003
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,LEC LIII Multipolar Principal,32,0.016
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,CA1 Radiatum Giant,717,0.3585
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,EC LIII V Bipolar Pyramidal,23,0.0115
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,DG Mossy,64,0.032
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,MEC LIII Complex Pyramidal,43,0.0215
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,EC LIII Stellate,26,0.013
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,CA1 Pyramidal,81,0.0405
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,EC LV Deep Pyramidal,37,0.0185
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,LEC LVI Multipolar Pyramidal,33,0.0165
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,CA3c Pyramidal,69,0.0345
