,CA1 Pyramidal,CA1 Radiatum Giant,CA2 Pyramidal,CA3 Granule,CA3 Pyramidal,CA3c Pyramidal,DG Granule,DG Hilar Ectopic Granule,DG Mossy,DG Semilunar Granule,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Pyramidal,2793.7555172355333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5659.759259805604,5382.001268082903,6927.87660371489,0.0,3004.906539138589,10569.009270094895,0.0,0.0,0.0,0.0,0.0,3851.18781666244,3424.360693274852,1316.2618620442718,13564.64480225756,4318.325857573143
CA1 Radiatum Giant,52.52606827667822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA2 Pyramidal,5532.563189259333,263.0645063940111,2163.138288508038,592.9863345985209,1188.4585744965177,2212.266414990227,0.0,2250.306876192298,4836.413875657298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Granule,0.0,0.0,0.0,0.0,0.942018883295193,2.280811281935155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Pyramidal,11063.052901714414,303.66294985857763,12467.302061608583,3063.7033025481774,3278.450765697168,6774.278639391325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3c Pyramidal,85609.60976338176,4064.510468839344,24424.53581944845,376.32060309984416,382.3961213101277,639.8640695461409,7159.489110348726,4595.549003214172,968.4094182875258,350.2833916824777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.4402227874016
DG Granule,0.0,0.0,3360.733225493062,0.0,234.86430763410192,1802.511478373572,0.0,25114.71428869603,44908.709978571016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG Hilar Ectopic Granule,0.0,0.0,0.0,0.0,0.0133035385226386,0.0550567880071112,0.0,0.9213810801264162,1.6138578915994803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG Mossy,0.0,0.0,0.0,0.0,0.0,0.0,968.2502990077752,2119.754290320353,1751.260654032912,50.6486718617241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG Semilunar Granule,0.0,0.0,0.0,0.0,64.21877861632397,197.66611097545177,488.2288969219253,4588.842439594102,5155.105798787127,40.60469398082807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EC LI II Multipolar Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18296.078460202098,2685.199892837623,28854.49238765121,24063.94192432837,18633.40329894681,29349.85984134182,6342.237378644648,0.0,2817.227604211794,17153.888049247696,9033.652786408917,0.0,21388.04746977641,16023.203768902797,24134.5300159425,30698.001365671505,13875.828485835094,0.0,2330.70790758652,1237.9281482028966,0.0,0.0
EC LI II Pyramidal Fan,0.0,0.0,0.0,0.0,0.0,0.0,6731.854220776941,2338.0641895595686,0.0,580.9097213417157,7472.437106847604,370.7544610085407,2133.663497412967,1657.9926157766406,1904.8043400508457,2959.488332103365,685.3833295401618,0.0,426.2149282942818,1704.5371540697847,1013.3603797170751,0.0,2164.0184874065267,2398.327204041387,4889.474401375084,2053.916011230272,3029.1334003804022,0.0,688.9052098564124,389.0107918291259,0.0,687.3512535869128
EC LII III Pyramidal Tripolar,0.0,0.0,0.0,0.0,0.0,0.0,2807.534322760256,958.451675236712,0.0,236.3870433024337,4216.395703649579,372.0363013112631,2277.297842357101,1661.9274787853765,1645.5753097666966,2760.010200610732,635.0999918117437,0.0,402.69113718335626,1473.3354903489894,618.570176482825,0.0,1991.8124765410728,1831.767241236225,3189.046054691212,1362.2531513924373,2488.1460458320303,0.0,470.4055175072192,438.2727778018677,0.0,436.50277366050136
