injection_seed,sender,receiver,edge_present,weight
CA1 Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
CA2 Pyramidal,CA2 Pyramidal,CA1 Back Projection,1,9268.651902533784
CA3 Granule,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
CA3 Granule,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
CA3 Granule,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
CA3 Pyramidal,CA3 Pyramidal,CA1 Back Projection,1,163494.90567997436
CA3c Pyramidal,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
CA3c Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
DG Granule,DG Granule,DG Mossy,1,44908.709978571016
DG Granule,DG Mossy,DG Hilar Ectopic Granule,1,2119.754290320353
DG Granule,DG Hilar Ectopic Granule,CA3c Pyramidal,1,0.0550567880071112
DG Granule,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
DG Granule,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,DG Mossy,1,1.6138578915994803
DG Hilar Ectopic Granule,DG Mossy,DG Granule,1,968.2502990077752
DG Hilar Ectopic Granule,DG Granule,CA2 Pyramidal,1,3360.733225493062
DG Hilar Ectopic Granule,CA2 Pyramidal,CA1 Back Projection,1,9268.651902533784
DG Mossy,DG Mossy,DG Hilar Ectopic Granule,1,2119.754290320353
DG Mossy,DG Hilar Ectopic Granule,CA3c Pyramidal,1,0.0550567880071112
DG Mossy,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
DG Mossy,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
DG Semilunar Granule,DG Semilunar Granule,DG Mossy,1,5155.105798787127
DG Semilunar Granule,DG Mossy,DG Hilar Ectopic Granule,1,2119.754290320353
DG Semilunar Granule,DG Hilar Ectopic Granule,CA3c Pyramidal,1,0.0550567880071112
DG Semilunar Granule,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
DG Semilunar Granule,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
EC LI II Multipolar Pyramidal,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,1,30698.001365671505
EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,1,861.1914192115519
EC LI II Multipolar Pyramidal,MEC LIII Complex Pyramidal,MEC LII Stellate,1,1193.0847203135872
