injection_seed,step,sender,receiver,weight
CA1 Pyramidal,1,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
CA2 Pyramidal,1,CA2 Pyramidal,CA1 Back Projection,9268.651902533784
CA3 Granule,1,CA3 Granule,CA3c Pyramidal,2.280811281935155
CA3 Granule,2,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
CA3 Granule,3,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
CA3 Pyramidal,1,CA3 Pyramidal,CA1 Back Projection,163494.90567997436
CA3c Pyramidal,1,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
CA3c Pyramidal,2,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
DG Granule,1,DG Granule,DG Mossy,44908.709978571016
DG Granule,2,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
DG Granule,3,DG Hilar Ectopic Granule,CA3c Pyramidal,0.0550567880071112
DG Granule,4,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
DG Granule,5,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
DG Hilar Ectopic Granule,1,DG Hilar Ectopic Granule,DG Mossy,1.6138578915994803
DG Hilar Ectopic Granule,2,DG Mossy,DG Granule,968.2502990077752
DG Hilar Ectopic Granule,3,DG Granule,CA2 Pyramidal,3360.733225493062
DG Hilar Ectopic Granule,4,CA2 Pyramidal,CA1 Back Projection,9268.651902533784
DG Mossy,1,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
DG Mossy,2,DG Hilar Ectopic Granule,CA3c Pyramidal,0.0550567880071112
DG Mossy,3,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
DG Mossy,4,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
DG Semilunar Granule,1,DG Semilunar Granule,DG Mossy,5155.105798787127
DG Semilunar Granule,2,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
DG Semilunar Granule,3,DG Hilar Ectopic Granule,CA3c Pyramidal,0.0550567880071112
DG Semilunar Granule,4,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
DG Semilunar Granule,5,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
EC LI II Multipolar Pyramidal,1,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,30698.001365671505
EC LI II Multipolar Pyramidal,2,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,861.1914192115519
EC LI II Multipolar Pyramidal,3,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
EC LI II Multipolar Pyramidal,4,MEC LII Stellate,CA3 Granule,19640.6765649223
EC LI II Multipolar Pyramidal,5,CA3 Granule,CA3c Pyramidal,2.280811281935155
EC LI II Multipolar Pyramidal,6,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
EC LI II Multipolar Pyramidal,7,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
EC LI II Pyramidal Fan,1,EC LI II Pyramidal Fan,EC LI II Multipolar Pyramidal,7472.437106847604
EC LI II Pyramidal Fan,2,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,30698.001365671505
EC LI II Pyramidal Fan,3,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,861.1914192115519
EC LI II Pyramidal Fan,4,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
EC LI II Pyramidal Fan,5,MEC LII Stellate,CA3 Granule,19640.6765649223
EC LI II Pyramidal Fan,6,CA3 Granule,CA3c Pyramidal,2.280811281935155
EC LI II Pyramidal Fan,7,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
EC LI II Pyramidal Fan,8,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
EC LII III Pyramidal Tripolar,1,EC LII III Pyramidal Tripolar,EC LI II Multipolar Pyramidal,4216.395703649579
EC LII III Pyramidal Tripolar,2,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,30698.001365671505
EC LII III Pyramidal Tripolar,3,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,861.1914192115519
EC LII III Pyramidal Tripolar,4,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
EC LII III Pyramidal Tripolar,5,MEC LII Stellate,CA3 Granule,19640.6765649223
EC LII III Pyramidal Tripolar,6,CA3 Granule,CA3c Pyramidal,2.280811281935155
EC LII III Pyramidal Tripolar,7,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
EC LII III Pyramidal Tripolar,8,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
EC LIII Pyramidal,1,EC LIII Pyramidal,CA1 Pyramidal,399.8181948870682
EC LIII Pyramidal,2,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
EC LIII Pyramidal Stellate,1,EC LIII Pyramidal Stellate,CA1 Pyramidal,5351.494110639728
EC LIII Pyramidal Stellate,2,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
EC LIII Stellate,1,EC LIII Stellate,MEC LIII Complex Pyramidal,165.81222907217855
EC LIII Stellate,2,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
EC LIII Stellate,3,MEC LII Stellate,CA3 Granule,19640.6765649223
EC LIII Stellate,4,CA3 Granule,CA3c Pyramidal,2.280811281935155
EC LIII Stellate,5,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
EC LIII Stellate,6,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
EC LIII V Bipolar Pyramidal,1,EC LIII V Bipolar Pyramidal,LEC LIII Multipolar Principal,1092.637693563088
EC LIII V Bipolar Pyramidal,2,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
EC LIII V Bipolar Pyramidal,3,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
EC LIII V Bipolar Pyramidal,4,EC LIII Pyramidal Stellate,CA1 Pyramidal,5351.494110639728
EC LIII V Bipolar Pyramidal,5,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
EC LIV VI Deep Multipolar Principal,1,EC LIV VI Deep Multipolar Principal,MEC LV VI Pyramidal Polymorphic,2582.023382309931
EC LIV VI Deep Multipolar Principal,2,MEC LV VI Pyramidal Polymorphic,EC LV Deep Pyramidal,78.22850736136446
EC LIV VI Deep Multipolar Principal,3,EC LV Deep Pyramidal,LEC LVI Multipolar Pyramidal,608.8907703194651
EC LIV VI Deep Multipolar Principal,4,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
EC LIV VI Deep Multipolar Principal,5,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
EC LIV VI Deep Multipolar Principal,6,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
EC LIV VI Deep Multipolar Principal,7,EC LIII Pyramidal Stellate,CA1 Pyramidal,5351.494110639728
EC LIV VI Deep Multipolar Principal,8,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
EC LV Deep Pyramidal,1,EC LV Deep Pyramidal,MEC LV VI Pyramidal Polymorphic,633.5577406795122
EC LV Deep Pyramidal,2,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
EC LV Deep Pyramidal,3,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
EC LV Deep Pyramidal,4,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
EC LV Deep Pyramidal,5,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
EC LV Deep Pyramidal,6,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
EC LV Deep Pyramidal,7,EC LIII Pyramidal Stellate,CA1 Pyramidal,5351.494110639728
EC LV Deep Pyramidal,8,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
LEC LIII Complex Pyramidal,1,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,814.9191961799069
LEC LIII Complex Pyramidal,2,LEC LIII Multipolar Principal,EC LI II Multipolar Pyramidal,539.4518276519966
LEC LIII Complex Pyramidal,3,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,30698.001365671505
LEC LIII Complex Pyramidal,4,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,861.1914192115519
LEC LIII Complex Pyramidal,5,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
LEC LIII Complex Pyramidal,6,MEC LII Stellate,CA3 Granule,19640.6765649223
LEC LIII Complex Pyramidal,7,CA3 Granule,CA3c Pyramidal,2.280811281935155
LEC LIII Complex Pyramidal,8,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
LEC LIII Complex Pyramidal,9,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
LEC LIII Multipolar Principal,1,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
LEC LIII Multipolar Principal,2,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
LEC LIII Multipolar Principal,3,EC LIII Pyramidal Stellate,CA1 Pyramidal,5351.494110639728
LEC LIII Multipolar Principal,4,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
LEC LVI Multipolar Pyramidal,1,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
LEC LVI Multipolar Pyramidal,2,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
LEC LVI Multipolar Pyramidal,3,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
LEC LVI Multipolar Pyramidal,4,EC LIII Pyramidal Stellate,CA1 Pyramidal,5351.494110639728
LEC LVI Multipolar Pyramidal,5,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
MEC LII III Pyramidal Multiform,1,MEC LII III Pyramidal Multiform,MEC LV VI Pyramidal Polymorphic,1304.0113874450217
MEC LII III Pyramidal Multiform,2,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
MEC LII III Pyramidal Multiform,3,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
MEC LII III Pyramidal Multiform,4,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
MEC LII III Pyramidal Multiform,5,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
MEC LII III Pyramidal Multiform,6,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
MEC LII III Pyramidal Multiform,7,EC LIII Pyramidal Stellate,CA1 Pyramidal,5351.494110639728
MEC LII III Pyramidal Multiform,8,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
MEC LII Oblique Pyramidal,1,MEC LII Oblique Pyramidal,MEC LIII Complex Pyramidal,455.4398944649327
MEC LII Oblique Pyramidal,2,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
MEC LII Oblique Pyramidal,3,MEC LII Stellate,CA3 Granule,19640.6765649223
MEC LII Oblique Pyramidal,4,CA3 Granule,CA3c Pyramidal,2.280811281935155
MEC LII Oblique Pyramidal,5,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
MEC LII Oblique Pyramidal,6,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
MEC LII Stellate,1,MEC LII Stellate,CA3 Granule,19640.6765649223
MEC LII Stellate,2,CA3 Granule,CA3c Pyramidal,2.280811281935155
MEC LII Stellate,3,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
MEC LII Stellate,4,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
MEC LIII Bipolar Complex Pyramidal,1,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,861.1914192115519
MEC LIII Bipolar Complex Pyramidal,2,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
MEC LIII Bipolar Complex Pyramidal,3,MEC LII Stellate,CA3 Granule,19640.6765649223
MEC LIII Bipolar Complex Pyramidal,4,CA3 Granule,CA3c Pyramidal,2.280811281935155
MEC LIII Bipolar Complex Pyramidal,5,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
MEC LIII Bipolar Complex Pyramidal,6,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
MEC LIII Complex Pyramidal,1,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
MEC LIII Complex Pyramidal,2,MEC LII Stellate,CA3 Granule,19640.6765649223
MEC LIII Complex Pyramidal,3,CA3 Granule,CA3c Pyramidal,2.280811281935155
MEC LIII Complex Pyramidal,4,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
MEC LIII Complex Pyramidal,5,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
MEC LV Multipolar Pyramidal,1,MEC LV Multipolar Pyramidal,MEC LIII Complex Pyramidal,457.2402797600769
MEC LV Multipolar Pyramidal,2,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
MEC LV Multipolar Pyramidal,3,MEC LII Stellate,CA3 Granule,19640.6765649223
MEC LV Multipolar Pyramidal,4,CA3 Granule,CA3c Pyramidal,2.280811281935155
MEC LV Multipolar Pyramidal,5,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
MEC LV Multipolar Pyramidal,6,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
MEC LV Pyramidal,1,MEC LV Pyramidal,DG Granule,9568.736896643586
MEC LV Pyramidal,2,DG Granule,DG Mossy,44908.709978571016
MEC LV Pyramidal,3,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
MEC LV Pyramidal,4,DG Hilar Ectopic Granule,CA3c Pyramidal,0.0550567880071112
MEC LV Pyramidal,5,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
MEC LV Pyramidal,6,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
MEC LV Superficial Pyramidal,1,MEC LV Superficial Pyramidal,MEC LIII Complex Pyramidal,495.9622533998108
MEC LV Superficial Pyramidal,2,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
MEC LV Superficial Pyramidal,3,MEC LII Stellate,CA3 Granule,19640.6765649223
MEC LV Superficial Pyramidal,4,CA3 Granule,CA3c Pyramidal,2.280811281935155
MEC LV Superficial Pyramidal,5,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
MEC LV Superficial Pyramidal,6,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
MEC LV VI Pyramidal Polymorphic,1,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
MEC LV VI Pyramidal Polymorphic,2,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
MEC LV VI Pyramidal Polymorphic,3,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
MEC LV VI Pyramidal Polymorphic,4,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
MEC LV VI Pyramidal Polymorphic,5,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
MEC LV VI Pyramidal Polymorphic,6,EC LIII Pyramidal Stellate,CA1 Pyramidal,5351.494110639728
MEC LV VI Pyramidal Polymorphic,7,CA1 Pyramidal,CA1 Back Projection,13696.70368235844
SUB CA1 Projecting Pyramidal,1,SUB CA1 Projecting Pyramidal,CA1 Back Projection,477.1459483921526
