injection_seed,ordered_path
CA1 Back Projection,CA1 Back Projection
CA1 Pyramidal,CA1 Pyramidal -> CA1 Back Projection
CA2 Pyramidal,CA2 Pyramidal -> CA1 Back Projection
CA3 Granule,CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> CA1 Back Projection
CA3 Pyramidal,CA3 Pyramidal -> CA1 Back Projection
CA3c Pyramidal,CA3c Pyramidal -> CA1 Pyramidal -> CA1 Back Projection
DG Granule,DG Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3c Pyramidal -> CA1 Pyramidal -> CA1 Back Projection
DG Hilar Ectopic Granule,DG Hilar Ectopic Granule -> DG Mossy -> DG Granule -> CA2 Pyramidal -> CA1 Back Projection
DG Mossy,DG Mossy -> DG Hilar Ectopic Granule -> CA3c Pyramidal -> CA1 Pyramidal -> CA1 Back Projection
DG Semilunar Granule,DG Semilunar Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3c Pyramidal -> CA1 Pyramidal -> CA1 Back Projection
EC LI II Multipolar Pyramidal,EC LI II Multipolar Pyramidal -> MEC LIII Bipolar Complex Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> CA1 Back Projection
EC LI II Pyramidal Fan,EC LI II Pyramidal Fan -> EC LI II Multipolar Pyramidal -> MEC LIII Bipolar Complex Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> CA1 Back Projection
EC LII III Pyramidal Tripolar,EC LII III Pyramidal Tripolar -> EC LI II Multipolar Pyramidal -> MEC LIII Bipolar Complex Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> CA1 Back Projection
EC LIII Pyramidal,EC LIII Pyramidal -> CA1 Pyramidal -> CA1 Back Projection
EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate -> CA1 Pyramidal -> CA1 Back Projection
EC LIII Stellate,EC LIII Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> CA1 Back Projection
