response_target,DG Granule,DG Hilar Ectopic Granule,DG Semilunar Granule,DG Mossy,DG AIPRIM,DG Axo Axonic,DG Basket,DG HICAP,DG HIPP,DG HIPROM,DG MOLAX,DG Total Molecular Layer,DG MOPP,DG Neurogliaform,CA3 Pyramidal,CA3c Pyramidal,CA3 Granule,CA3 Axo Axonic,CA3 Horizontal Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Trilaminar,CA2 Pyramidal,CA2 Basket,CA2 Wide Arbor Basket,CA2 Bistratified,CA2 SP SR,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Horizontal Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 Recurrent O LM,CA1 O LMR,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 OR LM,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radiatum,CA1 Schaffer Collateral Associated,CA1 SO SO,CA1 Trilaminar,CA1 Radial Trilaminar,SUB CA1 Projecting Pyramidal,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LII III Pyramidal Multiform,EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,EC LV Deep Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,LEC LVI Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron
DG Granule,1.0,0.18311961298038595,0.000255421575386332,0.3269165316050264,1.6311052365362197,1.4107997576398532,0.2508775185485621,0.6379793329557392,0.10350131608197877,0.23087257405452938,0.33370539213964623,0.3227337205178772,0.0003591953288682132,0.00023169506475436048,0.0017656136415632698,0.013418703125068447,0.000328957564240385,0.07205504878590133,0.0009500656866609969,0.0793817129787643,0.010632060841588182,0.015737372837073542,0.07056872238784336,0.013811048099046978,0.12242612046577554,0.051674223189922056,0.0023369103502614195,0.00027532055350132877,0.028145892584559948,0.347018286039671,0.11362038600051501,0.17488119898867963,0.003846676688246664,0.019087229117052847,0.0008433090201973669,0.03220693629413428,0.01186780142446502,0.016104599314702057,0.07420811564749974,0.009611009455715134,0.07090553281330668,0.04072993286933116,0.01655528850127834,0.07267097923871332,0.00034821202162990976,0.0007181713491322625,0.004696280417756462,0.007217429414674674,0.004819500213852982,0.05854624775801685,0.0009734602456691247,0.08572510905000903,0.17624075846873902,0.22268099002645317,0.030799104052593413,0.1335493863736563,0.03324654371561185,0.020570411884895702,0.019202939978749722,0.12222605769036268,0.025109663879552015,0.003977915268536431,3.1547191170703096e-05,2.688084714329165e-06,1.918847117137219e-05,3.4035026202192016e-05,3.147317797111625e-05,3.9424496924256125e-05,0.0010450977784987002,8.927154670680158e-05,0.00012939703174064246,4.237666182662057e-05,3.303580428127296e-05,8.179849844107778e-05,4.146609533714593e-05,0.0018238741876174128,0.0017697786706267636,0.0012624886254013225,0.0011055474524034909,0.002235830748826636,0.0004507302635270901,0.004451951129585897,0.0034041409029076306,0.0006489547375439336,3.8082273729279314e-05
DG Hilar Ectopic Granule,9.574921777554859e-08,1.0,9.331242379360299e-09,1.170618350873287e-05,5.84310456952131e-05,4.1191813889076745e-05,9.153691430004284e-06,1.9776444689061444e-05,3.80748973638325e-06,8.371870236807974e-06,1.11681719964554e-05,1.0772061000233274e-05,1.2293553386134324e-08,7.92490177070513e-09,8.774978217035023e-08,3.9121782749773486e-07,5.329000777921671e-09,4.962914930820461e-06,1.8549437581478622e-08,6.281889361129638e-06,5.706614931567233e-07,3.422878860995114e-07,1.0746864421684548e-05,1.3569746828974936e-06,1.3987078440684834e-06,2.7199038563007967e-06,3.951342062170411e-08,5.251058269247516e-09,1.5187024342649165e-07,5.744852638814135e-07,2.0383776711039444e-07,5.836731015613854e-07,1.0952729853245615e-07,5.048167556164207e-07,2.2493949677633187e-08,8.751907284311918e-07,3.1898559441877995e-07,4.380539426386933e-07,2.0243211580235726e-06,2.9783519668699143e-07,1.9779496144878485e-06,1.1265354882433546e-06,4.6014666173095085e-07,1.920846036074747e-06,8.769587837445774e-09,2.3925291351004085e-08,1.2222266098135533e-07,1.8109418582898096e-07,1.235698887427155e-07,1.5906537779701987e-06,2.6047276025274984e-08,2.178555208477154e-06,4.4831168605234774e-06,5.734923224339797e-06,8.368898253541709e-07,3.1457661416591923e-06,8.496513526916831e-07,5.282401177036203e-07,4.894428156500211e-07,3.13700371452322e-06,7.318484264622168e-07,9.887699634787321e-08,8.185205453912322e-10,7.005452262560806e-11,4.991927998784388e-10,8.83123028297283e-10,8.155667172753812e-10,1.0226005810458204e-09,2.7550184628425854e-08,2.3322725709974925e-09,3.37836846458635e-09,1.0971549597695879e-09,8.565689070070147e-10,2.1377547792355492e-09,1.0751472885242063e-09,4.8029932365104286e-08,4.6617788799373566e-08,3.325397669796758e-08,2.9114224649330223e-08,5.887916580294177e-08,1.1879276877462806e-08,1.1726604878068099e-07,8.964291602408679e-08,1.680149768582613e-08,9.880903298488506e-10
DG Semilunar Granule,0.0029593971331526663,0.03368874790699508,1.0,0.03855003639871691,0.3215285802257994,0.2562098703490373,0.05964217472256144,0.15054400519898753,0.011936659446935869,0.056535294274163955,0.06317639364952424,0.037325276689618554,5.035807791749905e-05,3.241593367281745e-05,0.000474935841330602,0.0015111263468532733,2.7199204569633153e-05,0.008989682609245436,9.205118655758714e-05,0.007849467413946815,0.0012701332770497194,0.0017376841588817593,0.026937470605583408,0.003406187486547369,0.005009601914487659,0.005235048419471947,0.0001946423858756529,2.542607210389008e-05,0.0007763358896325865,0.004388320385695643,0.0014929592773265854,0.003380640788742505,0.00045038121531429387,0.002029730588799912,9.007252303243776e-05,0.0034975792606244116,0.0015125552165494874,0.0020894306615615926,0.008110499866405062,0.0014271592005953493,0.007875837256608136,0.004489636068611592,0.001828082907795083,0.007662208127765627,3.599346702811508e-05,9.7477278237517e-05,0.0005907084286066165,0.000874636147175829,0.0005893627631101087,0.006347262457431254,0.00012294519629408538,0.008818515043208732,0.017963059673526634,0.023245468561557087,0.0033388643451715814,0.012716854222617868,0.0034022898814555706,0.00211577906312546,0.0023502893559028746,0.015157954805073932,0.002900956420367273,0.00039860614643536787,3.3774574023552296e-06,2.872724049269745e-07,2.0521133669526793e-06,3.6437163864700244e-06,3.3712215161593893e-06,4.221284022205206e-06,0.00011130701335652526,9.534928489720912e-06,1.38247143495154e-05,4.540712205578372e-06,3.537759813764146e-06,8.735421348733007e-06,4.440562369674554e-06,0.00019423822683308932,0.00018845258097825726,0.00013443696962588816,0.00011773672274375778,0.0002381091575712318,4.798231891575306e-05,0.000474066011551417,0.0003625365525467055,6.95369938778804e-05,4.07705892125162e-06
DG Mossy,0.006664317295500156,0.016875626221595198,0.00034385737687164114,1.0,0.12838732141815282,0.1404315800832534,0.03126034997683836,0.06275399784715589,0.0054624237432214715,0.020753014080739592,0.03161701959042108,0.028700728607515047,2.835639811785719e-05,1.8455085854252783e-05,2.392585712587732e-05,0.00017908459080086934,4.895409284264331e-06,0.0009576319937690203,1.4091987202990495e-05,0.0010530326978457985,0.00013824200527121053,0.0002075932156014783,0.0009571977977957538,0.00018317387893392907,0.0016133040824484446,0.0006839424429874115,3.464030403482723e-05,4.095752376333376e-06,0.0003862298286350101,0.0046287769156776485,0.0015155197523904547,0.002360159691182508,5.724426763578431e-05,0.0002836514073572565,1.2477827412768007e-05,0.0004780739709527893,0.00017988977873730145,0.00024348912625172506,0.0011010287919356587,0.0001453423868732775,0.0010520510709268347,0.0006053672769010341,0.00024585699656473365,0.0010766198119258042,5.278182123674411e-06,5.229076342991215e-05,7.087935102832079e-05,0.00010927390560810783,7.270888367243396e-05,0.0008706792204459357,1.4785400344999885e-05,0.001275752345969634,0.002617008201802482,0.0033104139642821293,0.0004579417041515882,0.0019850382892561973,0.0004938052709418366,0.0003055092112244623,0.00029054323293741836,0.0018444111859254974,0.0003703368909461755,6.193492631823701e-05,5.15649795185526e-07,4.4292828138789945e-08,3.151688504200839e-07,5.563845700014917e-07,5.136236980294053e-07,6.443778756314123e-07,1.650234101535848e-05,1.430494328416895e-06,2.071223435969675e-06,6.906329375126591e-07,5.396280691790836e-07,1.3114872027754045e-06,6.77286643229813e-07,2.845161047478431e-05,2.7686041743872348e-05,1.9742919635908205e-05,1.7250784885589115e-05,3.487829807739095e-05,7.0977123920120565e-06,6.962741567093087e-05,5.307848178629763e-05,1.0573733409088554e-05,6.228242253652454e-07
DG AIPRIM,0.001611443343553031,0.0026798619434579285,0.00011809191362890382,0.0025486243404303907,1.0,0.018303400966501425,0.006333901177044469,0.01623409905640422,0.0007064770822617619,0.0053782400626351,0.007141871441286355,0.005488636713647954,5.495647762488991e-06,3.577949565801863e-06,5.835399827343087e-06,4.354173222724782e-05,1.190317986993791e-06,0.00023290072169496434,3.4268945225442174e-06,0.0002559558223988,3.3618922925698873e-05,5.047825723793067e-05,0.00023401834521213143,4.466888951624984e-05,0.0003916904047825422,0.00016625979687918716,8.420854907921069e-06,9.959265130278193e-07,9.368708713541455e-05,0.0011229042986819937,0.00036765648295432774,0.0005725547060581838,1.3930575196180252e-05,6.901357630624944e-05,3.036391073729922e-06,0.0001163279718618808,4.386151218591756e-05,5.937742252937026e-05,0.0002679176170173318,3.5457425981184134e-05,0.00025601014469255274,0.00014730085831283512,5.982501400517457e-05,0.0002619673554734114,1.2871900815815494e-06,1.0176912311506748e-05,1.724372058801127e-05,2.664125307821251e-05,1.7687627635724787e-05,0.00021184441485751996,3.6046772978536526e-06,0.0003103563587518046,0.0006366813268774559,0.0008053891480799373,0.00011142212629681786,0.00048284125141897783,0.00012013602732993625,7.43272240353481e-05,7.08387597194028e-05,0.0004497590286801576,9.014645521322459e-05,1.5093752825123821e-05,1.2582350743099036e-07,1.0799716890472937e-08,7.686918119169607e-08,1.3576176688284393e-07,1.2535568973338787e-07,1.5724183119308176e-07,4.021570408888807e-06,3.4853721411303965e-07,5.047065154422285e-07,1.6858170354975043e-07,1.3168904113466423e-07,3.195227790281134e-07,1.6528302439156988e-07,6.9351217743729845e-06,6.748140936151096e-06,4.812136280216329e-06,4.204882036664969e-06,8.501623318569393e-06,1.7297742863249448e-06,1.6970934575361106e-05,1.2938040897322216e-05,2.5810328336005387e-06,1.5197419406822278e-07
DG Axo Axonic,9.419146827083225e-05,8.069408950785814e-05,2.4330066770963974e-08,0.00011732832177421212,0.0003230812215773099,1.0,5.099191694352847e-05,0.00012688243612567177,2.018411824774856e-05,4.583470020193041e-05,6.638166896375795e-05,6.416960451134519e-05,8.01014128242127e-08,5.168642396524229e-08,3.4013305473604027e-07,2.5644706793587267e-06,7.05562826036434e-08,1.370735454649128e-05,2.0345807109951905e-07,1.5094890933828377e-05,1.9824959935360065e-06,2.9749261900106887e-06,1.3520244429989013e-05,2.60723314141159e-06,2.319730817250894e-05,9.805585482844591e-06,5.006552124942853e-07,5.906665453390426e-08,5.541165184590339e-06,6.6594736203119e-05,2.1803649373158776e-05,3.39208156759535e-05,8.234049298183544e-07,4.08272565789207e-06,1.7974810158815522e-07,6.882039595004769e-06,2.612009776924022e-06,3.537129764031996e-06,1.585067064943669e-05,2.1100876458645397e-06,1.5144430285599116e-05,8.711706111406677e-06,3.5385972811208416e-06,1.550579199592665e-05,7.69976507383725e-08,1.6063829119742682e-07,1.0263607577367913e-06,1.5875096487064955e-06,1.0525108704982764e-06,1.2529098722061521e-05,2.1460207896387108e-07,1.8359992235366944e-05,3.767979153922581e-05,4.7648049498612323e-05,6.590012467093728e-06,2.8582660415275403e-05,7.109363858910918e-06,4.398412686253422e-06,4.221310892839117e-06,2.6812085273490482e-05,5.336206529965222e-06,9.006324029979936e-07,7.542881659924762e-09,6.451860171185486e-10,4.598554471188969e-09,8.138272876604246e-09,7.522114916828208e-09,9.428384190067576e-09,2.396865883752489e-07,2.0753056174293164e-08,3.0067577428061536e-08,1.0122764666907985e-08,7.898508310050367e-09,1.902031791273129e-08,9.913491276595529e-09,4.1376265686035473e-07,4.025043849275509e-07,2.870380532612054e-07,2.508652352577506e-07,5.072195817497136e-07,1.0311796122817169e-07,1.0122841479944298e-06,7.719312889881914e-07,1.5498567153920893e-07,9.110312903884641e-09
DG Basket,0.0016969687053577788,0.0006074872146046963,2.126172800521003e-06,0.0011013937813714534,0.0054570386092183155,0.009526378954399454,1.0,0.007934819130247779,0.0006674471040830044,0.0007676426491080967,0.0035179459581983754,0.0037193179714265635,3.5576487923441944e-06,2.315775717936725e-06,6.094050412016293e-06,4.5948535405887256e-05,1.2626862532272579e-06,0.000245568229849869,3.641096521584157e-06,0.00027042945746391217,3.55020745914889e-05,5.329182740048525e-05,0.00024216995554282884,4.669435208279974e-05,0.00041560281278568896,0.00017566478942560563,8.960295979506763e-06,1.0571622643291144e-06,9.936616620283224e-05,0.0011934689620163048,0.0003907509588888199,0.0006080339334472277,1.4733591406176812e-05,7.30519938077943e-05,3.2154278888540427e-06,0.00012313089049274,4.660673562410923e-05,6.31034610078052e-05,0.0002835863688565356,3.7641648433480664e-05,0.000270949027605106,0.00015587683849122377,6.33124786871902e-05,0.00027739869342358905,1.3724339883191172e-06,6.719937404791072e-06,1.8305991291658854e-05,2.8324682533597174e-05,1.877220968272367e-05,0.0002241904188362897,3.829678189227005e-06,0.00032854508200953937,0.0006741854717082011,0.0008525925184040621,0.00011791779715848522,0.0005114578611162019,0.00012720578772793556,7.869909510240735e-05,7.531431155762596e-05,0.00047828186719451064,9.543684828524378e-05,1.6069182055866088e-05,1.34342929528741e-07,1.150494557153085e-08,8.196219813577636e-08,1.44949581490517e-07,1.3392809033875313e-07,1.6791222153933267e-07,4.277575285421221e-06,3.70494496417461e-07,5.366845370666981e-07,1.8018944648824626e-07,1.4065213053643007e-07,3.3959265007179755e-07,1.7653338331635627e-07,7.3815684774195105e-06,7.1813577670300605e-06,5.121181478949628e-06,4.475499507675741e-06,9.048871757190527e-06,1.8401553267738238e-06,1.8060710319081393e-05,1.3771190934829087e-05,2.7587892353250775e-06,1.622613253988613e-07
DG HICAP,3.9971416790199956e-05,3.3636374060314815e-05,2.94318479706133e-06,2.5723493551921213e-05,0.00023323207901560406,0.0002210214216271742,6.337330985012324e-05,1.0,8.160362958196528e-06,5.9030111737586695e-05,0.00010307205346986315,6.509740947925765e-05,7.388271480852349e-08,4.79574621784227e-08,1.4600233120528748e-07,1.088904646526314e-06,2.9836267847218526e-08,5.8248613734314586e-06,8.604224180936274e-08,6.402005528592651e-06,8.415930196857741e-07,1.2627075212317362e-06,5.851934678295757e-06,1.1175070576140175e-06,9.797112617040543e-06,4.159173057290397e-06,2.1148918886251876e-07,2.498444885508435e-08,2.3401279262554034e-06,2.807398228726612e-05,9.191921953010948e-06,1.4310066580292402e-05,3.4909361533464016e-07,1.729507254927913e-06,7.612128001604871e-08,2.9155355139405096e-06,1.1039473826324474e-06,1.4948527187483766e-06,6.715127151281927e-06,8.927708485166863e-07,6.4167169090662746e-06,3.6914369981094164e-06,1.4993479325207408e-06,6.566607442824954e-06,3.2445243082243734e-08,1.3956373957463022e-07,4.33481692262213e-07,6.705959832357856e-07,4.4441492480473245e-07,5.308596136463822e-06,9.070809948531883e-08,7.776593177267262e-06,1.5956080962953224e-05,2.0182461157975062e-05,2.7921597085237354e-06,1.2099194214023861e-05,3.0107111252672023e-06,1.8627193287242434e-06,1.7832190774678362e-06,1.132488571278459e-05,2.2606320999128746e-06,3.798991986087198e-07,3.1755827673671785e-09,2.720648192352425e-10,1.937895169794399e-09,3.4263211052319084e-09,3.1654119851666068e-09,3.9689881157609085e-09,1.0118202328748763e-07,8.764742115040168e-09,1.2695483954934005e-08,4.258464624461957e-09,3.3245185607556214e-09,8.033960724605899e-09,4.172620985796123e-09,1.7458238781809666e-07,1.6985237595905765e-07,1.211248967169683e-07,1.0585089984978509e-07,2.1401616258547344e-07,4.352597938679579e-08,4.2716795483104014e-07,3.2570297097639387e-07,6.519902339955323e-08,3.8355276367579646e-09
DG HIPP,0.0014371354177406374,0.0011562028112688015,0.00012697174183980421,0.0009294420010052617,0.007933175654669977,0.00939039275481362,0.0026777198244783305,0.0053141929116833075,1.0,0.0006281798417890125,0.002387222937061074,0.0020017499537923504,0.0005278818105371244,0.00033326180953002283,5.275019360899279e-06,3.9241036344029334e-05,1.075169392412109e-06,0.00020994613646465116,3.104320739223167e-06,0.00023067279598179013,3.0338613215609062e-05,4.550279837307602e-05,0.00021168509526683457,4.0351502374928435e-05,0.0003526835305109651,0.00014987415487414498,7.630330726298176e-06,9.009696199714574e-07,8.42093673253697e-05,0.001010112712821092,0.0003307323009499567,0.0005149158328641519,1.2583239581410058e-05,6.231830141333112e-05,2.742517035309982e-06,0.00010505216847901103,3.9811101183375645e-05,5.391154568363695e-05,0.00024197907797200195,3.2206747302992874e-05,0.0002312243429102351,0.00013304417269591507,5.4038946205026264e-05,0.00023644757905649813,1.1985698397642806e-06,0.0009018985567025531,1.5633269439666695e-05,2.41815848093212e-05,1.602666233358925e-05,0.00019126934093319657,3.271032890510711e-06,0.0002802449807296385,0.0005748380080466023,0.0007271345027269046,0.00010059575614182715,0.0004359710818148106,0.00010849756279639937,6.711668260539141e-05,6.430401330069553e-05,0.0004084067600568466,8.144063368770674e-05,1.3705247115530951e-05,1.1448860487631646e-07,9.80715745677475e-09,6.985991598396227e-08,1.23528152657734e-07,1.1412689627919361e-07,1.430944532063727e-07,3.6470016348281646e-06,3.158994735813817e-07,4.5758268147559554e-07,1.535408819885657e-07,1.1986088231209176e-07,2.895569634962214e-07,1.504380817552349e-07,6.292943193195808e-06,6.122374699263377e-06,4.365986526738392e-06,3.815464789098854e-06,7.71435861131706e-06,1.5688652544828739e-06,1.539740079104221e-05,1.1740205967400827e-05,2.350782929780464e-06,1.382812581092714e-07
DG HIPROM,2.29177621553035e-06,3.7877892742818517e-06,2.0232799260417053e-07,3.464107986988916e-06,3.503187435602165e-05,2.8619623008294786e-05,9.743021283881199e-06,2.426872724829775e-05,1.0007363242979183e-06,1.0,9.924799249452363e-06,7.916079967602105e-06,3.49440270929553e-07,2.166069026231525e-07,7.589077016653257e-07,1.0439391585876903e-06,1.1594545169613247e-07,4.2813227408354065e-06,1.422227072350257e-06,8.152781397075548e-06,2.1930933898470222e-06,7.451984981112529e-07,6.351671083079661e-06,1.2901595353343326e-06,4.423838803869887e-06,7.248034811576027e-06,4.081484036930041e-06,2.792785027284016e-07,6.406962183680607e-07,3.6151565804370772e-06,1.4585921807485907e-06,2.7752649459619886e-06,3.622747043096962e-07,1.4848262589979e-06,6.465450323549123e-08,2.50913000835074e-06,1.743802440560214e-06,2.472277588899546e-06,5.87812509559749e-06,1.7189463704289725e-06,5.596342498562973e-06,3.2011974260929455e-06,1.2865858096232746e-06,5.421111002880557e-06,2.74612992844399e-08,5.810831872923247e-07,7.140892982847905e-07,1.033379754185362e-06,6.930026562651871e-07,4.53844380298357e-06,1.389157930758584e-07,6.577585419964301e-06,1.2864939053703032e-05,1.7455432448015577e-05,2.38511281296261e-06,9.282902026433507e-06,2.433729329051754e-06,1.5163978308175231e-06,2.7631069763016553e-06,1.8291267229778485e-05,2.0253168248718556e-06,2.866688860272697e-07,2.5012501803714796e-09,2.1222104104848816e-10,1.5174832516083533e-09,2.6983447514831992e-09,2.4984129483251937e-09,3.1267048389809247e-09,8.220763097185099e-08,7.03018184395538e-09,1.0196463050384178e-08,3.3667528076924482e-09,2.6209645988527045e-09,6.439594017612208e-09,3.289817506872343e-09,1.4250376449523937e-07,1.3824165533577958e-07,9.861965157897891e-08,8.637707497723034e-08,1.7468874669249236e-07,3.535250894816245e-08,3.4776092687396215e-07,2.6597894862843746e-07,5.155916156467553e-08,3.0193640776699064e-09
