target,source,i,j,weight,dalpha_dAij,domega_dAij,elasticity_alpha,elasticity_omega,priority,dG_dAij,elasticity_G
CA3c Pyramidal,CA1 Perforant Path Associated QuadD,15,53,0.5632693562402619,2.519073927537245e-09,0.24855123642655885,1.4189171494855321e-09,0.14000129493470892,0.14000129493470892,150.5943718495027,84.825194885076
CA3c Pyramidal,CA1 Perforant Path Associated,15,52,0.46066933387629916,-6.263544076079803e-07,0.1896120122029461,-2.8854226772325224e-07,0.08734843935647589,0.08734843935647589,110.77577874847103,51.03100420568644
CA3 Pyramidal,CA1 Trilaminar,14,59,0.7307825902965321,-1.5046171722841558e-06,0.09201398098755677,-1.099548034566459e-06,0.0672422153695826,0.0672422153695826,94.01770073269833,68.70649887516545
CA3c Pyramidal,CA1 R Receiving Apical Targeting,15,55,0.3124950767118439,-2.2907228566745606e-07,0.1318950202782745,-7.15839614822091e-08,0.04121654447976959,0.04121654447976959,79.33129751241778,24.790639901793103
CA3c Pyramidal,CA1 OR LM,15,51,0.21264469780852047,-1.287423489368771e-07,0.09250132983627095,-2.7376377884841326e-08,0.019669917329920114,0.019669917329920114,56.13704067143402,11.937244049441711
CA3c Pyramidal,CA1 Basket,15,38,0.20989295539505765,-3.779618299535075e-06,0.08788089582233746,-7.933152551546592e-07,0.018445580946915584,0.018445580946915584,49.85320491051132,10.463836514582622
CA3c Pyramidal,CA1 Trilaminar,15,59,0.09876131611833881,-7.020392366995403e-07,0.18602331996788324,-6.933431898316058e-08,0.018371907908731003,0.018371907908731003,144.64599001040932,14.285428344668112
CA3c Pyramidal,CA1 Basket CCK+,15,40,0.20779323920743548,-6.141177147384204e-06,0.08471776359762695,-1.2760950920016421e-06,0.017603778516360667,0.017603778516360667,46.04073660302073,9.566953794238017
CA3c Pyramidal,CA1 LMR,15,43,0.20424433329276998,-9.119820323032254e-08,0.08299025659534413,-1.862671621627577e-08,0.01695028962811197,0.01695028962811197,47.2178910638531,9.643986679827318
CA3 Pyramidal,CA1 Perforant Path Associated QuadD,14,53,0.11776251821536346,5.398903211513782e-09,0.12294258992332592,6.35788437788876e-10,0.014478028985289628,0.014478028985289628,97.89239146319075,11.528054532829492
CA3c Pyramidal,CA1 Oriens Alveus,15,49,0.16135065388402423,-1.6855687451223016e-07,0.06654720829573975,-2.7196761919195752e-08,0.010737435572673969,0.010737435572673969,38.66442251640433,6.238529855070028
EC LI II Multipolar Pyramidal,EC LI II Multipolar Pyramidal,62,62,0.010893289937068442,0.7254101885721266,2.1928785597637178e-07,0.007902103507419668,2.3887661948287247e-09,0.007902103507419668,1.391127762395443,0.015153958055278818
CA3c Pyramidal,CA1 Bistratified,15,41,0.11576325217919088,-1.0402649454809085e-06,0.047144118728545376,-1.2042445321687865e-07,0.005457556505138314,0.005457556505138314,23.901193262966395,2.7668798630843567
