null_model,metric,empirical,null_mean,null_sd,standardized_effect,empirical_percentile,upper_tail_p,n
weight_shuffled,commutator_index,0.9853655860086126,0.6101904205242105,0.0518152106330423,7.240637660269488,1.0,0.0196078431372549,50
weight_shuffled,henrici_index,0.9998761695600968,0.9634744414890062,0.0415724817186755,0.8756207608057711,1.0,0.0196078431372549,50
weight_shuffled,spectral_abscissa,0.01560701803866301,0.25203762871903906,0.20500036872996838,-1.1533179776462177,0.0,1.0,50
weight_shuffled,numerical_abscissa,0.5023791216283382,0.5379711721604021,0.08635530873381851,-0.4121582222787579,0.36,0.6470588235294118,50
weight_shuffled,Gmax_at_90pct_stability,639.412492707557,62.18582689047643,202.8879487243686,2.8450515146233064,0.95,0.09523809523809523,20
direction_randomized,commutator_index,0.9853655860086126,0.6866931829518957,0.07419012243992447,4.025770456148892,1.0,0.0196078431372549,50
direction_randomized,henrici_index,0.9998761695600968,0.9327723938713045,0.026833234198498614,2.500771065924918,1.0,0.0196078431372549,50
direction_randomized,spectral_abscissa,0.01560701803866301,0.2736070419007213,0.06556736899589909,-3.934884498388138,0.0,1.0,50
direction_randomized,numerical_abscissa,0.5023791216283382,0.6222167878372591,0.04048022519461505,-2.960400186332523,0.0,1.0,50
direction_randomized,Gmax_at_90pct_stability,639.412492707557,10.747667122558333,7.3841697543803,85.13683277826512,1.0,0.047619047619047616,20
