node,spectral_abscissa_A_lesion,numerical_abscissa_A_lesion,g_react_lesion,g_stab_lesion,Gmax_screen_lesion,delta_Gmax_screen
CA3c Pyramidal,0.015579159529413517,0.38730506862314995,2.581944004902775,64.1883150443383,96.51984982401629,-81.12507060374654
CA1 Perforant Path Associated QuadD,0.015607014686700957,0.42493527302459133,2.3532995810920343,64.07375273710223,131.49658918846748,-46.148331239295345
CA3 Pyramidal,0.015581799321276998,0.4769008938459907,2.096871725140733,64.17744057546015,144.4836395959938,-33.161280831769034
CA1 Trilaminar,0.015608638315353125,0.47872898818094917,2.0888645239548804,64.06708771106382,148.44383325035133,-29.201087177411495
CA1 Perforant Path Associated,0.015607687368746338,0.4589637517555008,2.178821303806842,64.07099119645702,152.3818696118675,-25.263050815895326
CA1 R Receiving Apical Targeting,0.015607156079821287,0.48051018565798675,2.0811213369611505,64.07317226057053,164.1245673954922,-13.520353032270634
CA2 Pyramidal,0.015583922834026577,0.4994972525747132,2.002013013776133,64.16869556210577,164.40404386631678,-13.240876561446044
CA1 Pyramidal,0.015547899740715115,0.5007467793756057,1.997017337279585,64.31736869136806,167.03237320664928,-10.612547221113545
CA1 OR LM,0.015607071572156324,0.49152797471329013,2.0344721998443798,64.0735191978002,170.77123119631622,-6.873689231446605
CA1 Basket,0.015608364000854916,0.49262278255132563,2.02995077657784,64.06821367987234,172.1650571163248,-5.479863311438038
CA1 LMR,0.015607055046398375,0.49372373555682303,2.025424195723945,64.07358704298086,172.7967999908608,-4.848120436902036
CA1 Basket CCK+,0.015609472300428362,0.49334109836614815,2.026995122262892,64.06366472571642,172.9484418435519,-4.696478584210922
CA1 Oriens Alveus,0.015607072446736115,0.49679246894456297,2.012912961672915,64.07351560728665,174.38085524341386,-3.264065184348965
CA1 Bistratified,0.015607174788620547,0.4995725693754813,2.0017111853240985,64.07309545409312,176.42268651927768,-1.2222339084851512
CA1 Axo Axonic,0.015607047612452133,0.5005846662033872,1.9976640666689953,64.07361756250086,176.58576148093186,-1.0591589468309621
CA1 SO SO,0.015607075715202087,0.5014255437075719,1.9943140363491205,64.07350218887892,176.64313891834914,-1.0017815094136893
CA1 Radiatum,0.015607021757958955,0.5007687670640358,1.9969296525079108,64.073723706449,176.68142621739491,-0.9634942103679123
CA1 Quadrilaminar,0.015607019170593189,0.5008237077403412,1.9967105880667761,64.07373432873102,176.70274825484643,-0.9421721729164005
CA2 Basket,0.01560724008642492,0.5013287489519849,1.9946990913456986,64.07282738411858,176.9023655257921,-0.7425549019707205
DG Granule,0.015598456318722696,0.5023309415636636,1.990719498359357,64.10890793082572,176.92705530213786,-0.717865125624968
CA2 Bistratified,0.015607034578930163,0.5013663880852279,1.9945493430844206,64.07367107073766,176.94411538011406,-0.700805047648771
CA1 Radial Trilaminar,0.015607025024372527,0.5009779614312277,1.9960957906074996,64.07371029638011,176.94865293820482,-0.6962674895580108
CA1 Horizontal Axo Axonic,0.015607033005550408,0.5019884285435681,1.9920777913174725,64.07367753014714,177.21408524964642,-0.4308351781164106
CA1 Horizontal Basket,0.01560735340644943,0.5019546234860552,1.9922119514609489,64.07236217171642,177.27391652693342,-0.3710039008294075
EC LIII Pyramidal Stellate,0.015565923398997953,0.5019791326088968,1.9921146817453912,64.24289612425912,177.3698406271603,-0.27507980060252635
CA1 Schaffer Collateral Associated,0.015607107012851073,0.5017660024208137,1.9929608526193745,64.07337369934021,177.43712193142528,-0.20779849633754566
DG Axo Axonic,0.01560708926324402,0.5022437480450908,1.9910651031343876,64.07344656861048,177.44697049675716,-0.1979499310056667
MEC LII Stellate,0.014878881137871135,0.5023776468210576,1.9905344243076784,67.20935470441427,177.45403506866816,-0.19088535909466486
DG AIPRIM,0.015607936667192708,0.5023007344110598,1.99083921542039,64.06996781976711,177.49518019100378,-0.1497402367590439
CA1 Ivy,0.015607053846649248,0.5019120852079193,1.9923807963016982,64.07359196846076,177.50282231920116,-0.14209810856166882
CA1 Recurrent O LM,0.01560703079385614,0.5022472280101786,1.9910513074643268,64.07368661011803,177.5052610735161,-0.13965935424673148
