node,absolute_in_strength,absolute_out_strength,signed_in_strength,signed_out_strength,positive_in_strength,positive_out_strength,negative_in_strength,negative_out_strength,in_degree,out_degree
DG Granule,896592.6306550346,29542.546946126648,896592.6306550346,27399.537194566783,896592.6306550346,28471.042070346717,0.0,-1071.5048757799325,24,20
DG Hilar Ectopic Granule,29.06392568499523,46710.538943190404,29.06392568499523,45076.29139171523,29.06392568499523,45893.41516745281,0.0,-817.1237757375848,20,25
DG Semilunar Granule,149816.67928196985,1915.42050640165,149816.67928196985,1780.1081920110944,149816.67928196985,1847.7643492063721,0.0,-67.6561571952779,22,18
DG Mossy,61533.9693950561,58111.46169744704,61533.9693950561,57131.56546900792,61533.9693950561,57621.51358322748,0.0,-489.9481142195647,12,13
DG AIPRIM,10870.15346997453,373369.095484074,-10870.15346997453,362401.72428903263,0.0,367885.4098865533,-10870.15346997453,-5483.685597520627,12,24
DG Axo Axonic,28.972258331744243,440836.97304980276,-28.972258331744243,429343.25211060565,0.0,435090.1125802042,-28.972258331744243,-5746.860469598581,3,25
DG Basket,3069.207686976019,83165.54207663823,-3069.207686976019,78856.85673009639,0.0,81011.19940336731,-3069.207686976019,-2154.3426732709213,7,25
DG HICAP,91.28959078490513,172934.03736483282,-91.28959078490513,162321.06157463908,0.0,167627.54946973597,-91.28959078490513,-5306.487895096887,10,25
DG HIPP,3263.31046180801,18550.702790869585,-3263.31046180801,18204.628442035006,0.0,18377.665616452294,-3263.31046180801,-173.0371744172877,12,13
DG HIPROM,21.725774231962045,57122.70587198674,-21.725774231962045,55059.35739957858,0.0,56091.03163578266,-21.725774231962045,-1031.674236204082,30,16
DG MOLAX,2444.727933746531,82894.79083672003,-2444.727933746531,77910.43640701748,0.0,80402.61362186875,-2444.727933746531,-2492.1772148512746,13,25
DG Total Molecular Layer,5165.52918038773,70352.50742331082,-5165.52918038773,66450.21866766857,0.0,68401.36304548969,-5165.52918038773,-1951.144377821119,15,25
DG MOPP,101.92900364390897,2551.7693197634926,-101.92900364390897,2280.750110412896,0.0,2416.2597150881943,-101.92900364390897,-135.50960467529828,12,13
DG Neurogliaform,35.69684940209376,904.5092981196817,-35.69684940209376,733.0220788326315,0.0,818.7656884761566,-35.69684940209376,-85.74360964352513,13,13
CA3 Pyramidal,2777439.222463003,10138.432289080229,2777439.222463003,8007.573464712571,2777439.222463003,9073.0028768964,0.0,-1065.4294121838284,44,22
CA3c Pyramidal,5646830.374830413,12586.1335213602,5646830.374830413,10671.711641333117,5646830.374830413,11628.922581346658,0.0,-957.2109400135416,57,21
CA3 Granule,66.85458159773101,24208.027208416384,66.85458159773101,23139.346401921302,66.85458159773101,23673.686805168843,0.0,-534.3404032475455,10,12
CA3 Axo Axonic,1.247463729292763,60391.30833575501,-1.247463729292763,52402.303476277666,0.0,56396.805906016336,-1.247463729292763,-3994.50242973867,2,20
CA3 Horizontal Axo Axonic,9.628441152488833,10742.759766706658,-9.628441152488833,10177.96037005654,0.0,10460.3600683816,-9.628441152488833,-282.3996983250592,2,8
CA3 Basket,4605.073827016978,88255.56842937716,-4605.073827016978,69820.04283383436,0.0,79037.80563160576,-4605.073827016978,-9217.762797771404,6,20
CA3 Basket CCK+,10265.966320774727,23904.009240327785,-10265.966320774727,16753.264473853615,0.0,20328.6368570907,-10265.966320774727,-3575.3723832370856,6,20
CA3 LMR Targeting,2147.7416512267773,15952.09638989918,-2147.7416512267773,14242.098587750388,0.0,15097.097488824784,-2147.7416512267773,-854.9989010743975,10,17
CA3 Lucidum ORAX,6.505686561167486,55200.85168656522,-6.505686561167486,52616.42597734655,0.0,53908.63883195588,-6.505686561167486,-1292.2128546093354,15,16
CA3 Spiny Lucidum,455.0965034732049,2593.5778959883182,-455.0965034732049,2456.5532675716167,0.0,2525.065581779967,-455.0965034732049,-68.51231420835084,24,12
CA3 Mossy Fiber Associated,741.5566838775244,34631.51849083054,-741.5566838775244,33574.07491879254,0.0,34102.79670481154,-741.5566838775244,-528.7217860189985,22,16
CA3 Mossy Fiber Associated ORDEN,116.72622230277157,49670.420585760345,-116.72622230277157,37691.31359330152,0.0,43680.86708953094,-116.72622230277157,-5989.55349622941,21,19
CA3 O LM,2564.628353142055,22488.24476812549,-2564.628353142055,21039.50607219926,0.0,21763.875420162374,-2564.628353142055,-724.3693479631135,13,8
CA3 Trilaminar,4282.16676812871,2693.3260446674167,-4282.16676812871,2613.6427414628424,0.0,2653.4843930651296,-4282.16676812871,-39.84165160228683,41,8
CA2 Pyramidal,648346.970217273,48613.254141570746,648346.970217273,48309.225614886745,648346.970217273,48461.23987822874,0.0,-152.0142633420026,55,9
CA2 Basket,1752.906368784767,218306.51586703496,-1752.906368784767,216198.03974989,0.0,217252.27780846244,-1752.906368784767,-1054.2380585724695,5,9
CA2 Wide Arbor Basket,11405.413043708972,77388.06634396527,-11405.413043708972,75894.61407138608,0.0,76641.34020767568,-11405.413043708972,-746.7261362895923,21,23
CA2 Bistratified,297.5221954874719,179016.627046379,-297.5221954874719,175073.8517112544,0.0,177045.2393788167,-297.5221954874719,-1971.3876675623017,31,8
CA2 SP SR,61.59184162005653,26799.770700084387,-61.59184162005653,26494.273530867493,0.0,26647.022115475942,-61.59184162005653,-152.74858460844948,5,7
CA1 Pyramidal,282155.3904817298,112113.43210664732,282155.3904817298,109704.62451134234,282155.3904817298,110909.02830899484,0.0,-1204.4037976525078,30,36
CA1 Radiatum Giant,3436.1036020371084,4988.036077639754,3436.1036020371084,4835.663201566375,3436.1036020371084,4911.849639603065,0.0,-76.18643803668974,20,30
CA1 Axo Axonic,6.974160952871499,193836.35404017655,-6.974160952871499,189182.62101016837,0.0,191509.48752517244,-6.974160952871499,-2326.8665150041143,2,35
CA1 Horizontal Axo Axonic,3.5145234150686893,148818.6172742468,-3.5145234150686893,146990.00923687563,0.0,147904.31325556122,-3.5145234150686893,-914.304018685567,2,18
CA1 Back Projection,11538.569999467925,212515.40883685809,-11538.569999467925,210603.51857547378,0.0,211559.46370616593,-11538.569999467925,-955.9451306921507,53,19
CA1 Basket,3832.3882691894796,431453.71558512544,-3832.3882691894796,420802.9225966423,0.0,426128.31909088383,-3832.3882691894796,-5325.396494241533,10,35
CA1 Horizontal Basket,3228.6234311613603,167770.2562778835,-3228.6234311613603,156989.1870659426,0.0,162379.72167191305,-3228.6234311613603,-5390.534605970457,10,22
CA1 Basket CCK+,8311.926643604671,414637.2985370055,-8311.926643604671,405420.58487483975,0.0,410028.94170592265,-8311.926643604671,-4608.356831082868,10,35
CA1 Bistratified,5055.54641605557,223400.36439589853,-5055.54641605557,217901.8996476394,0.0,220651.13202176898,-5055.54641605557,-2749.2323741295572,27,27
CA1 Ivy,3610.6717177874075,92016.61279096847,-3610.6717177874075,88514.4764717846,0.0,90265.54463137653,-3610.6717177874075,-1751.0681595919584,27,27
CA1 LMR,455.56615038585903,407254.5141799734,-455.56615038585903,400845.58178392844,0.0,404050.0479819509,-455.56615038585903,-3204.4661980225337,19,27
