node,max_received_amplitude,sum_max_received_amplitude,susceptibility_rank
CA3c Pyramidal,7.0934331279778045,45.74004164056777,1
CA3 Pyramidal,9.39492980018339,25.89504696935229,2
EC LI II Multipolar Pyramidal,3.7713090142087116,10.445549925489503,3
DG Granule,1.6311052365362197,8.889582720201151,4
CA2 Pyramidal,1.0,7.232339833834175,5
MEC LII Stellate,1.0,4.429826191699076,6
EC LI II Pyramidal Fan,1.0,4.3405665923449375,7
CA1 Pyramidal,1.0,3.1725854736236365,8
EC LIII Pyramidal Stellate,1.0,3.0181275146888633,9
MEC LV Pyramidal,1.0,2.9291859095461836,10
EC LII III Pyramidal Tripolar,1.0,2.822257977497062,11
DG Semilunar Granule,1.0,2.2491123661915715,12
DG Mossy,1.0,1.5082270919860357,13
CA3 Basket CCK+,1.0,1.4904973386921243,14
MEC LIII Complex Pyramidal,1.0,1.2539747155890135,15
CA2 Wide Arbor Basket,1.0,1.217840145188996,16
CA3 Basket,1.0,1.2126343318681145,17
EC LIV VI Deep Multipolar Principal,1.0,1.1797225304028633,18
CA1 Back Projection,1.0,1.1668936114399284,19
EC LIII Pyramidal,1.0,1.1541870869003852,20
MEC LII III Pyramidal Multiform,1.0,1.1494949497980091,21
EC LIII V Bipolar Pyramidal,1.0,1.1462703096259335,22
LEC LIII Multipolar Principal,1.0,1.124141835354536,23
LEC LIII Complex Pyramidal,1.0,1.0899616721810699,24
DG AIPRIM,1.0,1.075044895022869,25
MEC LIII Bipolar Complex Pyramidal,1.0,1.0713656265771698,26
SUB CA1 Projecting Pyramidal,1.0,1.0654402029322316,27
CA3 O LM,1.0,1.0622466113573201,28
CA1 Basket CCK+,1.0,1.0596098208097964,29
MEC LIII Superficial Trilayered Interneuron,1.0,1.0562442043516622,30
CA3 Trilaminar,1.0,1.0553623914994346,31
MEC LV Superficial Pyramidal,1.0,1.0535290812256395,32
DG Total Molecular Layer,1.0,1.051255161822701,33
DG Basket,1.0,1.0439942732598577,34
DG HIPP,1.0,1.0433980905927047,35
CA3 LMR Targeting,1.0,1.0426839411246005,36
CA1 Bistratified,1.0,1.036252761994068,37
MEC LV Multipolar Pyramidal,1.0,1.0322157107819296,38
DG MOLAX,1.0,1.030812631398422,39
CA1 Perforant Path Associated,1.0,1.0280011677205967,40
CA1 Basket,1.0,1.027776492045798,41
CA1 Schaffer Collateral Associated,1.0,1.0275650438585322,42
CA1 Ivy,1.0,1.0260083725794544,43
CA1 Radiatum Giant,1.0,1.0257718330785273,44
MEC LIII Superficial Multipolar Interneuron,1.0,1.0246832500254632,45
EC LV Deep Pyramidal,1.0,1.0243020149779642,46
EC LIII Stellate,1.0,1.0227040048736378,47
CA1 Horizontal Basket,1.0,1.0212004430642354,48
CA1 Trilaminar,1.0,1.0206464327490519,49
LEC LVI Multipolar Pyramidal,1.0,1.0147631930032763,50
CA2 Basket,1.0,1.0146144696001227,51
MEC LII Oblique Pyramidal,1.0,1.0145844418375907,52
CA3 Mossy Fiber Associated,1.0,1.011661667338143,53
CA1 Neurogliaform,1.0,1.0084896758343913,54
CA3 Spiny Lucidum,1.0,1.0080928462999936,55
CA1 Oriens Alveus,1.0,1.0078713211233705,56
CA1 O LMR,1.0,1.0078262609018669,57
CA1 SO SO,1.0,1.0070491356536218,58
CA1 R Receiving Apical Targeting,1.0,1.0066866532426433,59
CA3 Horizontal Axo Axonic,1.0,1.0051301004907958,60
CA1 Oriens Bistratified,1.0,1.0049965447149682,61
CA1 O LM,1.0,1.004778679433454,62
CA1 OR LM,1.0,1.0042252935956162,63
CA1 Recurrent O LM,1.0,1.0029835169292904,64
CA3 Mossy Fiber Associated ORDEN,1.0,1.002924042348404,65
CA1 Radial Trilaminar,1.0,1.002806233121265,66
CA1 LMR,1.0,1.0027850859843168,67
CA3 Granule,1.0,1.0022904058146322,68
CA2 Bistratified,1.0,1.001811065672792,69
DG Axo Axonic,1.0,1.001491937143918,70
MEC LV VI Pyramidal Polymorphic,1.0,1.0014627497252533,71
CA1 Radiatum,1.0,1.0013786294903044,72
DG MOPP,1.0,1.0013478506815976,73
DG HICAP,1.0,1.0010679519731271,74
CA1 Neurogliaform Projecting,1.0,1.0009394734578911,75
CA3 Axo Axonic,1.0,1.0006525859646564,76
CA2 SP SR,1.0,1.000580289246835,77
CA1 Perforant Path Associated QuadD,1.0,1.0005376529781003,78
DG Neurogliaform,1.0,1.0004851435270965,79
DG HIPROM,1.0,1.0002945144181519,80
CA1 Axo Axonic,1.0,1.0002566145051395,81
CA1 Quadrilaminar,1.0,1.0002564098373012,82
DG Hilar Ectopic Granule,1.0,1.0002398080616817,83
CA3 Lucidum ORAX,1.0,1.0001736736116875,84
CA1 Horizontal Axo Axonic,1.0,1.0001263388416706,85
