node,abs_v1,v1
CA1 Perforant Path Associated QuadD,0.5301297273016152,-0.5301297273016152
CA1 Trilaminar,0.5169843955394696,-0.5169843955394696
CA1 Perforant Path Associated,0.39421238486982313,-0.39421238486982313
CA1 R Receiving Apical Targeting,0.2818614376640506,-0.2818614376640506
CA1 OR LM,0.19916139538547808,-0.19916139538547808
CA1 Basket,0.18057527648839386,-0.18057527648839386
CA1 Basket CCK+,0.17264696062019913,-0.17264696062019913
CA1 LMR,0.167488330856741,-0.167488330856741
CA1 Oriens Alveus,0.13889402206873594,-0.13889402206873594
CA1 Bistratified,0.09811553114289871,-0.09811553114289871
CA1 SO SO,0.0780344693315388,-0.0780344693315388
CA1 Axo Axonic,0.07735596434559057,-0.07735596434559057
CA1 Radiatum,0.074308493745357,-0.074308493745357
CA1 Quadrilaminar,0.07302614120985945,-0.07302614120985945
CA1 Back Projection,0.06997212690347548,-0.06997212690347548
CA2 Basket,0.06621394358658378,-0.06621394358658378
CA1 Radial Trilaminar,0.0638534957816282,-0.0638534957816282
CA2 Bistratified,0.06315297421208112,-0.06315297421208112
CA1 Horizontal Basket,0.04949522264480798,-0.04949522264480798
CA1 Horizontal Axo Axonic,0.04935874450927354,-0.04935874450927354
CA1 Schaffer Collateral Associated,0.04634663536615339,-0.04634663536615339
CA1 Pyramidal,0.046278330815360806,-0.046278330815360806
CA1 Ivy,0.03966646621745996,-0.03966646621745996
DG Axo Axonic,0.033681713876297974,-0.033681713876297974
DG AIPRIM,0.030933854248532244,-0.030933854248532244
CA1 Recurrent O LM,0.029121967950086612,-0.029121967950086612
CA3c Pyramidal,0.02344589803995315,-0.02344589803995315
CA2 Wide Arbor Basket,0.02280230007720132,-0.02280230007720132
CA1 O LM,0.020228672558551333,-0.020228672558551333
CA1 O LMR,0.01968291788346475,-0.01968291788346475
CA2 Pyramidal,0.0190231903476263,-0.0190231903476263
CA3 Pyramidal,0.01498327274600392,-0.01498327274600392
DG HICAP,0.014534140445126357,-0.014534140445126357
CA3 Lucidum ORAX,0.012841676063879844,-0.012841676063879844
CA3 Basket,0.012503396478915837,-0.012503396478915837
CA2 SP SR,0.010940844825197953,-0.010940844825197953
CA3 Mossy Fiber Associated ORDEN,0.01043175908485013,-0.01043175908485013
CA3 Axo Axonic,0.009431579837795143,-0.009431579837795143
DG MOLAX,0.007023242647918922,-0.007023242647918922
MEC LV VI Pyramidal Polymorphic,0.007015590802361848,-0.007015590802361848
DG Basket,0.006856605147621476,-0.006856605147621476
CA3 O LM,0.006623128628610143,-0.006623128628610143
MEC LIII Superficial Multipolar Interneuron,0.0064865967137482895,-0.0064865967137482895
DG Total Molecular Layer,0.005819826785620704,-0.005819826785620704
CA3 Mossy Fiber Associated,0.005760955684879957,-0.005760955684879957
LEC LVI Multipolar Pyramidal,0.005362343763703245,-0.005362343763703245
SUB CA1 Projecting Pyramidal,0.005256198730507928,0.005256198730507928
DG HIPROM,0.005153710217798089,-0.005153710217798089
DG Granule,0.004254671376767596,-0.004254671376767596
DG Hilar Ectopic Granule,0.0040450432139265136,-0.0040450432139265136
DG Mossy,0.003973944650503866,-0.003973944650503866
CA1 Oriens Bistratified,0.003922603295863678,-0.003922603295863678
EC LV Deep Pyramidal,0.0035666172528545093,-0.0035666172528545093
CA3 Basket CCK+,0.003509487016503484,-0.003509487016503484
CA3 Horizontal Axo Axonic,0.0032383526387544837,-0.0032383526387544837
EC LIII V Bipolar Pyramidal,0.0029734550910098423,-0.0029734550910098423
EC LIV VI Deep Multipolar Principal,0.0027775642684148946,-0.0027775642684148946
CA1 Radiatum Giant,0.002017719802893633,-0.002017719802893633
MEC LV Multipolar Pyramidal,0.001999392623431824,-0.001999392623431824
MEC LV Pyramidal,0.0019060131843198884,-0.0019060131843198884
LEC LIII Multipolar Principal,0.001723600511489452,-0.001723600511489452
CA3 Granule,0.0015628477788764057,-0.0015628477788764057
DG HIPP,0.0012958733535740608,-0.0012958733535740608
EC LIII Pyramidal Stellate,0.0012038029564001348,-0.0012038029564001348
MEC LII Stellate,0.0010933761001778357,-0.0010933761001778357
CA3 LMR Targeting,0.0010021587902021452,-0.0010021587902021452
CA3 Trilaminar,0.0008297921113995012,-0.0008297921113995012
EC LI II Multipolar Pyramidal,0.0007514194092840751,-0.0007514194092840751
MEC LV Superficial Pyramidal,0.000734275577656622,-0.000734275577656622
EC LII III Pyramidal Tripolar,0.0005024916659489871,-0.0005024916659489871
MEC LIII Bipolar Complex Pyramidal,0.0004545730828710036,-0.0004545730828710036
MEC LIII Superficial Trilayered Interneuron,0.0004395863492257009,-0.0004395863492257009
EC LIII Stellate,0.00043178913109946843,-0.00043178913109946843
EC LIII Pyramidal,0.00041189604775771936,-0.00041189604775771936
MEC LIII Complex Pyramidal,0.0003612725847107017,-0.0003612725847107017
MEC LII III Pyramidal Multiform,0.0003439424036655373,-0.0003439424036655373
LEC LIII Complex Pyramidal,0.00029626030172166145,-0.00029626030172166145
MEC LII Oblique Pyramidal,0.00026648286341288764,-0.00026648286341288764
DG Semilunar Granule,0.0002638638806948812,-0.0002638638806948812
EC LI II Pyramidal Fan,0.00019432754747223746,-0.00019432754747223746
CA3 Spiny Lucidum,0.00011758608721678284,-0.00011758608721678284
CA1 Neurogliaform Projecting,0.00011377803521721438,0.00011377803521721438
CA1 Neurogliaform,0.0001106024622644067,-0.0001106024622644067
DG MOPP,1.6971167093944967e-05,1.6971167093944967e-05
DG Neurogliaform,1.2473797535826536e-05,1.2473797535826536e-05
