node,abs_u1,u1
CA3c Pyramidal,0.8269993017456324,-0.8269993017456324
CA3 Pyramidal,0.5458753794639117,-0.5458753794639117
CA2 Pyramidal,0.11259285477749942,-0.11259285477749942
EC LIII Pyramidal Stellate,0.0355479007786742,-0.0355479007786742
CA1 Pyramidal,0.034999489914009564,-0.034999489914009564
DG Granule,0.03181492470166794,-0.03181492470166794
MEC LII Stellate,0.029819544537329257,-0.029819544537329257
EC LI II Multipolar Pyramidal,0.017436409462288947,-0.017436409462288947
CA1 Perforant Path Associated QuadD,0.013178982007589001,-0.013178982007589001
CA1 Trilaminar,0.012453951354756514,-0.012453951354756514
CA1 Perforant Path Associated,0.009569529177793948,-0.009569529177793948
CA1 R Receiving Apical Targeting,0.006874085868760869,-0.006874085868760869
EC LI II Pyramidal Fan,0.006206484144882966,-0.006206484144882966
CA3 Basket CCK+,0.006053068312896158,0.006053068312896158
CA1 OR LM,0.004871996150544427,-0.004871996150544427
CA1 Basket,0.004210916376863036,-0.004210916376863036
MEC LV Pyramidal,0.004101286574151592,-0.004101286574151592
CA1 LMR,0.004098811217617383,-0.004098811217617383
DG Semilunar Granule,0.003863713104467925,-0.003863713104467925
CA1 Basket CCK+,0.0037235097658596494,-0.0037235097658596494
EC LII III Pyramidal Tripolar,0.0034352017694568365,-0.0034352017694568365
CA1 Oriens Alveus,0.003311320700286242,-0.003311320700286242
EC LIII Pyramidal,0.002667127000780104,-0.002667127000780104
CA3 Basket,0.0024418948913280383,0.0024418948913280383
CA2 Wide Arbor Basket,0.0019382736262061506,0.0019382736262061506
CA1 Axo Axonic,0.0019222605217152529,-0.0019222605217152529
CA1 Radiatum,0.0018198604499582766,-0.0018198604499582766
CA1 Quadrilaminar,0.0018117019168515129,-0.0018117019168515129
CA1 SO SO,0.0018047695882114608,-0.0018047695882114608
CA1 Bistratified,0.0017256326947103764,-0.0017256326947103764
CA2 Bistratified,0.0015472007217630143,-0.0015472007217630143
CA1 Radial Trilaminar,0.0015304480033020039,-0.0015304480033020039
CA2 Basket,0.001527796110782783,-0.001527796110782783
SUB CA1 Projecting Pyramidal,0.0013521394679356358,-0.0013521394679356358
CA1 Horizontal Axo Axonic,0.001226886871977315,-0.001226886871977315
DG Mossy,0.0010539707654258004,-0.0010539707654258004
CA1 Horizontal Basket,0.0010263366785076325,-0.0010263366785076325
DG Axo Axonic,0.0008344440280503608,-0.0008344440280503608
CA3 Trilaminar,0.0007831128848452767,0.0007831128848452767
CA1 Recurrent O LM,0.0006695677883825612,-0.0006695677883825612
CA1 Schaffer Collateral Associated,0.0006113710924596586,-0.0006113710924596586
CA1 Back Projection,0.0006077060789711485,0.0006077060789711485
CA1 Radiatum Giant,0.0006031610288081078,-0.0006031610288081078
DG AIPRIM,0.000597933723144578,-0.000597933723144578
CA3 O LM,0.0005458533206560404,0.0005458533206560404
EC LIV VI Deep Multipolar Principal,0.0005305344204659345,-0.0005305344204659345
CA1 Ivy,0.0004896834654343344,-0.0004896834654343344
CA3 LMR Targeting,0.00045955171283324083,0.00045955171283324083
MEC LIII Complex Pyramidal,0.00045755410139802853,-0.00045755410139802853
CA1 O LM,0.00041194344158563336,-0.00041194344158563336
EC LIII V Bipolar Pyramidal,0.0003655737348466726,-0.0003655737348466726
DG HICAP,0.0003592894993514685,-0.0003592894993514685
CA1 O LMR,0.0003200139152182001,-0.0003200139152182001
CA3 Lucidum ORAX,0.00031756145739767383,-0.00031756145739767383
LEC LIII Multipolar Principal,0.0002808168387979624,-0.0002808168387979624
CA2 SP SR,0.0002684231046963124,-0.0002684231046963124
LEC LIII Complex Pyramidal,0.00026566126757506957,-0.00026566126757506957
CA3 Mossy Fiber Associated ORDEN,0.00022725625044534855,-0.00022725625044534855
CA3 Axo Axonic,0.00022568781040350404,-0.00022568781040350404
MEC LII III Pyramidal Multiform,0.0002090925934400707,-0.0002090925934400707
LEC LVI Multipolar Pyramidal,0.00019189322863121127,-0.00019189322863121127
MEC LV VI Pyramidal Polymorphic,0.00018028848258805916,-0.00018028848258805916
CA1 Neurogliaform,0.00016763219435306847,0.00016763219435306847
MEC LIII Bipolar Complex Pyramidal,0.0001353113981663972,-0.0001353113981663972
DG HIPROM,0.00012624162746172456,-0.00012624162746172456
DG MOLAX,0.00010962589786195295,-0.00010962589786195295
EC LV Deep Pyramidal,0.00010251399247798941,-0.00010251399247798941
