node,single_node_peak_gain,time_to_peak,integrated_energy,final_grid_energy,perturbability_rank
CA1 Trilaminar,93.26936470825068,1.0163506960550999,189.55223398529395,1.9649538729665406e-07,1
CA1 Perforant Path Associated QuadD,55.00571013227623,1.0163506960550999,110.04951945158763,6.660585322567642e-08,2
CA1 Perforant Path Associated,34.04472233017946,1.0163506960550999,66.97875769064699,4.17082554481732e-08,3
CA1 R Receiving Apical Targeting,16.674954734744386,1.0163506960550999,33.66109195094375,1.3527494362679796e-08,4
MEC LIII Superficial Multipolar Interneuron,15.026200941238715,1.2132957207407864,39.87940987825908,3.6730330997252035e-07,5
CA1 OR LM,7.97852624653009,1.0163506960550999,16.317832237237106,6.481372990474689e-09,6
CA1 Basket,7.021350302437465,1.0163506960550999,13.796623890526238,4.5406663800675614e-09,7
CA1 Basket CCK+,6.764155907292251,1.0163506960550999,13.235516062921647,5.536648423009101e-09,8
CA1 LMR,6.471741000247855,1.0163506960550999,12.59569995299223,6.175923908708293e-09,9
CA1 Oriens Alveus,4.343457119603907,1.0163506960550999,8.78896596733944,3.904997993344685e-09,10
DG AIPRIM,3.1813278273959043,1.0163506960550999,6.643618830105431,1.5283805579011712e-08,11
DG Axo Axonic,2.968387865462594,1.0163506960550999,6.61159419768421,3.046843060306672e-08,12
CA1 Bistratified,2.25067993508157,1.0163506960550999,4.627566173523656,8.40181599177239e-10,13
CA1 SO SO,2.165513022529562,1.0163506960550999,4.6670701256865685,4.5706730858006086e-09,14
CA1 Back Projection,1.772913955220186,1.0163506960550999,3.8219508836660263,3.336140123316669e-09,15
CA1 Axo Axonic,1.4381225187769187,0.8513742525532024,3.020041798355676,1.6793955057758978e-09,16
CA1 Radiatum,1.3472946214343673,0.8513742525532024,2.8676157426281166,6.140156132929718e-10,17
CA1 Quadrilaminar,1.3046782393140957,0.8513742525532024,2.7907251056679514,9.684344727754718e-10,18
CA1 Radial Trilaminar,1.1150493631343021,0.8513742525532024,2.2229431856272286,2.498704366117266e-10,19
CA2 Basket,1.0281582538372904,0.8513742525532024,2.4057651755583143,4.786360025980415e-09,20
CA1 Horizontal Basket,1.0032533107416417,0.8513742525532024,2.1960253078921257,1.5589299053243162e-09,21
CA1 Schaffer Collateral Associated,1.0,0.0,1.4158460280242569,3.6967573172090254e-10,22
CA1 Oriens Bistratified,1.0,0.0,0.5098811283583704,1.111942197585578e-11,22
DG Granule,1.0,0.0,0.5199812659043258,1.0860353270115604e-10,22
EC LI II Multipolar Pyramidal,1.0,0.0,0.8572762939899239,1.2417144400919212e-09,22
EC LI II Pyramidal Fan,1.0,0.0,0.5082806668108677,1.9453634648757314e-11,22
LEC LVI Multipolar Pyramidal,1.0,0.0,0.5451586541734794,1.0875700903996166e-10,22
MEC LV VI Pyramidal Polymorphic,1.0,0.0,0.5908773682873009,4.3283456382248664e-10,22
MEC LV Superficial Pyramidal,1.0,0.0,0.5030979163896534,3.223680912903033e-11,22
EC LV Deep Pyramidal,1.0,0.0,0.5256860896063155,1.534917324966167e-10,22
MEC LV Pyramidal,1.0,0.0,0.5139697999084162,1.0618268033156978e-10,22
MEC LV Multipolar Pyramidal,1.0,0.0,0.5086957312811298,5.1661174974620896e-11,22
EC LIV VI Deep Multipolar Principal,1.0,0.0,0.5320772248423032,4.37444250733286e-11,22
EC LIII V Bipolar Pyramidal,1.0,0.0,0.5290301798726124,2.6687729554233405e-10,22
EC LIII Stellate,1.0,0.0,0.709884973866458,2.028358944494157e-09,22
EC LIII Pyramidal Stellate,1.0,0.0,0.5921941053135819,9.322159544259182e-10,22
EC LIII Pyramidal,1.0,0.0,0.6368679665969803,1.3032861047644168e-09,22
MEC LIII Bipolar Complex Pyramidal,1.0,0.0,0.7018062053182436,1.641409224684419e-09,22
MEC LIII Complex Pyramidal,1.0,0.0,0.5758158585977883,7.116531750991485e-10,22
