node,stationary_variance
CA3c Pyramidal,1.224131122283831
CA3 Pyramidal,0.9790977335290096
EC LI II Multipolar Pyramidal,0.5608072870990466
DG Granule,0.5307321018843402
CA2 Pyramidal,0.5090916939402451
CA1 Pyramidal,0.5039214463619034
EC LIII Pyramidal Stellate,0.5026011229337844
EC LI II Pyramidal Fan,0.5021623218932427
EC LII III Pyramidal Tripolar,0.5018773760777759
DG Mossy,0.5011459809186253
DG Semilunar Granule,0.5011254581119388
EC LIV VI Deep Multipolar Principal,0.5010605749419405
MEC LII Stellate,0.5009736783917622
MEC LV Pyramidal,0.5009307712501472
MEC LIII Complex Pyramidal,0.5008128778105015
MEC LV VI Pyramidal Polymorphic,0.5007136368988415
SUB CA1 Projecting Pyramidal,0.5005155186733985
LEC LIII Complex Pyramidal,0.5003993445921681
LEC LIII Multipolar Principal,0.5002670384198971
EC LIII V Bipolar Pyramidal,0.5002653906784821
EC LV Deep Pyramidal,0.500212927694936
MEC LII III Pyramidal Multiform,0.5001796869525423
LEC LVI Multipolar Pyramidal,0.5001136339746831
MEC LV Multipolar Pyramidal,0.5001090088040004
MEC LIII Bipolar Complex Pyramidal,0.5000983468454762
MEC LV Superficial Pyramidal,0.5000582783874475
EC LIII Stellate,0.5000333177301938
EC LIII Pyramidal,0.5000227470940628
CA1 Radiatum Giant,0.5000006754852077
DG Hilar Ectopic Granule,0.5000004915739624
MEC LII Oblique Pyramidal,0.5000003374362385
CA1 O LMR,0.5000000374983709
CA1 O LM,0.5000000113717141
CA1 OR LM,0.5000000051829585
CA3 Granule,0.5000000011012902
CA3 Axo Axonic,0.49999999599636025
CA1 Axo Axonic,0.499999992843053
CA1 Horizontal Axo Axonic,0.49999998925105643
CA3 Horizontal Axo Axonic,0.4999999880223895
DG Neurogliaform,0.49999995866920416
DG HIPP,0.49999969180583853
CA1 Oriens Bistratified,0.4999996023827934
DG HIPROM,0.49999957811538015
CA3 Lucidum ORAX,0.49999936152361424
CA1 Quadrilaminar,0.49999934971631754
DG Axo Axonic,0.4999992473945806
CA3 Spiny Lucidum,0.4999992066026262
CA1 Neurogliaform Projecting,0.49999915456437194
CA1 Recurrent O LM,0.49999914585291805
DG MOPP,0.4999989627709161
CA2 SP SR,0.4999985258886154
CA1 Radiatum,0.4999960275345199
CA3 Trilaminar,0.49999443023228934
DG HICAP,0.4999919131641842
CA1 Schaffer Collateral Associated,0.49999154631821713
CA1 Perforant Path Associated QuadD,0.49999139363649797
CA3 Mossy Fiber Associated ORDEN,0.4999912789772096
CA1 Radial Trilaminar,0.4999900909123524
CA3 Mossy Fiber Associated,0.4999777719008918
CA1 Oriens Alveus,0.4999720118412755
CA1 Neurogliaform,0.4999683066427212
CA1 SO SO,0.4999649028709814
CA1 Ivy,0.4999645292710915
CA1 R Receiving Apical Targeting,0.4999555918598844
CA1 LMR,0.49995466155131923
MEC LIII Superficial Trilayered Interneuron,0.4999509682785316
CA2 Bistratified,0.4999290373035566
CA1 Bistratified,0.49992309126024775
CA3 O LM,0.4999128201155627
CA1 Back Projection,0.4998906677851995
DG MOLAX,0.49988337749210526
CA1 Perforant Path Associated,0.4998553003861977
CA1 Trilaminar,0.49985290069142957
CA2 Wide Arbor Basket,0.4998317855566483
CA3 LMR Targeting,0.49982437422252707
DG Basket,0.49981675272549614
DG Total Molecular Layer,0.4998043958734178
CA2 Basket,0.49974975089151347
CA1 Horizontal Basket,0.49970751951012127
CA1 Basket,0.4996508010598411
CA1 Basket CCK+,0.4994097872356503
CA3 Basket CCK+,0.4993198392700512
CA3 Basket,0.4991013557349297
DG AIPRIM,0.4985308521352841
MEC LIII Superficial Multipolar Interneuron,0.49750139140066624
