target,source,weight,absolute_weight,weight_share,cumulative_weight_share
CA3 Pyramidal,CA1 Trilaminar,1227402.8954207087,1227402.8954207087,0.09994803313101948,0.09994803313101948
CA3c Pyramidal,CA1 Perforant Path Associated QuadD,946052.1472884584,946052.1472884584,0.07703750065576358,0.17698553378678306
CA3c Pyramidal,CA1 Perforant Path Associated,773727.8935474688,773727.8935474688,0.06300505027908505,0.2399905840658681
CA3c Pyramidal,CA1 R Receiving Apical Targeting,524858.3738225021,524858.3738225021,0.042739480517457615,0.2827300645833257
EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,408147.1428877316,408147.1428877316,0.03323562646940915,0.31596569105273486
CA3c Pyramidal,CA1 OR LM,357152.3477045786,357152.3477045786,0.029083094731468022,0.3450487857842029
CA3c Pyramidal,CA1 Basket,352530.5947364821,352530.5947364821,0.028706743070165835,0.37375552885436875
CA3c Pyramidal,CA1 Basket CCK+,349003.96758023935,349003.96758023935,0.028419568052762863,0.4021750969071316
CA3c Pyramidal,CA1 LMR,343043.32011398184,343043.32011398184,0.02793418954122234,0.43010928644835394
CA3c Pyramidal,CA1 Oriens Alveus,271000.24328017404,271000.24328017404,0.022067685675938628,0.4521769721242926
DG Granule,DG AIPRIM,224249.4636796229,224249.4636796229,0.01826074625462069,0.4704377183789133
CA3 Pyramidal,CA1 Perforant Path Associated QuadD,197790.77628398308,197790.77628398308,0.016106202074963806,0.4865439204538771
CA3c Pyramidal,CA1 Bistratified,194432.8625157873,194432.8625157873,0.015832765473333742,0.5023766859272109
DG Granule,DG Axo Axonic,191791.9711217032,191791.9711217032,0.015617716363105867,0.5179944022903167
CA3 Pyramidal,CA1 SO SO,180218.2123930897,180218.2123930897,0.014675259387345362,0.532669661677662
CA3c Pyramidal,CA1 Trilaminar,165876.86538895397,165876.86538895397,0.013507436310782153,0.5461770979884442
CA3 Pyramidal,CA1 Back Projection,163494.90567997436,163494.90567997436,0.013313472137487412,0.5594905701259316
CA3c Pyramidal,CA1 Axo Axonic,152496.3150045439,152496.3150045439,0.012417851384657388,0.571908421510589
CA3c Pyramidal,CA1 Radiatum,146319.88611931622,146319.88611931622,0.011914901683988378,0.5838233231945773
CA3c Pyramidal,CA1 Quadrilaminar,142847.75302391537,142847.75302391537,0.01163216414528029,0.5954554873398576
CA3c Pyramidal,CA1 Radial Trilaminar,138230.2899926536,138230.2899926536,0.01125616181568531,0.606711649155543
CA3 Pyramidal,CA1 Horizontal Basket,119229.35749758656,119229.35749758656,0.009708906356518188,0.6164205555120612
CA3 Pyramidal,CA1 Horizontal Axo Axonic,111831.8672633914,111831.8672633914,0.00910652501802517,0.6255270805300864
CA3c Pyramidal,CA2 Basket,98675.24876975412,98675.24876975412,0.00803517497803401,0.6335622555081204
CA3c Pyramidal,CA2 Bistratified,96089.30935858694,96089.30935858694,0.007824600635325167,0.6413868561434456
CA3c Pyramidal,CA1 Schaffer Collateral Associated,91022.66866449673,91022.66866449673,0.007412021543451407,0.648798877686897
CA2 Pyramidal,CA1 Trilaminar,90298.35835968416,90298.35835968416,0.007353040592198452,0.6561519182790955
DG Granule,DG HICAP,89841.7418227616,89841.7418227616,0.007315858078672716,0.6634677763577682
CA3c Pyramidal,CA1 Pyramidal,85609.60976338176,85609.60976338176,0.006971233443303284,0.6704390098010715
CA3c Pyramidal,CA1 Ivy,80694.1232836584,80694.1232836584,0.006570962914886394,0.6770099727159579
CA1 Pyramidal,CA1 Trilaminar,80625.28866776635,80625.28866776635,0.006565357677604155,0.683575330393562
CA2 Pyramidal,CA1 Perforant Path Associated QuadD,73540.69975173479,73540.69975173479,0.005988456050321886,0.6895637864438838
CA2 Pyramidal,CA1 R Receiving Apical Targeting,70362.44992308263,70362.44992308263,0.005729649573363153,0.695293436017247
CA3 Pyramidal,CA1 Recurrent O LM,67658.65296874168,67658.65296874168,0.005509478031825937,0.7008029140490729
EC LI II Pyramidal Fan,DG Axo Axonic,63993.64273510148,63993.64273510148,0.005211034411052305,0.7060139484601252
CA3 Pyramidal,CA1 OR LM,63521.42074551523,63521.42074551523,0.00517258113769239,0.7111865295978176
CA2 Pyramidal,CA1 Perforant Path Associated,58899.24733616609,58899.24733616609,0.004796195239648215,0.7159827248374658
EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,58070.33631096913,58070.33631096913,0.0047286965992929175,0.7207114214367587
CA3 Pyramidal,CA1 R Receiving Apical Targeting,55104.54984588407,55104.54984588407,0.004487191120547695,0.7251986125573064
CA3 Pyramidal,CA1 O LM,48182.27438852156,48182.27438852156,0.003923506759580497,0.729122119316887
DG Granule,DG MOLAX,46662.119453326166,46662.119453326166,0.0037997197810797543,0.7329218390979667
EC LIII Pyramidal Stellate,CA1 Perforant Path Associated QuadD,46367.99299902773,46367.99299902773,0.0037757689164463018,0.736697608014413
DG Granule,CA2 Basket,45861.22691942544,45861.22691942544,0.003734502700517745,0.7404321107149308
CA3 Pyramidal,CA1 Perforant Path Associated,45721.88919037005,45721.88919037005,0.003723156359383968,0.7441552670743147
CA3 Pyramidal,CA1 O LMR,45159.93626242219,45159.93626242219,0.003677396250726774,0.7478326633250415
DG Granule,DG Mossy,44908.709978571016,44908.709978571016,0.0036569387684807888,0.7514896020935223
CA3 Pyramidal,CA2 Bistratified,44817.8133452809,44817.8133452809,0.0036495370100610605,0.7551391391035834
DG Granule,DG Total Molecular Layer,44715.245336109205,44715.245336109205,0.0036411848456518662,0.7587803239492353
EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,44010.40823957247,44010.40823957247,0.0035837896075116803,0.762364113556747
DG Semilunar Granule,DG AIPRIM,43893.26280770539,43893.26280770539,0.003574250396264028,0.7659383639530111
CA3 Pyramidal,CA2 Basket,42818.37385190415,42818.37385190415,0.0034867216496988953,0.76942508560271
MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,40080.91494141459,40080.91494141459,0.0032638089981961186,0.7726888946009061
CA3c Pyramidal,DG Axo Axonic,38923.76492106363,38923.76492106363,0.0031695816919032204,0.7758584762928092
