Presynaptic,Postsynaptic,wij
DG Granule,DG Mossy,1548576.2061576212
DG Granule,DG AIPRIM,896639.1990388761
DG Granule,DG Axo Axonic,708529.9461439403
DG Granule,DG Basket,381384.7396357308
DG Granule,DG HICAP,418316.0675269433
DG Granule,DG HIPP,826561.1954082673
DG Granule,DG HIPROM,1008478.4073152256
DG Granule,DG MOLAX,627179.024910298
DG Granule,DG Total Molecular Layer,601011.3620444787
DG Granule,CA3 Pyramidal,19094.65915724406
DG Granule,CA3c Pyramidal,105286.88541901702
DG Granule,CA3 Axo Axonic,84424.96800175622
DG Granule,CA3 Basket,93333.1912948086
DG Granule,CA3 LMR Targeting,31784.513863372915
DG Granule,CA3 Lucidum ORAX,30282.85444549081
DG Granule,CA3 Spiny Lucidum,176486.30556840278
DG Granule,CA3 Mossy Fiber Associated ORDEN,57172.64003963106
DG Granule,CA2 Basket,520440.6141559855
DG Granule,CA2 Wide Arbor Basket,228861.1304857256
DG Granule,CA2 Bistratified,234548.93684897732
DG Semilunar Granule,DG Granule,10939.477860675
DG Semilunar Granule,DG Semilunar Granule,10125.8588480868
DG Semilunar Granule,DG Mossy,177762.26892369404
DG Semilunar Granule,DG AIPRIM,175502.85009078524
DG Semilunar Granule,DG Axo Axonic,128067.62295686032
DG Semilunar Granule,DG Basket,90708.451058524
DG Semilunar Granule,DG HICAP,98020.43648096238
DG Semilunar Granule,DG HIPP,92711.4497130276
DG Semilunar Granule,DG HIPROM,245668.80320107125
DG Semilunar Granule,DG MOLAX,118054.76483116006
DG Semilunar Granule,DG Total Molecular Layer,68942.98489200667
DG Semilunar Granule,CA3 Pyramidal,5221.038911896258
DG Semilunar Granule,CA3c Pyramidal,11545.91769716424
DG Semilunar Granule,CA3 Axo Axonic,10268.8263070212
DG Semilunar Granule,CA3 Basket,8954.535216243257
DG Semilunar Granule,CA3 LMR Targeting,3374.7560060192
DG Semilunar Granule,CA3 Lucidum ORAX,11783.986569101344
DG Semilunar Granule,CA3 Spiny Lucidum,39516.7257924522
DG Semilunar Granule,CA3 Mossy Fiber Associated ORDEN,5552.233677577349
DG Mossy,DG Granule,21695.054873577752
DG Mossy,DG Semilunar Granule,12630.59148671424
DG Mossy,DG Mossy,60388.298414928
DG Mossy,DG AIPRIM,63309.34563408001
DG Mossy,DG Axo Axonic,65354.973760062
DG Mossy,DG Basket,44703.7167300156
DG Mossy,DG HICAP,37769.105436227546
DG Mossy,DG HIPP,35791.767086680804
DG Mossy,DG HIPROM,82589.59285223401
DG Mossy,DG MOLAX,54425.65314522149
DG Mossy,DG Total Molecular Layer,48730.418053606576
DG AIPRIM,DG Granule,-5198.70757223961
DG AIPRIM,DG Semilunar Granule,-4221.690276727242
DG AIPRIM,DG Mossy,-8299.567272988299
DG AIPRIM,DG AIPRIM,-10954.1344524612
DG AIPRIM,DG Axo Axonic,-7725.7449492036
DG AIPRIM,DG Basket,-8921.306258922024
DG AIPRIM,DG HICAP,-8982.620821106018
DG AIPRIM,DG HIPP,-4647.5907811344
DG AIPRIM,DG HIPROM,-21429.71713918464
DG AIPRIM,DG MOLAX,-12163.428213615163
DG AIPRIM,DG Total Molecular Layer,-9047.047449782944
DG Axo Axonic,DG Granule,-39.86754257614248
DG Axo Axonic,DG Mossy,-1589.3226587129132
DG Basket,DG Granule,-30832.19147598557
DG Basket,DG Axo Axonic,-16791.653100411546
DG Basket,DG Basket,-21608.00280276552
DG Basket,DG HICAP,-21886.277474229875
DG Basket,DG HIPP,-23172.68804528934
DG Basket,DG MOLAX,-28949.944879304465
DG Basket,DG Total Molecular Layer,-31424.09244465025
DG HICAP,DG Granule,-125.960144472
DG HICAP,DG Semilunar Granule,-103.010062187448
DG HICAP,DG AIPRIM,-70.6828635016812
DG HICAP,DG Axo Axonic,-67.3288829230471
DG HICAP,DG Basket,-74.92934951603009
