scenario,neuron,backbone_position,peak_abs_activity,auc_abs_activity,time_to_peak
g=1,CA1 Axo Axonic,0,1.000000000000002,1.186774457201748,0.0
g=1,CA1 Back Projection,1,0.004882742966448909,0.013300479553667144,20.0
g=1,CA1 Basket,2,0.005710946460251784,0.015342742571421375,20.0
g=1,CA1 Basket CCK+,3,0.00630049946068512,0.016915616101826302,20.0
g=1,CA1 Bistratified,4,0.0024637836044284463,0.006712940469189754,20.0
g=1,CA1 Horizontal Axo Axonic,5,0.0034900814478185218,0.00954992885678346,20.0
g=1,CA1 Horizontal Basket,6,0.003336074115114241,0.009259536641502203,20.0
g=1,CA1 Ivy,7,0.000911476341365888,0.002501021952213321,20.0
g=1,CA1 LMR,8,0.00664841422302052,0.017694537598414033,20.0
g=1,CA1 Neurogliaform,9,0.003099930633557864,0.008260062220554294,20.0
g=1,CA1 Neurogliaform Projecting,10,0.0003409761540148285,0.0009072611386486678,20.0
g=1,CA1 O LM,11,0.0014299358783351251,0.0038642759416976998,20.0
g=1,CA1 O LMR,12,0.0013686684244455865,0.003706736183771005,20.0
g=1,CA1 OR LM,13,0.00683409948414684,0.018411959401658348,20.0
g=1,CA1 Oriens Alveus,14,0.005295542751283619,0.014281370215988014,20.0
g=1,CA1 Oriens Bistratified,15,0.00028214794510397615,0.0007739422392171257,20.0
g=1,CA1 Perforant Path Associated,16,0.01729260420880183,0.04605314754339378,20.0
g=1,CA1 Perforant Path Associated QuadD,17,0.021856783788530367,0.058558189585051615,20.0
g=1,CA1 Pyramidal,18,0.001889721715806059,0.0055154124988367435,20.0
g=1,CA1 Quadrilaminar,19,0.0026376176597236595,0.007120092989364651,20.0
g=1,CA1 R Receiving Apical Targeting,20,0.009873623170423208,0.026277885846209065,20.0
g=1,CA1 Radial Trilaminar,21,0.0013361359487852424,0.003618053109180999,20.0
g=1,CA1 Radiatum,22,0.002105068902301388,0.005604521550594606,20.0
g=1,CA1 Radiatum Giant,23,7.308947786070876e-05,0.00022457513069478824,20.0
g=1,CA1 Recurrent O LM,24,0.0021797734130541637,0.005930901193173063,20.0
g=1,CA1 SO SO,25,0.005717488420066339,0.015566755022631175,20.0
g=1,CA1 Schaffer Collateral Associated,26,0.0016303854297508823,0.004341933105242416,20.0
g=1,CA1 Trilaminar,27,0.03747322856636826,0.10149778379633133,20.0
g=1,CA2 Basket,28,0.00584961404980854,0.01565615611374561,20.0
