neuron,backbone_position,peak_with_inhibition,peak_without_inhibition,inhibition_index
CA1 Axo Axonic,0,1.000000000000002,1.0,9.980904991380157e-13
CA1 Back Projection,1,0.004882742966448909,6.809569451967311e-15,-4849718470.693424
CA1 Basket,2,0.005710946460251784,9.5739205618501e-15,-5656788812.51602
CA1 Basket CCK+,3,0.00630049946068512,9.933003418403786e-15,-6238532099.0099
CA1 Bistratified,4,0.0024637836044284463,4.4965208652821596e-15,-2452754740.5556216
CA1 Horizontal Axo Axonic,5,0.0034900814478185218,4.9138249868281005e-15,-3473015655.70496
CA1 Horizontal Basket,6,0.003336074115114241,5.826921084176482e-15,-3316747687.079676
CA1 Ivy,7,0.000911476341365888,1.8910200265056745e-15,-909755973.5986886
CA1 LMR,8,0.00664841422302052,1.0029579955859068e-14,-6582395559.445935
CA1 Neurogliaform,9,0.003099930633557864,3.5132358334028117e-15,-3089077973.1269855
CA1 Neurogliaform Projecting,10,0.0003409761540148285,4.197538634383526e-16,-340833087.009349
CA1 O LM,11,0.0014299358783351251,1.9113586757427703e-15,-1427207970.9957619
CA1 O LMR,12,0.0013686684244455865,1.8745857564044555e-15,-1366107537.7118006
CA1 OR LM,13,0.00683409948414684,1.0341654010457781e-14,-6764147015.031176
CA1 Oriens Alveus,14,0.005295542751283619,7.994252562288317e-15,-5253544587.991974
CA1 Oriens Bistratified,15,0.00028214794510397615,3.9069953401671176e-16,-282037752.0852706
CA1 Perforant Path Associated,16,0.01729260420880183,2.3889903751792834e-14,-16889124645.543867
CA1 Perforant Path Associated QuadD,17,0.021856783788530367,3.206059879795901e-14,-21177810501.5877
CA1 Pyramidal,18,0.001889721715806059,2.9075860546961717e-15,-1884243115.7960057
CA1 Quadrilaminar,19,0.0026376176597236595,4.09587574508756e-15,-2626858373.2229
CA1 R Receiving Apical Targeting,20,0.009873623170423208,1.4270589320968772e-14,-9734703217.628647
CA1 Radial Trilaminar,21,0.0013361359487852424,3.590195550868513e-15,-1331356118.9667165
CA1 Radiatum,22,0.002105068902301388,3.1902541935137633e-15,-2098374553.0806696
CA1 Radiatum Giant,23,7.308947786070876e-05,1.1805744874376256e-16,-73080849.12199134
CA1 Recurrent O LM,24,0.0021797734130541637,2.8911576719309657e-15,-2173489511.176174
CA1 SO SO,25,0.005717488420066339,7.732312165285323e-15,-5673618231.7838
CA1 Schaffer Collateral Associated,26,0.0016303854297508823,2.3398575550187147e-15,-1626579464.4996946
CA1 Trilaminar,27,0.03747322856636826,4.9793978801846665e-14,-35695793005.10706
CA2 Basket,28,0.00584961404980854,7.705809258305866e-15,-5804882729.718787
CA2 Bistratified,29,0.0031069739084815104,4.58994701182814e-15,-3092778219.330856
CA2 Pyramidal,30,0.0014521231487098021,1.8361460539837586e-15,-1449461724.2825243
CA2 SP SR,31,0.0004024579786910175,5.841186585946409e-16,-402223031.7126935
CA2 Wide Arbor Basket,32,0.0021619206597895237,2.9171506684927952e-15,-2155632354.4228773
CA3 Axo Axonic,33,0.0027637134129637796,3.608528297319938e-15,-2753776332.1411495
CA3 Basket,34,0.003955872778677226,5.453360831965478e-15,-3934416982.204399
CA3 Basket CCK+,35,0.0008305946125746592,1.2909033243862403e-15,-829523776.5725335
CA3 Granule,36,0.0024767438111427545,2.8375229840438156e-15,-2469735877.8220797
CA3 Horizontal Axo Axonic,37,0.00021651327224279674,3.135441385218346e-16,-216445406.05410495
CA3 LMR Targeting,38,0.0013085484974224852,1.5601241787883438e-15,-1306510178.3019233
CA3 Lucidum ORAX,39,0.001269087317849339,1.7651039270846392e-15,-1266851192.8320742
CA3 Mossy Fiber Associated,40,0.0009995831147989514,1.3524654643093792e-15,-998233038.0882521
CA3 Mossy Fiber Associated ORDEN,41,0.0008079528598427068,1.5823803562320171e-15,-806676389.9678032
CA3 O LM,42,0.00046473352091986264,6.866767012394032e-16,-464414617.2218147
CA3 Pyramidal,43,0.0005497449695759962,7.250856600985119e-16,-549346645.2004131
CA3 Spiny Lucidum,44,6.820856387918471e-05,9.708914664975929e-17,-68201941.21081561
CA3 Trilaminar,45,5.945040956100612e-05,8.008690346128408e-17,-59445647.743074045
CA3c Pyramidal,46,0.0002565093284500846,4.1974275365120907e-16,-256401704.69209653
DG AIPRIM,47,0.01047428053214874,1.5334151777710132e-14,-10316092010.491703
DG Axo Axonic,48,0.014759344775905741,1.9590903098284445e-14,-14475751725.555962
DG Basket,49,0.002363984148284556,3.4967128349826942e-15,-2355746777.288944
DG Granule,50,0.0008797148838912323,1.219559589766053e-15,-878643324.9970288
DG HICAP,51,0.004152189130242669,6.782633390633426e-15,-4124216083.5176325
DG HIPP,52,0.0005828921632677437,8.13016181883495e-16,-582418646.4827096
DG HIPROM,53,0.0013921200234873474,2.2299268150948543e-15,-1389022603.7342777
DG Hilar Ectopic Granule,54,0.001321307885258028,1.9183138763176504e-15,-1318778054.015309
DG MOLAX,55,0.0020335200646024116,3.291726928573832e-15,-2026848232.691437
DG MOPP,56,0.00012474865380454934,1.4552580645712644e-16,-124730501.29761268
DG Mossy,57,0.001791231429317073,2.5232148372882336e-15,-1786723141.9725983
DG Neurogliaform,58,3.970714292046857e-05,4.928661814579256e-17,-39705184.98612846
DG Semilunar Granule,59,6.378344715338989e-05,8.49909271972606e-17,-63778025.59977436
DG Total Molecular Layer,60,0.001901033097358728,2.9781596537728625e-15,-1895388327.3111198
EC LI II Multipolar Pyramidal,61,0.0029638921043415767,3.3231431150384026e-15,-2954075288.382361
EC LI II Pyramidal Fan,62,0.0003709252630212159,4.1664627511580424e-16,-370770781.755659
EC LII III Pyramidal Tripolar,63,0.0037484684293564233,4.167640417937487e-15,-3732910997.602086
EC LIII Pyramidal,64,0.0030364875747219394,3.4447156388511413e-15,-3026063644.9565544
EC LIII Pyramidal Stellate,65,0.0025693626627879195,2.9377221667250104e-15,-2561836697.3317013
EC LIII Stellate,66,0.0037881430708325867,4.3676307270916e-15,-3771669808.8785176
EC LIII V Bipolar Pyramidal,67,0.00138183672726408,1.7125693767030945e-15,-1379474280.853029
EC LIV VI Deep Multipolar Principal,68,0.0005644492527580355,7.867547897764447e-16,-564005517.7147263
EC LV Deep Pyramidal,69,0.0010516201638630345,1.37015172508789e-15,-1050181255.2031928
LEC LIII Complex Pyramidal,70,0.0023757657921955567,2.5662040684868404e-15,-2369684696.6833305
LEC LIII Multipolar Principal,71,0.0016257509881312257,1.8563082679445072e-15,-1622738683.8937442
LEC LVI Multipolar Pyramidal,72,0.0008912356659369105,1.2873945341440019e-15,-890089768.2331023
MEC LII III Pyramidal Multiform,73,0.0027440809886030973,3.44675606083629e-15,-2734655297.8773937
MEC LII Oblique Pyramidal,74,0.0023067465343769747,2.694126467354181e-15,-2300548564.5969663
MEC LII Stellate,75,0.0032142616928734686,3.76925730397582e-15,-3202191807.0123863
MEC LIII Bipolar Complex Pyramidal,76,0.003407728754949168,4.569185365311501e-15,-3392229030.701731
MEC LIII Complex Pyramidal,77,0.0022463025551870495,3.3868724686855208e-15,-2238720294.0546412
MEC LIII Superficial Multipolar Interneuron,78,0.05097808649449605,6.590960604532434e-14,-47825900249.23977
MEC LIII Superficial Trilayered Interneuron,79,0.0037529549638010444,4.42579417895549e-15,-3736418344.238545
MEC LV Multipolar Pyramidal,80,0.0006104058810152054,8.081225702684907e-16,-609912995.5567878
MEC LV Pyramidal,81,0.0008714835532946653,1.0971536352899857e-15,-870528448.8412986
MEC LV Superficial Pyramidal,82,0.0004800561404986073,7.2723325853688e-16,-479707280.40920424
MEC LV VI Pyramidal Polymorphic,83,0.001770437864611558,2.3844270810119966e-15,-1766226425.4890387
SUB CA1 Projecting Pyramidal,84,0.0008288548062565291,6.733928067692185e-16,-828297035.9899517
