sender,receiver,inhibitory_weight,is_self_connection,baseline_terminal_peak,ablated_terminal_peak,delta_terminal_peak
MEC LIII Superficial Multipolar Interneuron,EC LI II Multipolar Pyramidal,0.0019674450728055194,False,0.0008288548062565291,0.0011571338597015522,0.00032827905344502315
MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,0.0050101914223954986,False,0.0008288548062565291,0.0009020285239587824,7.317371770225337e-05
MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,0.0026076603236308707,False,0.0008288548062565291,0.0009003467243236083,7.14919180670792e-05
MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,0.018034598310566526,False,0.0008288548062565291,0.0008996601264089197,7.080532015239067e-05
CA3 Basket,CA3c Pyramidal,0.009871410632068561,False,0.0008288548062565291,0.0008929628364104487,6.410803015391962e-05
MEC LIII Superficial Trilayered Interneuron,EC LI II Multipolar Pyramidal,0.00604770638884734,False,0.0008288548062565291,0.0008926766762956344,6.382187003910536e-05
CA1 Back Projection,CA3c Pyramidal,0.004209546144361099,False,0.0008288548062565291,0.0008685503848037268,3.9695578547197744e-05
CA3 Basket CCK+,CA3c Pyramidal,0.02027635232836,False,0.0008288548062565291,0.00085619112692826,2.7336320671730906e-05
CA2 Wide Arbor Basket,CA3c Pyramidal,0.006741860438767415,False,0.0008288548062565291,0.0008533030204321649,2.4448214175635825e-05
CA1 Back Projection,CA3 Pyramidal,0.005492918255855084,False,0.0008288548062565291,0.000849194361884393,2.033955562786389e-05
CA3 Basket,CA3 Pyramidal,0.00787542388748671,False,0.0008288548062565291,0.0008482065918111346,1.9351785554605548e-05
DG AIPRIM,DG Granule,0.010848036468823086,False,0.0008288548062565291,0.0008460872106178156,1.7232404361286588e-05
MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,0.018795397275719303,False,0.0008288548062565291,0.0008454337433568158,1.657893710028675e-05
MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal Stellate,0.0031658077948732866,False,0.0008288548062565291,0.0008453652107739821,1.6510404517453025e-05
MEC LIII Superficial Multipolar Interneuron,EC LI II Pyramidal Fan,0.0003142515395434239,False,0.0008288548062565291,0.0008429252366140223,1.4070430357493273e-05
CA1 Perforant Path Associated,CA1 Perforant Path Associated,0.0127213185514308,True,0.0008288548062565291,0.0008422715952586729,1.341678900214382e-05
CA1 Trilaminar,CA1 Perforant Path Associated,0.005644135877815998,False,0.0008288548062565291,0.0008416082324253853,1.2753426168856286e-05
MEC LIII Superficial Trilayered Interneuron,MEC LII Stellate,0.01085824267477556,False,0.0008288548062565291,0.0008400365085701079,1.1181702313578794e-05
MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,0.009762320730363852,False,0.0008288548062565291,0.0008392168025654075,1.0361996308878461e-05
CA3 Basket CCK+,CA3 Pyramidal,0.0201089759990268,False,0.0008288548062565291,0.0008391393759340901,1.0284569677561036e-05
CA2 Wide Arbor Basket,CA3 Pyramidal,0.006129100214655762,False,0.0008288548062565291,0.0008372339630414962,8.379156784967152e-06
CA1 Back Projection,CA1 Perforant Path Associated,0.021878260725221282,False,0.0008288548062565291,0.0008352942628981246,6.4394566415955324e-06
CA2 Basket,CA2 Pyramidal,0.00317375436356765,False,0.0008288548062565291,0.0008341194347703278,5.264628513798782e-06
CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated,0.007017656171028389,False,0.0008288548062565291,0.0008330377966361436,4.182990379614508e-06
DG Basket,DG Granule,0.011095925512219832,False,0.0008288548062565291,0.0008325280868626571,3.6732806061280047e-06
CA3 LMR Targeting,CA3 Pyramidal,0.00364244869612817,False,0.0008288548062565291,0.0008317896687554011,2.9348624988720286e-06
MEC LIII Superficial Multipolar Interneuron,MEC LV Pyramidal,0.0005249691374278397,False,0.0008288548062565291,0.0008315637850899635,2.708978833434474e-06
MEC LIII Superficial Trilayered Interneuron,MEC LIII Complex Pyramidal,0.008731529132587906,False,0.0008288548062565291,0.0008312264655738125,2.3716593172834217e-06
MEC LIII Superficial Trilayered Interneuron,EC LII III Pyramidal Tripolar,0.0012350413297012382,False,0.0008288548062565291,0.0008312005543600266,2.345748103497504e-06
DG Total Molecular Layer,DG Granule,0.008531327915775119,False,0.0008288548062565291,0.0008311527892629271,2.2979830063980236e-06
CA1 Bistratified,CA1 Perforant Path Associated,0.014415290235878472,False,0.0008288548062565291,0.000830996260467956,2.1414542114269255e-06
CA1 OR LM,CA1 Perforant Path Associated,0.005120118161417391,False,0.0008288548062565291,0.0008309658251009735,2.1110188444444043e-06
CA2 Wide Arbor Basket,CA2 Pyramidal,0.003427660109032851,False,0.0008288548062565291,0.0008309443309695908,2.0895247130617777e-06
DG MOLAX,DG Granule,0.007198610740367717,False,0.0008288548062565291,0.0008309387741622374,2.0839679057083277e-06
CA1 Perforant Path Associated,DG Granule,0.0008558774586164366,False,0.0008288548062565291,0.0008307856265230133,1.9308202664842155e-06
MEC LIII Superficial Trilayered Interneuron,EC LI II Pyramidal Fan,0.0005949224933411548,False,0.0008288548062565291,0.0008307546516571206,1.8998454005915216e-06
CA1 Neurogliaform,CA1 Perforant Path Associated,0.010098069901241067,False,0.0008288548062565291,0.0008307441747430397,1.8893684865106545e-06
MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal,0.0035929134592762218,False,0.0008288548062565291,0.0008303282280739578,1.4734218174287418e-06
CA3 O LM,CA3 Pyramidal,0.004575764948478631,False,0.0008288548062565291,0.000830120118901529,1.2653126449999183e-06
DG Axo Axonic,DG Granule,0.0006058731612183793,False,0.0008288548062565291,0.0008300904032058004,1.2355969492713025e-06
CA1 LMR,CA1 Perforant Path Associated,0.0030761541635443757,False,0.0008288548062565291,0.0008300893875629756,1.2345813064465775e-06
MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal,0.002997940831206642,False,0.0008288548062565291,0.0008300636478208138,1.2088415642847773e-06
CA1 Schaffer Collateral Associated,CA1 Perforant Path Associated,0.010694724264040837,False,0.0008288548062565291,0.0008299074094602737,1.0526032037446332e-06
CA1 Perforant Path Associated QuadD,CA1 Perforant Path Associated,0.0007722492415948678,False,0.0008288548062565291,0.0008298733588393085,1.0185525827794296e-06
DG HIPP,DG Granule,0.009431719687748648,False,0.0008288548062565291,0.0008296235281278769,7.687218713478029e-07
MEC LIII Superficial Trilayered Interneuron,MEC LV Pyramidal,0.0020444958162273382,False,0.0008288548062565291,0.0008296200361405728,7.652298840437775e-07
CA3 LMR Targeting,CA3c Pyramidal,0.00035274771599793937,False,0.0008288548062565291,0.0008296059822625422,7.511760060131562e-07
