neuron,outgoing_inhibitory_strength,outgoing_inhibitory_edges,baseline_terminal_peak,ablated_terminal_peak,delta_terminal_peak
MEC LIII Superficial Multipolar Interneuron,0.3040064138151248,17,0.0008288548062565291,0.001580158971229214,0.0007513041649726849
MEC LIII Superficial Trilayered Interneuron,0.17717787891334255,17,0.0008288548062565291,0.0009108110516663933,8.19562454098642e-05
CA3 Basket,0.21531062307227608,6,0.0008288548062565291,0.0009079535611211453,7.909875486461623e-05
CA1 Back Projection,0.5394868332779397,53,0.0008288548062565291,0.0008898003755454426,6.09455692889135e-05
CA3 Basket CCK+,0.4799861387665999,6,0.0008288548062565291,0.000864391746729604,3.5536940473074926e-05
CA2 Wide Arbor Basket,0.5332610683525945,21,0.0008288548062565291,0.0008577902305975108,2.893542434098174e-05
DG AIPRIM,0.5082349609208234,12,0.0008288548062565291,0.0008454041469446629,1.654934068813388e-05
CA2 Basket,0.08195728811906793,5,0.0008288548062565291,0.0008332505050035318,4.395698747002778e-06
DG Basket,0.14350106952554392,7,0.0008288548062565291,0.0008324381268533163,3.5833205967872187e-06
CA1 R Receiving Apical Targeting,0.04542536436312815,19,0.0008288548062565291,0.0008323173202218502,3.4625139653211238e-06
CA3 LMR Targeting,0.10041784572723458,10,0.0008288548062565291,0.000831304474696571,2.4496684400419954e-06
DG Total Molecular Layer,0.24151476134916805,15,0.0008288548062565291,0.0008310275223070982,2.172716050569145e-06
DG MOLAX,0.11430346492363044,13,0.0008288548062565291,0.0008308639995115401,2.0091932550110343e-06
CA1 OR LM,0.02632285954106002,14,0.0008288548062565291,0.0008307563222900479,1.901516033518875e-06
CA1 Neurogliaform,0.05545669879307509,14,0.0008288548062565291,0.0008304784089766969,1.623602720167796e-06
CA1 Bistratified,0.23637250773824006,27,0.0008288548062565291,0.0008304357088847406,1.5809026282115899e-06
CA3 O LM,0.11990941935051098,13,0.0008288548062565291,0.000830359338484049,1.5045322275199138e-06
DG Axo Axonic,0.001354600431511344,3,0.0008288548062565291,0.000830117039662175,1.2622334056459688e-06
CA1 LMR,0.021300034565082324,19,0.0008288548062565291,0.0008298937208674328,1.038914610903695e-06
CA1 Perforant Path Associated QuadD,0.004203469191715058,12,0.0008288548062565291,0.0008298787627488883,1.0239564923592275e-06
DG HIPP,0.15257636146634776,12,0.0008288548062565291,0.0008295923750994599,7.375688429308788e-07
CA3 Mossy Fiber Associated,0.034671546569429626,22,0.0008288548062565291,0.0008295294948040499,6.74688547520853e-07
CA1 O LMR,0.049110098150260705,19,0.0008288548062565291,0.0008294033485504519,5.485422939228296e-07
CA1 Schaffer Collateral Associated,0.1743965891619308,27,0.0008288548062565291,0.0008293541704650952,4.993642085661344e-07
CA1 O LM,0.029687282315398092,14,0.0008288548062565291,0.0008292899461520961,4.3513989556704605e-07
CA2 Bistratified,0.013910675853319591,31,0.0008288548062565291,0.0008291669452836669,3.121390271378175e-07
CA1 Recurrent O LM,0.018846220481704524,26,0.0008288548062565291,0.000829084689999224,2.2988374269493697e-07
CA3 Axo Axonic,5.832527401370144e-05,2,0.0008288548062565291,0.0008290372979627546,1.8249170622558746e-07
CA3 Mossy Fiber Associated ORDEN,0.005457544568653036,21,0.0008288548062565291,0.0008290324838546299,1.7767759810086072e-07
CA3 Trilaminar,0.20021307574615524,41,0.0008288548062565291,0.0008290126850682585,1.5787881172942084e-07
DG HICAP,0.004268252673083274,10,0.0008288548062565291,0.0008290006236238569,1.4581736732779873e-07
CA1 Radiatum,0.009067137828704663,17,0.0008288548062565291,0.0008289858434753195,1.3103721879044374e-07
CA1 Ivy,0.16881726688187274,27,0.0008288548062565291,0.0008289677192045305,1.1291294800140541e-07
CA3 Horizontal Axo Axonic,0.0004501785946610997,2,0.0008288548062565291,0.000828964274054012,1.0946779748291502e-07
CA1 Radial Trilaminar,0.01859979232208132,27,0.0008288548062565291,0.0008288893803864142,3.457412988511991e-08
CA1 Oriens Bistratified,0.03179979723542865,25,0.0008288548062565291,0.0008288879254654228,3.3119208893710346e-08
CA3 Spiny Lucidum,0.021278076183265663,24,0.0008288548062565291,0.0008288847518733976,2.9945616868577024e-08
CA1 Quadrilaminar,0.0016795849980845308,28,0.0008288548062565291,0.0008288768654890897,2.205923256060928e-08
DG HIPROM,0.0010157904438291001,30,0.0008288548062565291,0.0008288752337165914,2.0427460062344936e-08
CA3 Lucidum ORAX,0.0003041739350149056,15,0.0008288548062565291,0.0008288717167058983,1.69104493692512e-08
CA1 Neurogliaform Projecting,0.0050988024778998355,25,0.0008288548062565291,0.000828870688194076,1.5881937546992006e-08
CA2 SP SR,0.0028797318552379477,5,0.0008288548062565291,0.0008288631847436453,8.378487116231757e-09
DG MOPP,0.004765699336881757,12,0.0008288548062565291,0.000828859392486828,4.58623029895959e-09
DG Neurogliaform,0.0016690092656909054,13,0.0008288548062565291,0.0008288457151767848,-9.091079744257338e-09
CA1 Horizontal Axo Axonic,0.00016432184471420707,2,0.0008288548062565291,0.0008288283106122638,-2.6495644265297873e-08
CA1 Horizontal Basket,0.15095456636346768,10,0.0008288548062565291,0.0008287627258408064,-9.208041572262259e-08
CA1 SO SO,0.04781572242217527,20,0.0008288548062565291,0.0008286041123655643,-2.506938909647939e-07
CA1 Oriens Alveus,0.0524253412122694,21,0.0008288548062565291,0.0008284962676189663,-3.585386375627199e-07
CA1 Basket,0.17918364332251707,10,0.0008288548062565291,0.0008235415531511304,-5.3132531053986815e-06
CA1 Basket CCK+,0.3886248455054305,10,0.0008288548062565291,0.000818811036063159,-1.0043770193370071e-05
CA1 Trilaminar,0.14428422216546088,28,0.0008288548062565291,0.0008069087377675205,-2.1946068489008528e-05
CA1 Perforant Path Associated,0.17226842377862445,26,0.0008288548062565291,0.0004715510621153664,-0.00035730374414116265
CA1 Axo Axonic,0.00032607749551363823,2,0.0008288548062565291,3.3138732732489175e-16,-0.0008288548062561976
