draw,terminal_peak,randomized_self_inhibitory_edges
0,6.016931036323519e-08,13
1,6.386223152905238e-07,7
2,0.0007649625897852968,15
3,0.00011568963173802671,7
4,1.32535695160303e-05,6
5,7.334348462155262e-07,14
6,6.514522455336659e-06,8
7,0.0010957470208069209,10
8,1.982080076661633e-08,11
9,0.005634483979753049,10
10,9.698033377117649e-09,12
11,0.0013000195025321267,10
12,0.00031721311164960243,13
13,0.00010390554327738373,11
14,1.0306159190909154e-06,7
15,0.0009821302327725915,9
16,1.840121595657368e-06,13
17,6.0355554298633754e-05,13
18,5.460353105806739e-05,11
19,0.00016343787562352554,11
20,9.669661723011559e-06,20
21,0.004450462326279457,6
22,2.0100849553294206e-05,10
23,0.0020591442033987785,16
24,2.2109664775236272e-06,11
25,2.701169188065721e-09,10
26,2.326867060298736e-05,8
27,4.202912715447232e-06,8
28,3.977562244488715e-06,17
29,4.385434080489923e-06,10
30,4.4915317252701614e-05,8
31,3.5992879458940236e-07,11
32,3.6225056421524515e-06,5
33,1.467449101675595e-09,8
34,0.00018355432188751344,9
35,9.612696690802983e-06,18
36,2.1838694089742741e-07,13
37,4.416386623157634e-06,7
38,0.04822882427230205,9
39,2.1650901207730323e-05,10
40,9.705694200726523e-06,11
41,4.558662881831791e-07,9
42,5.8452864177732555e-06,11
43,5.330927558590479e-08,10
44,2.6857042715849796e-07,10
45,3.910674107940761e-08,5
46,2.6469780535193184e-05,8
47,2.7992676533403036e-07,12
48,1.7385731742739364e-06,16
49,4.292514732797474e-07,15
50,4.386864346795336e-07,10
51,0.00035355902309203385,9
52,6.923999097103794e-06,11
53,2.3513859530427574e-07,10
54,3.6028527123640885e-06,5
55,3.2612298546904664e-06,8
56,4.6625757273391067e-07,9
57,6.118711824376287e-07,12
58,0.004821544368198283,10
59,5.727156341046742e-07,6
60,0.00010378222861648524,8
61,9.006038600009914e-06,7
62,8.629625856987456e-08,7
63,2.733200986869898e-05,7
64,0.0012356492005823178,10
65,0.0005625111328748439,10
66,0.0005831378278301398,9
67,1.4725067690315138e-07,8
68,5.587606340754216e-06,12
69,9.916170813826226e-07,13
70,4.5095971961491334e-05,15
71,1.8809199835451374e-05,12
72,0.004869443885388407,10
73,1.639592092511547e-05,10
74,1.3220131956483238e-07,11
75,2.512180473245351e-05,17
76,0.0013654170706087375,11
77,4.7394771045407345e-05,10
78,4.599664722053412e-06,7
79,1.3607494335633697e-06,8
80,5.409822984256353e-06,9
81,1.9749657638748895e-05,7
82,6.202658286784941e-05,9
83,2.9364809280153374e-05,13
84,3.1774248826435592e-06,11
85,3.061681838159352e-06,12
86,6.639630350370079e-07,14
87,0.0005291620091298918,7
88,0.0001483673721615648,11
89,3.2688204262356866e-06,13
90,7.070556331870037e-07,11
91,1.666602901680447e-06,14
92,1.8325075341841662e-06,10
93,3.065287202115133e-08,11
94,8.248346839327566e-06,10
95,0.00013510778656965726,10
96,1.1401049028768888e-05,12
97,2.710962935169e-09,13
98,1.5673674587110964e-06,11
99,0.0004201380973736733,7
