variant,removed_block,block_meaning,dominant_eigenvalue_before,dominant_real_before,dominant_imag_before,dominant_real_after,dominant_imag_after,delta_dominant_real,spectral_radius_before,spectral_radius_after,delta_spectral_radius,first_order_delta_real,first_order_delta_imag
with_self,EE,E source -> E receiver,(0.9999999999999994+0j),0.9999999999999994,0.0,0.0743302389496471,0.0,-0.9256697610503524,0.9999999999999994,0.36700752398637476,-0.6329924760136247,-1.0800146397141652,-0.0
with_self,SELF,diagonal self-connections,(0.9999999999999994+0j),0.9999999999999994,0.0,0.5660470865165925,0.0,-0.4339529134834069,0.9999999999999994,0.5660470865165925,-0.4339529134834069,-0.5297807834552709,-0.0
with_self,II,I source -> I receiver,(0.9999999999999994+0j),0.9999999999999994,0.0,0.9925261366759701,0.0,-0.007473863324029328,0.9999999999999994,0.9925261366759701,-0.007473863324029328,-0.006251031965810022,-0.0
with_self,EI,E source -> I receiver,(0.9999999999999994+0j),0.9999999999999994,0.0,1.0419282697498569,0.0,0.041928269749857416,0.9999999999999994,1.0419282697498569,0.041928269749857416,0.04313283583998764,-0.0
with_self,IE,I source -> E receiver,(0.9999999999999994+0j),0.9999999999999994,0.0,1.0419282697498577,0.0,0.041928269749858305,0.9999999999999994,1.0419282697498577,0.041928269749858305,0.04313283583998763,-0.0
no_self,EE,E source -> E receiver,(0.9999999999999961+0j),0.9999999999999961,0.0,0.11695068327730729,0.025636739041392707,-0.8830493167226888,0.9999999999999961,0.6457039792064837,-0.3542960207935124,-1.3778952795462975,-0.0
no_self,II,I source -> I receiver,(0.9999999999999961+0j),0.9999999999999961,0.0,0.985519190967751,0.0,-0.014480809032245134,0.9999999999999961,0.985519190967751,-0.014480809032245134,-0.013123969523828787,-0.0
no_self,SELF,diagonal self-connections,(0.9999999999999961+0j),0.9999999999999961,0.0,0.9999999999999961,0.0,0.0,0.9999999999999961,0.9999999999999961,0.0,-0.0,-0.0
no_self,IE,I source -> E receiver,(0.9999999999999961+0j),0.9999999999999961,0.0,1.1716432575833884,0.0,0.17164325758339227,0.9999999999999961,1.1716432575833884,0.17164325758339227,0.1955096245350655,-0.0
no_self,EI,E source -> I receiver,(0.9999999999999961+0j),0.9999999999999961,0.0,1.1716432575833906,0.0,0.1716432575833945,0.9999999999999961,1.1716432575833906,0.1716432575833945,0.19550962453506526,-0.0
