variant,cell,ei,response,abs_response,source_population
with_self,CA1 Trilaminar,i,-1.7261178815082943,1.7261178815082943,I
with_self,CA1 Perforant Path Associated QuadD,i,-1.0669885630171694,1.0669885630171694,I
with_self,DG Neurogliaform,i,0.9970979085615959,0.9970979085615959,I
with_self,CA3 Trilaminar,i,0.9948725315233109,0.9948725315233109,I
with_self,DG MOPP,i,0.9947385601465606,0.9947385601465606,I
with_self,CA3 Spiny Lucidum,i,0.994348880387041,0.994348880387041,I
with_self,CA1 Neurogliaform Projecting,i,0.9876557777032451,0.9876557777032451,I
with_self,CA1 Oriens Bistratified,i,0.9777612129832952,0.9777612129832952,I
with_self,CA3 Horizontal Axo Axonic,i,0.9770101124186593,0.9770101124186593,I
with_self,DG HIPP,i,0.9642601018877627,0.9642601018877627,I
with_self,CA1 Neurogliaform,i,0.9601687168578001,0.9601687168578001,I
with_self,CA2 SP SR,i,0.9567912772113673,0.9567912772113673,I
with_self,CA3 LMR Targeting,i,0.9521066032199688,0.9521066032199688,I
with_self,MEC LIII Superficial Trilayered Interneuron,i,0.9492928522586214,0.9492928522586214,I
with_self,CA3 O LM,i,0.9477511826279095,0.9477511826279095,I
no_self,CA1 Trilaminar,i,-11.600739287192768,11.600739287192768,I
no_self,CA1 Perforant Path Associated QuadD,i,-8.434043209812137,8.434043209812137,I
no_self,CA1 Perforant Path Associated,i,-6.043869121213525,6.043869121213525,I
no_self,CA1 R Receiving Apical Targeting,i,-4.151667729088615,4.151667729088615,I
no_self,DG AIPRIM,i,-3.0183380646666365,3.0183380646666365,I
no_self,DG Axo Axonic,i,-2.8142660968229243,2.8142660968229243,I
no_self,CA1 OR LM,i,-2.6312824132502253,2.6312824132502253,I
no_self,MEC LIII Superficial Multipolar Interneuron,i,-2.1647144676111525,2.1647144676111525,I
no_self,CA1 Basket,i,-2.004830844449787,2.004830844449787,I
no_self,CA1 Basket CCK+,i,-1.9495200187225474,1.9495200187225474,I
no_self,CA1 LMR,i,-1.6794519714191123,1.6794519714191123,I
no_self,CA1 Oriens Alveus,i,-1.4118775531494658,1.4118775531494658,I
no_self,DG Neurogliaform,i,0.9950350857893678,0.9950350857893678,I
no_self,DG MOPP,i,0.9879574252660479,0.9879574252660479,I
no_self,CA3 Trilaminar,i,0.9806983516052602,0.9806983516052602,I
