variant,motif,E_source,I_first,I_second,E_receiver,E_to_I,I_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,15.570332158163978,-0.1789938833343113,-0.015335705705200429,0.04274052312619753,0.04274052312619753
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,15.570332158163978,-0.1789938833343113,-0.014714947928216569,0.0410104747910923,0.0410104747910923
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,15.570332158163978,-0.1789938833343113,-0.007965358514344458,0.02219940812214121,0.02219940812214121
with_self,E-I-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,29.516806652948773,-0.010379690017985175,-0.07220663505536322,0.022122329721021097,0.022122329721021097
with_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,46.82397293872395,-0.004605212941902911,-0.07220663505536322,0.015570231983339556,0.015570231983339556
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,15.570332158163978,-0.1789938833343113,-0.004829354099497959,0.013459381950984802,0.013459381950984802
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,15.570332158163978,-0.1789938833343113,-0.00408795941120305,0.011393119241603057,0.011393119241603057
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Hilar Ectopic Granule,8.55485257370109,-0.1045136164175691,-0.012063923192853418,0.010786336600744456,0.010786336600744456
with_self,E-I-I-E,CA3c Pyramidal,CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,20.0227279764594,-0.005725907689017252,-0.07220663505536322,0.008278367385617021,0.008278367385617021
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Mossy,8.55485257370109,-0.1045136164175691,-0.009181942400868498,0.008209561665900329,0.008209561665900329
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal,15.570332158163978,-0.1789938833343113,-0.00293156152154837,0.008170245009665263,0.008170245009665263
with_self,E-I-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,6.237137836109084,-0.01785110274083303,-0.07220663505536322,0.008039471462444523,0.008039471462444523
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Granule,8.55485257370109,-0.1045136164175691,-0.008851225240131873,0.0079138679219729,0.0079138679219729
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII Oblique Pyramidal,15.570332158163978,-0.1789938833343113,-0.002800113066670771,0.007803898925983323,0.007803898925983323
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal Stellate,15.570332158163978,-0.1789938833343113,-0.0025830737147612775,0.0071990115071776176,0.0071990115071776176
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal,15.570332158163978,-0.1789938833343113,-0.0024461062266761544,0.006817283909858491,0.006817283909858491
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Basket CCK+,CA1 Pyramidal,13.314089769914599,-0.04242480545252335,-0.011929814372781967,0.006738527831312802,0.006738527831312802
