triad_id,motif,rees_superpattern,rees_superpattern_name,node_a,node_b,node_c,node_ei_signature,edge_ei_signature,region_signature,region_count,within_region,nonself_edge_count,self_edge_count,edge_count,nonself_total_weight,nonself_total_abs_weight,self_total_weight,self_total_abs_weight,total_weight,total_abs_weight,mean_abs_weight,spectral_radius,max_real,edge_1_pre,edge_1_post,edge_1_pre_class,edge_1_post_class,edge_1_pre_region,edge_1_post_region,edge_1_weight,edge_1_abs_weight,edge_1_edge_type,edge_2_pre,edge_2_post,edge_2_pre_class,edge_2_post_class,edge_2_pre_region,edge_2_post_region,edge_2_weight,edge_2_abs_weight,edge_2_edge_type,edge_3_pre,edge_3_post,edge_3_pre_class,edge_3_post_class,edge_3_pre_region,edge_3_post_region,edge_3_weight,edge_3_abs_weight,edge_3_edge_type,edge_4_pre,edge_4_post,edge_4_pre_class,edge_4_post_class,edge_4_pre_region,edge_4_post_region,edge_4_weight,edge_4_abs_weight,edge_4_edge_type,edge_5_pre,edge_5_post,edge_5_pre_class,edge_5_post_class,edge_5_pre_region,edge_5_post_region,edge_5_weight,edge_5_abs_weight,edge_5_edge_type
T000004,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA1 Horizontal Axo Axonic,0E-3I,I->I + I->I,CA1,1,True,2,1,3,-327.8930976903274,327.8930976903274,-196.3416727692154,196.3416727692154,-524.2347704595428,524.2347704595428,174.74492348651427,196.3416727692154,-196.3416727692154,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-161.94223645711918,161.94223645711918,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,,,,,,,,,,,,,,,,,,
T000032,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Axo Axonic,0E-3I,I->I + I->I,CA1-CA3,2,False,2,1,3,-578.5456514038532,578.5456514038532,-196.3416727692154,196.3416727692154,-774.8873241730686,774.8873241730686,258.2957747243562,196.3416727692154,-196.3416727692154,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Axo Axonic,i,i,CA1,CA3,-412.59479017064496,412.59479017064496,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,,,,,,,,,,,,,,,,,,
T000033,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Basket,0E-3I,I->I + I->I,CA1-CA3,2,False,2,2,4,-1055.140416823802,1055.140416823802,-1884.4918951161203,1884.4918951161203,-2939.6323119399226,2939.6323119399226,734.9080779849805,1688.150222346905,-196.3416727692154,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Basket,i,i,CA1,CA3,-889.189555590594,889.189555590594,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,CA3 Basket,CA3 Basket,i,i,CA3,CA3,-1688.150222346905,1688.150222346905,self,,,,,,,,,
T000034,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Basket CCK+,0E-3I,I->I + I->I,CA1-CA3,2,False,2,2,4,-402.6150855338158,402.6150855338158,-1485.991403935545,1485.991403935545,-1888.6064894693607,1888.6064894693607,472.15162236734017,1289.6497311663295,-196.3416727692154,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Basket CCK+,i,i,CA1,CA3,-236.6642243006076,236.6642243006076,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,CA3 Basket CCK+,CA3 Basket CCK+,i,i,CA3,CA3,-1289.6497311663295,1289.6497311663295,self,,,,,,,,,
T000035,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Granule,1E-2I,I->I + I->E,CA1-CA3,2,False,2,1,3,-263.0697514973344,263.0697514973344,-196.3416727692154,196.3416727692154,-459.4114242665498,459.4114242665498,153.13714142218325,196.3416727692154,-196.3416727692154,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Granule,i,e,CA1,CA3,-97.1188902641262,97.1188902641262,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,,,,,,,,,,,,,,,,,,
T000036,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Horizontal Axo Axonic,0E-3I,I->I + I->I,CA1-CA3,2,False,2,1,3,-325.49334931510725,325.49334931510725,-196.3416727692154,196.3416727692154,-521.8350220843226,521.8350220843226,173.94500736144087,196.3416727692154,-196.3416727692154,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Horizontal Axo Axonic,i,i,CA1,CA3,-159.54248808189908,159.54248808189908,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,,,,,,,,,,,,,,,,,,
T000037,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 LMR Targeting,0E-3I,I->I + I->I,CA1-CA3,2,False,2,2,4,-348.10929180946147,348.10929180946147,-526.0917559188429,526.0917559188429,-874.2010477283044,874.2010477283044,218.55026193207607,329.7500831496275,-196.3416727692154,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 LMR Targeting,i,i,CA1,CA3,-182.15843057625327,182.15843057625327,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,CA3 LMR Targeting,CA3 LMR Targeting,i,i,CA3,CA3,-329.7500831496275,329.7500831496275,self,,,,,,,,,
T000038,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Lucidum ORAX,0E-3I,I->I + I->I,CA1-CA3,2,False,2,2,4,-717.3640857526627,717.3640857526627,-197.53673480128774,197.53673480128774,-914.9008205539504,914.9008205539504,228.7252051384876,196.3416727692154,-1.19506203207234,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Lucidum ORAX,i,i,CA1,CA3,-551.4132245194545,551.4132245194545,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,CA3 Lucidum ORAX,CA3 Lucidum ORAX,i,i,CA3,CA3,-1.19506203207234,1.19506203207234,self,,,,,,,,,
T000039,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Mossy Fiber Associated,0E-3I,I->I + I->I,CA1-CA3,2,False,2,2,4,-389.9971923551026,389.9971923551026,-238.00309837140912,238.00309837140912,-628.0002907265117,628.0002907265117,157.00007268162793,196.3416727692154,-41.66142560219374,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Mossy Fiber Associated,i,i,CA1,CA3,-224.04633112189435,224.04633112189435,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated,i,i,CA3,CA3,-41.66142560219374,41.66142560219374,self,,,,,,,,,
T000040,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Mossy Fiber Associated ORDEN,0E-3I,I->I + I->I,CA1-CA3,2,False,2,2,4,-642.5191628395262,642.5191628395262,-212.69215456998597,212.69215456998597,-855.2113174095122,855.2113174095122,213.80282935237804,196.3416727692154,-16.350481800770595,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Mossy Fiber Associated ORDEN,i,i,CA1,CA3,-476.568301606318,476.568301606318,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,CA3 Mossy Fiber Associated ORDEN,CA3 Mossy Fiber Associated ORDEN,i,i,CA3,CA3,-16.350481800770595,16.350481800770595,self,,,,,,,,,
T000041,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 O LM,0E-3I,I->I + I->I,CA1-CA3,2,False,2,2,4,-572.0475145793688,572.0475145793688,-359.54025986647196,359.54025986647196,-931.5877744458408,931.5877744458408,232.8969436114602,196.3416727692154,-163.1985870972566,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 O LM,i,i,CA1,CA3,-406.0966533461606,406.0966533461606,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,CA3 O LM,CA3 O LM,i,i,CA3,CA3,-163.1985870972566,163.1985870972566,self,,,,,,,,,
T000043,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Spiny Lucidum,0E-3I,I->I + I->I,CA1-CA3,2,False,2,2,4,-192.54028332046414,192.54028332046414,-197.8234864421001,197.8234864421001,-390.36376976256423,390.36376976256423,97.59094244064106,196.3416727692154,-1.48181367288471,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Spiny Lucidum,i,i,CA1,CA3,-26.589422087255947,26.589422087255947,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,CA3 Spiny Lucidum,CA3 Spiny Lucidum,i,i,CA3,CA3,-1.48181367288471,1.48181367288471,self,,,,,,,,,
T000046,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG AIPRIM,0E-3I,I->I + I->I,CA1-DG,2,False,2,2,4,-464.97195592827677,464.97195592827677,-2935.9706993297614,2935.9706993297614,-3400.942655258038,3400.942655258038,850.2356638145095,2739.6290265605458,-196.3416727692154,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG AIPRIM,i,i,CA1,DG,-299.0210946950686,299.0210946950686,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,DG AIPRIM,DG AIPRIM,i,i,DG,DG,-2739.6290265605458,2739.6290265605458,self,,,,,,,,,
T000047,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG Axo Axonic,0E-3I,I->I + I->I,CA1-DG,2,False,2,1,3,-365.95615832086025,365.95615832086025,-196.3416727692154,196.3416727692154,-562.2978310900756,562.2978310900756,187.43261036335855,196.3416727692154,-196.3416727692154,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG Axo Axonic,i,i,CA1,DG,-200.00529708765205,200.00529708765205,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,,,,,,,,,,,,,,,,,,
T000048,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG Basket,0E-3I,I->I + I->I,CA1-DG,2,False,2,2,4,-242.92688339285903,242.92688339285903,-536.7706891002908,536.7706891002908,-779.6975724931499,779.6975724931499,194.92439312328747,340.4290163310755,-196.3416727692154,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG Basket,i,i,CA1,DG,-76.97602215965082,76.97602215965082,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,DG Basket,DG Basket,i,i,DG,DG,-340.4290163310755,340.4290163310755,self,,,,,,,,,
T000050,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG HICAP,0E-3I,I->I + I->I,CA1-DG,2,False,2,2,4,-353.47555939449137,353.47555939449137,-211.2613943596338,211.2613943596338,-564.7369537541252,564.7369537541252,141.1842384385313,196.3416727692154,-14.91972159041843,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG HICAP,i,i,CA1,DG,-187.5246981612832,187.5246981612832,between_nodes,CA1 Back Projection,CA1 Back Projection,i,i,CA1,CA1,-196.3416727692154,196.3416727692154,self,DG HICAP,DG HICAP,i,i,DG,DG,-14.91972159041843,14.91972159041843,self,,,,,,,,,
