variant,cell,ei,response,abs_response,source_population
with_self,CA1 Trilaminar,i,-1.726117881508286,1.726117881508286,I
with_self,CA1 Perforant Path Associated QuadD,i,-1.06698856301717,1.06698856301717,I
with_self,DG Neurogliaform,i,0.9970979085615961,0.9970979085615961,I
with_self,CA3 Trilaminar,i,0.994872531523311,0.994872531523311,I
with_self,DG MOPP,i,0.9947385601465613,0.9947385601465613,I
with_self,CA3 Spiny Lucidum,i,0.9943488803870412,0.9943488803870412,I
with_self,CA1 Neurogliaform Projecting,i,0.9876557777032454,0.9876557777032454,I
with_self,CA1 Oriens Bistratified,i,0.9777612129832953,0.9777612129832953,I
with_self,CA3 Horizontal Axo Axonic,i,0.9770101124186594,0.9770101124186594,I
with_self,DG HIPP,i,0.9642601018877633,0.9642601018877633,I
with_self,CA1 Neurogliaform,i,0.9601687168578007,0.9601687168578007,I
with_self,CA2 SP SR,i,0.9567912772113674,0.9567912772113674,I
with_self,CA3 LMR Targeting,i,0.9521066032199691,0.9521066032199691,I
with_self,MEC LIII Superficial Trilayered Interneuron,i,0.9492928522586218,0.9492928522586218,I
with_self,CA3 O LM,i,0.9477511826279098,0.9477511826279098,I
no_self,CA1 Trilaminar,i,-11.60073928719285,11.60073928719285,I
no_self,CA1 Perforant Path Associated QuadD,i,-8.43404320981221,8.43404320981221,I
no_self,CA1 Perforant Path Associated,i,-6.04386912121358,6.04386912121358,I
no_self,CA1 R Receiving Apical Targeting,i,-4.151667729088653,4.151667729088653,I
no_self,DG AIPRIM,i,-3.0183380646666707,3.0183380646666707,I
no_self,DG Axo Axonic,i,-2.814266096822955,2.814266096822955,I
no_self,CA1 OR LM,i,-2.6312824132502515,2.6312824132502515,I
no_self,MEC LIII Superficial Multipolar Interneuron,i,-2.16471446761118,2.16471446761118,I
no_self,CA1 Basket,i,-2.0048308444498093,2.0048308444498093,I
no_self,CA1 Basket CCK+,i,-1.949520018722569,1.949520018722569,I
no_self,CA1 LMR,i,-1.6794519714191334,1.6794519714191334,I
no_self,CA1 Oriens Alveus,i,-1.4118775531494845,1.4118775531494845,I
no_self,DG Neurogliaform,i,0.9950350857893678,0.9950350857893678,I
no_self,DG MOPP,i,0.9879574252660482,0.9879574252660482,I
no_self,CA3 Trilaminar,i,0.9806983516052599,0.9806983516052599,I
