variant,motif,count,null_mean,null_sd,z_score,empirical_p_ge
with_self,E_to_I_to_I_to_E_loop,12468,1701.48,191.4497260127614,56.236800251583226,0.00398406374501992
with_self,disinhibitory_I_to_I_to_E,1956,593.712,46.34588244145438,29.393938107034348,0.00398406374501992
with_self,directed_two_step_chain,28037,28037.0,,,1.0
with_self,divergent_one_source_two_receivers,19285,19285.0,,,1.0
with_self,convergent_two_sources_one_receiver,15879,15879.0,,,1.0
with_self,all_inhibitory_I_I_I_chains,9553,9553.0,,,1.0
with_self,all_excitatory_E_E_E_chains,4472,4472.0,,,1.0
with_self,all_inhibitory_edges_I_to_I,692,692.0,,,1.0
with_self,reciprocal_pair,422,422.0,,,1.0
with_self,all_excitatory_edges_E_to_E,355,355.0,,,1.0
no_self,E_to_I_to_I_to_E_loop,11255,1520.248,179.01215574260445,54.38039645753036,0.00398406374501992
no_self,disinhibitory_I_to_I_to_E,1805,541.652,43.30858378796144,29.17084534985822,0.00398406374501992
no_self,directed_two_step_chain,28037,28037.0,,,1.0
no_self,divergent_one_source_two_receivers,19285,19285.0,,,1.0
no_self,convergent_two_sources_one_receiver,15879,15879.0,,,1.0
no_self,all_inhibitory_I_I_I_chains,9553,9553.0,,,1.0
no_self,all_excitatory_E_E_E_chains,4472,4472.0,,,1.0
no_self,all_inhibitory_edges_I_to_I,692,692.0,,,1.0
no_self,reciprocal_pair,422,422.0,,,1.0
no_self,all_excitatory_edges_E_to_E,355,355.0,,,1.0
