variant,ii_chain_order,motif_length,fro_norm,signed_sum,positive_sum,negative_sum,max_abs,spectral_bound,relative_contribution,cumulative_energy,passes_decay_rule,passes_cumulative_energy_rule,passes_spectral_radius_rule,null_mean_fro,null_sd_fro,null_z,passes_null_significance_rule
with_self,0,E->I->E,2.234204463902088,-5.574129209806142,0.0,-5.574129209806142,2.1356526294710836,1.0,0.955788601995407,0.955788601995407,True,False,True,2.2342044639020773,1.067952148123211e-14,0.997997995989972,False
with_self,1,E->I->I->E,0.09093412194617466,0.4585258848685072,0.4585258848685072,0.0,0.04456405585147143,0.15487476104777587,0.03890145181109219,0.9946900538064992,True,False,True,0.08559055700910424,0.051320545387883325,0.10412135912982759,False
with_self,2,E->I->I->I->E,0.010600871663649704,-0.05372050683749095,0.0,-0.05372050683749095,0.005875142986017546,0.023986191609605672,0.004535033597433771,0.999225087403933,False,False,True,0.0065408125970081304,0.0046437038156016885,0.8743148202089862,False
with_self,3,E->I->I->I->I->E,0.0015366758664882637,0.007175062825325463,0.007175062825325463,0.0,0.0009099114049502347,0.0037148556939838448,0.0006573871379639605,0.9998824745418969,False,False,False,0.0005482821891924129,0.0004444457051293377,2.2238794657903584,True
with_self,4,E->I->I->I->I->I->E,0.0002325225975387087,-0.0010112593560206557,0.0,-0.0010112593560206557,0.00014092231142789183,0.0005753373879327176,9.947274388921043e-05,0.9999819472857862,False,False,False,4.88829852805983e-05,5.297025123933271e-05,3.466844275070193,True
with_self,5,E->I->I->I->I->I->I->E,3.568547226563919e-05,0.00014697409674399887,0.00014697409674399887,0.0,2.182530930869845e-05,8.910524047793116e-05,1.5266180065163405e-05,0.9999972134658514,False,False,False,4.474299884390315e-06,6.373737635931365e-06,4.896839839358735,True
with_self,6,E->I->I->I->I->I->I->I->E,5.5063036552276955e-06,-2.180583225091262e-05,0.0,-2.180583225091262e-05,3.3801895639784723e-06,1.3800152827124194e-05,2.355586678759281e-06,0.9999995690525301,False,False,False,4.269079616772949e-07,7.778712516493853e-07,6.529866842077187,True
with_self,7,E->I->I->I->I->I->I->I->I->E,8.514546563112875e-07,3.2811650856829435e-06,3.2811650856829435e-06,0.0,5.235060510173514e-07,2.137295371523648e-06,3.642507517852269e-07,0.9999999333032819,False,False,False,4.2447238648683804e-08,9.525951459570638e-08,8.492667856813412,True
with_self,8,E->I->I->I->I->I->I->I->I->I->E,1.3177929180055167e-07,-4.984576426479435e-07,0.0,-4.984576426479435e-07,8.107787455837704e-08,3.3101310995324235e-07,5.637494111081226e-08,0.999999989678223,False,False,False,4.389465946957614e-09,1.1732989291688673e-08,10.85740578863679,True
with_self,9,E->I->I->I->I->I->I->I->I->I->I->E,2.0403113126614634e-08,7.62092053630903e-08,7.62092053630903e-08,0.0,1.255691644849019e-08,5.126557630768957e-08,8.728414649025496e-09,0.9999999984066377,False,False,False,4.717459472864283e-10,1.453214703834395e-09,13.715362999519677,True
with_self,10,E->I->I->I->I->I->I->I->I->I->I->I->E,3.159493162271599e-09,-1.170148053067713e-08,0.0,-1.170148053067713e-08,1.9447494344568054e-09,7.939743880629941e-09,1.351625422548596e-09,0.999999999758263,False,False,False,5.2596864317526426e-11,1.8139802626376737e-10,17.127508837590078,True
with_self,11,E->I->I->I->I->I->I->I->I->I->I->I->I->E,4.892947720364222e-10,1.8018129222385523e-09,1.8018129222385523e-09,0.0,3.0119260395929486e-10,1.2296659362931029e-09,2.0931941265195158e-10,0.9999999999675825,False,False,False,6.0835831594034534e-12,2.2870348814882978e-11,21.1282824231595,True
with_self,12,E->I->I->I->I->I->I->I->I->I->I->I->I->I->E,7.577717728567661e-11,-2.779729460279459e-10,0.0,-2.779729460279459e-10,4.664713256755318e-11,1.904442180519839e-10,3.241733848053443e-11,0.9999999999999998,False,False,False,7.270465899035968e-13,2.920924496117925e-12,25.693964631923524,True
no_self,0,E->I->E,6.972969994743985,-17.396901830067954,0.0,-17.396901830067954,6.665388931543457,1.0,0.9613612594228255,0.9613612594228255,True,False,True,6.972969994744009,2.402892333277225e-14,-0.9979979959899719,False
no_self,1,E->I->I->E,0.2530079365359488,0.9184769912711281,0.9184769912711281,0.0,0.14181977377750118,0.11637084502575919,0.03488212751460439,0.9962433869374299,True,False,True,0.38499296858010407,0.24510013098807573,-0.5384943349972198,False
no_self,2,E->I->I->I->E,0.024193992421664107,-0.0917829944498833,0.0,-0.0917829944498833,0.014502802616233575,0.013542173572009262,0.0033356184011245366,0.9995790053385544,False,False,False,0.04733519655084241,0.033160565666619055,-0.6978531175200458,False
no_self,3,E->I->I->I->I->E,0.002698698618827887,0.009456403817934445,0.009456403817934445,0.0,0.0016706684273046263,0.0015759141820602216,0.0003720687605073041,0.9999510740990617,False,False,False,0.005864996293065506,0.0033744772924495232,-0.9383075954673894,False
no_self,4,E->I->I->I->I->I->E,0.0003136776270265415,-0.001072518853293924,0.0,-0.001072518853293924,0.00019508265671918797,0.00018339046505442608,4.324663935142475e-05,0.9999943207384131,False,False,False,0.0007569857550086524,0.0005673322827924138,-0.7813906266714544,False
no_self,5,E->I->I->I->I->I->I->E,3.6403304281006957e-05,0.00012127989128697019,0.00012127989128697019,0.0,2.2670000043212343e-05,2.1341303388050523e-05,5.018912526100164e-06,0.9999993396509392,False,False,False,9.865779278795014e-05,7.545347698887679e-05,-0.8250711695647984,False
no_self,6,E->I->I->I->I->I->I->I->E,4.2326502980616005e-06,-1.3877365995148049e-05,0.0,-1.3877365995148049e-05,2.6393804875318064e-06,2.483505509218537e-06,5.835542135285348e-07,0.9999999232051527,False,False,False,1.3306228008122297e-05,1.3483742416307989e-05,-0.6729272504558236,False
no_self,7,E->I->I->I->I->I->I->I->I->E,4.921994489245603e-07,1.5923107786027231e-06,1.5923107786027231e-06,0.0,3.0706382067791534e-07,2.8900763473388953e-07,6.785938882025964e-08,0.9999999910645415,False,False,False,1.7816092271667119e-06,1.8696545459906603e-06,-0.6896513481633267,False
no_self,8,E->I->I->I->I->I->I->I->I->I->E,5.7269774254080354e-08,-1.8338257424270446e-07,0.0,-1.8338257424270446e-07,3.573489333806495e-08,3.363206267287868e-08,7.895766415926622e-09,0.9999999989603079,False,False,False,2.45730632071913e-07,3.2777229396940934e-07,-0.5749749484177621,False
no_self,9,E->I->I->I->I->I->I->I->I->I->I->E,6.664619386179574e-09,2.1168652367619933e-08,2.1168652367619933e-08,0.0,4.1581827281546905e-09,3.913791553202185e-09,9.188490544919679e-10,0.999999999879157,False,False,False,3.412668404435515e-08,4.84063849426787e-08,-0.5673231886804867,False
no_self,10,E->I->I->I->I->I->I->I->I->I->I->I->E,7.757035552934833e-10,-2.448154865218969e-09,0.0,-2.448154865218969e-09,4.838840098468632e-10,4.5545123030081675e-10,1.0694601402527421e-10,0.999999999986103,False,False,False,4.787465494966308e-09,8.195014082665075e-09,-0.48953691832682883,False
