variant,motif,E_source,I_first,I_second,E_receiver,E_to_I,I_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,15.570332158163957,-0.17899388333431104,-0.015335705705200408,0.04274052312619735,0.04274052312619735
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,15.570332158163957,-0.17899388333431104,-0.014714947928216548,0.041010474791092134,0.041010474791092134
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,15.570332158163957,-0.17899388333431104,-0.007965358514344446,0.022199408122141114,0.022199408122141114
with_self,E-I-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,29.51680665294873,-0.010379690017985159,-0.07220663505536311,0.022122329721020996,0.022122329721020996
with_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,46.82397293872388,-0.004605212941902904,-0.07220663505536311,0.015570231983339485,0.015570231983339485
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,15.570332158163957,-0.17899388333431104,-0.004829354099497952,0.013459381950984747,0.013459381950984747
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,15.570332158163957,-0.17899388333431104,-0.004087959411203045,0.011393119241603012,0.011393119241603012
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Hilar Ectopic Granule,8.554852573701078,-0.10451361641756894,-0.0120639231928534,0.01078633660074441,0.01078633660074441
with_self,E-I-I-E,CA3c Pyramidal,CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,20.02272797645937,-0.005725907689017244,-0.07220663505536311,0.008278367385616985,0.008278367385616985
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Mossy,8.554852573701078,-0.10451361641756894,-0.009181942400868484,0.008209561665900292,0.008209561665900292
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal,15.570332158163957,-0.17899388333431104,-0.002931561521548366,0.00817024500966523,0.00817024500966523
with_self,E-I-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,6.237137836109075,-0.017851102740833007,-0.07220663505536311,0.008039471462444488,0.008039471462444488
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Granule,8.554852573701078,-0.10451361641756894,-0.008851225240131861,0.007913867921972868,0.007913867921972868
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII Oblique Pyramidal,15.570332158163957,-0.17899388333431104,-0.002800113066670767,0.007803898925983291,0.007803898925983291
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal Stellate,15.570332158163957,-0.17899388333431104,-0.002583073714761274,0.007199011507177588,0.007199011507177588
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal,15.570332158163957,-0.17899388333431104,-0.002446106226676151,0.006817283909858462,0.006817283909858462
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Basket CCK+,CA1 Pyramidal,13.314089769914581,-0.04242480545252329,-0.011929814372781952,0.006738527831312776,0.006738527831312776
with_self,E-I-I-E,CA3c Pyramidal,CA1 Bistratified,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,7.417384403119961,-0.011761850280125078,-0.07220663505536311,0.006299463156570999,0.006299463156570999
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,15.570332158163957,-0.17899388333431104,-0.002127665125439614,0.005929790402004003,0.005929790402004003
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Basket,CA1 Pyramidal,13.314089769914581,-0.05090059450583925,-0.007188014515186286,0.004871282104923191,0.004871282104923191
