scenario,neuron,backbone_position,peak_abs_activity,auc_abs_activity,time_to_peak
g=1,CA1 Axo Axonic,0,1.0000000000000002,1.1783369579336567,0.0
g=1,CA1 Back Projection,1,5.598387793209368e-05,0.0002837203132481633,2.333333333333333
g=1,CA1 Basket,2,2.4984713651024807e-05,0.00018153720504239106,2.1666666666666665
g=1,CA1 Basket CCK+,3,2.463820604230605e-05,0.00019103643327111458,2.333333333333333
g=1,CA1 Bistratified,4,2.5355562768392126e-05,0.00014331443958368265,2.1666666666666665
g=1,CA1 Horizontal Axo Axonic,5,4.6667431866598275e-05,0.00023050347674159419,2.333333333333333
g=1,CA1 Horizontal Basket,6,6.921846787877849e-05,0.0003176719928381096,2.333333333333333
g=1,CA1 Ivy,7,1.2487528909077821e-05,6.475364398107502e-05,2.1666666666666665
g=1,CA1 LMR,8,9.533121886882902e-06,8.475949115244102e-05,7.5
g=1,CA1 Neurogliaform,9,4.395213076298712e-06,3.626557616972278e-05,5.666666666666666
g=1,CA1 Neurogliaform Projecting,10,3.8232234944157034e-07,3.1008575531428224e-06,5.5
g=1,CA1 O LM,11,1.1375324033197076e-05,6.146747318860894e-05,2.333333333333333
g=1,CA1 O LMR,12,1.2212992841952042e-05,6.4290988006766e-05,2.333333333333333
g=1,CA1 OR LM,13,3.6461243642073315e-05,0.00025310313271982945,2.333333333333333
g=1,CA1 Oriens Alveus,14,2.9694228430007796e-05,0.0001977406573305185,2.333333333333333
g=1,CA1 Oriens Bistratified,15,4.035218781988509e-06,1.992494023980552e-05,2.333333333333333
g=1,CA1 Perforant Path Associated,16,2.7173696736894333e-05,0.0002469803478434632,7.166666666666666
g=1,CA1 Perforant Path Associated QuadD,17,6.570631964313706e-05,0.0005604918961635616,2.333333333333333
g=1,CA1 Pyramidal,18,0.00011713830561054249,0.000391347027397587,1.1666666666666665
g=1,CA1 Quadrilaminar,19,1.5879084201503302e-05,0.00010304993407245,2.333333333333333
g=1,CA1 R Receiving Apical Targeting,20,1.613567216202311e-05,0.00014725053903305162,7.833333333333333
g=1,CA1 Radial Trilaminar,21,1.2566989688600483e-05,5.865224234888684e-05,1.8333333333333333
g=1,CA1 Radiatum,22,3.6159936803112098e-06,3.2848719349461706e-05,7.833333333333333
g=1,CA1 Radiatum Giant,23,8.491773870960596e-06,2.7855761830651335e-05,1.1666666666666665
g=1,CA1 Recurrent O LM,24,2.3377737039938402e-05,0.00012105163662445373,2.333333333333333
g=1,CA1 SO SO,25,6.350803007612073e-05,0.00032549316962349667,2.333333333333333
g=1,CA1 Schaffer Collateral Associated,26,2.673968830540661e-06,2.42840967533624e-05,7.5
g=1,CA1 Trilaminar,27,0.00033513239781785,0.0017908902508815927,2.333333333333333
g=1,CA2 Basket,28,1.5132977233172534e-05,0.00012580058756196953,5.5
g=1,CA2 Bistratified,29,7.395914307500688e-06,6.501622436525828e-05,5.833333333333333
g=1,CA2 Pyramidal,30,1.8135017592786457e-06,1.6619762035026007e-05,6.333333333333333
g=1,CA2 SP SR,31,5.356614058774621e-07,4.93553866652876e-06,8.0
g=1,CA2 Wide Arbor Basket,32,4.968063239812445e-06,4.146017570939383e-05,5.5
g=1,CA3 Axo Axonic,33,3.6272320689677458e-06,3.136396737323362e-05,6.166666666666666
g=1,CA3 Basket,34,4.569412077119016e-06,4.020529338697448e-05,6.666666666666666
g=1,CA3 Basket CCK+,35,6.594346199635206e-07,5.963224824043417e-06,7.333333333333333
g=1,CA3 Granule,36,1.894927181881191e-06,1.746816785315782e-05,7.0
g=1,CA3 Horizontal Axo Axonic,37,3.527755998628847e-07,2.4387344856101107e-06,3.1666666666666665
g=1,CA3 LMR Targeting,38,1.2649932562646612e-06,1.1046404676654624e-05,6.5
g=1,CA3 Lucidum ORAX,39,2.2617444172374178e-06,1.9308351874258754e-05,6.5
g=1,CA3 Mossy Fiber Associated,40,4.113833018596844e-06,3.056400399313014e-05,5.166666666666666
g=1,CA3 Mossy Fiber Associated ORDEN,41,1.3629898106282405e-06,1.1462622187933356e-05,6.5
g=1,CA3 O LM,42,8.817179658764693e-07,5.765892829669453e-06,3.1666666666666665
g=1,CA3 Pyramidal,43,3.345792892786912e-07,3.0334104406090254e-06,7.5
g=1,CA3 Spiny Lucidum,44,4.443102463195722e-07,3.0421007396363846e-06,5.0
g=1,CA3 Trilaminar,45,5.3719050356541025e-08,5.612280800822465e-07,8.833333333333332
g=1,CA3c Pyramidal,46,4.3376842016115817e-07,3.7279096762875934e-06,6.333333333333333
g=1,DG AIPRIM,47,7.366018852219094e-05,0.00052267137316139,4.833333333333333
g=1,DG Axo Axonic,48,7.373698942882725e-05,0.0005191161855677578,4.5
g=1,DG Basket,49,1.2717286835175817e-05,8.676996300543521e-05,4.5
g=1,DG Granule,50,5.858551693431045e-06,3.491277103872462e-05,3.6666666666666665
g=1,DG HICAP,51,2.6864797190382858e-05,0.00017691306572285284,4.333333333333333
g=1,DG HIPP,52,3.6946023730640223e-06,2.57736883806476e-05,4.833333333333333
g=1,DG HIPROM,53,9.64323908329845e-06,6.45122178964685e-05,4.5
g=1,DG Hilar Ectopic Granule,54,8.474094684260067e-06,5.804880996679412e-05,4.5
g=1,DG MOLAX,55,1.406753437112134e-05,9.353099628537978e-05,4.5
g=1,DG MOPP,56,1.1058269546240784e-07,9.783879296958735e-07,4.333333333333333
g=1,DG Mossy,57,1.0738994715329641e-05,7.333822382687446e-05,4.833333333333333
g=1,DG Neurogliaform,58,2.751318995894425e-08,2.1772612418914672e-07,3.5
g=1,DG Semilunar Granule,59,3.2125892200453635e-07,1.92259220581639e-06,3.5
g=1,DG Total Molecular Layer,60,1.2510567158580165e-05,8.516084308560806e-05,4.666666666666666
g=1,EC LI II Multipolar Pyramidal,61,1.1676782867182971e-06,1.0014275458048508e-05,5.0
g=1,EC LI II Pyramidal Fan,62,2.1102029992854252e-07,1.9226076863327244e-06,5.833333333333333
g=1,EC LII III Pyramidal Tripolar,63,2.2262038919697703e-06,1.9685405468556997e-05,5.333333333333333
g=1,EC LIII Pyramidal,64,1.976950335890246e-06,1.7573221779522436e-05,5.333333333333333
g=1,EC LIII Pyramidal Stellate,65,3.276458171350808e-06,2.5108040941866777e-05,4.333333333333333
g=1,EC LIII Stellate,66,2.4818377253198914e-06,2.2026642251428434e-05,5.333333333333333
g=1,EC LIII V Bipolar Pyramidal,67,2.5380652533377868e-05,0.00012324442594644863,2.5
g=1,EC LIV VI Deep Multipolar Principal,68,2.400512611259946e-05,0.00011353377305269049,2.333333333333333
g=1,EC LV Deep Pyramidal,69,3.1185497933632674e-05,0.00014931988987312362,2.5
g=1,LEC LIII Complex Pyramidal,70,3.409526950731599e-06,2.5433510836912862e-05,4.166666666666666
g=1,LEC LIII Multipolar Principal,71,1.6152058375858418e-05,8.651999929683323e-05,2.6666666666666665
g=1,LEC LVI Multipolar Pyramidal,72,4.756793525408293e-05,0.0002247816525807533,2.5
g=1,MEC LII III Pyramidal Multiform,73,1.7705655687552045e-06,1.5502263856057525e-05,5.166666666666666
g=1,MEC LII Oblique Pyramidal,74,1.4187093247970724e-06,1.287751076115079e-05,5.833333333333333
g=1,MEC LII Stellate,75,2.1246577844727087e-06,1.8821338501935857e-05,5.333333333333333
g=1,MEC LIII Bipolar Complex Pyramidal,76,2.1474458247295217e-06,1.8121386351820312e-05,5.0
g=1,MEC LIII Complex Pyramidal,77,4.5125368520195655e-06,3.0474394535641756e-05,3.833333333333333
g=1,MEC LIII Superficial Multipolar Interneuron,78,4.3247256905807996e-05,0.0003880360213756733,5.333333333333333
g=1,MEC LIII Superficial Trilayered Interneuron,79,2.407570911511703e-06,2.1593515916370956e-05,5.5
g=1,MEC LV Multipolar Pyramidal,80,1.8115469293805014e-05,8.886294092566458e-05,2.5
g=1,MEC LV Pyramidal,81,1.5385891243676735e-05,7.536920791564839e-05,2.5
g=1,MEC LV Superficial Pyramidal,82,6.887570199619309e-06,3.593812528245118e-05,2.6666666666666665
g=1,MEC LV VI Pyramidal Polymorphic,83,6.152984388155302e-05,0.0002950091093799611,2.5
g=1,SUB CA1 Projecting Pyramidal,84,1.8954834973241436e-05,8.421235224547312e-05,2.333333333333333
