neuron,outgoing_edges,positive_fraction,negative_fraction,classification
CA3c Pyramidal,56,1.0,0.0,mostly excitatory
CA2 Pyramidal,54,1.0,0.0,mostly excitatory
CA3 Pyramidal,43,1.0,0.0,mostly excitatory
MEC LII Stellate,41,1.0,0.0,mostly excitatory
EC LIII Pyramidal,33,1.0,0.0,mostly excitatory
MEC LV Pyramidal,33,1.0,0.0,mostly excitatory
EC LI II Pyramidal Fan,31,1.0,0.0,mostly excitatory
EC LII III Pyramidal Tripolar,31,1.0,0.0,mostly excitatory
CA1 Pyramidal,29,1.0,0.0,mostly excitatory
EC LIII Pyramidal Stellate,27,1.0,0.0,mostly excitatory
DG Granule,24,1.0,0.0,mostly excitatory
DG Semilunar Granule,21,1.0,0.0,mostly excitatory
SUB CA1 Projecting Pyramidal,21,1.0,0.0,mostly excitatory
CA1 Radiatum Giant,20,1.0,0.0,mostly excitatory
DG Hilar Ectopic Granule,19,1.0,0.0,mostly excitatory
MEC LII III Pyramidal Multiform,19,1.0,0.0,mostly excitatory
MEC LV Superficial Pyramidal,19,1.0,0.0,mostly excitatory
EC LI II Multipolar Pyramidal,18,1.0,0.0,mostly excitatory
EC LIII V Bipolar Pyramidal,18,1.0,0.0,mostly excitatory
MEC LIII Bipolar Complex Pyramidal,18,1.0,0.0,mostly excitatory
MEC LIII Complex Pyramidal,18,1.0,0.0,mostly excitatory
MEC LV Multipolar Pyramidal,15,1.0,0.0,mostly excitatory
MEC LII Oblique Pyramidal,13,1.0,0.0,mostly excitatory
EC LIII Stellate,12,1.0,0.0,mostly excitatory
EC LIV VI Deep Multipolar Principal,12,1.0,0.0,mostly excitatory
DG Mossy,11,1.0,0.0,mostly excitatory
LEC LIII Complex Pyramidal,11,1.0,0.0,mostly excitatory
LEC LIII Multipolar Principal,11,1.0,0.0,mostly excitatory
CA3 Granule,10,1.0,0.0,mostly excitatory
LEC LVI Multipolar Pyramidal,9,1.0,0.0,mostly excitatory
EC LV Deep Pyramidal,8,1.0,0.0,mostly excitatory
MEC LV VI Pyramidal Polymorphic,2,1.0,0.0,mostly excitatory
CA1 Back Projection,52,0.0,1.0,mostly inhibitory
CA3 Trilaminar,40,0.0,1.0,mostly inhibitory
CA2 Bistratified,30,0.0,1.0,mostly inhibitory
DG HIPROM,29,0.0,1.0,mostly inhibitory
CA1 Quadrilaminar,27,0.0,1.0,mostly inhibitory
CA1 Trilaminar,27,0.0,1.0,mostly inhibitory
CA1 Bistratified,26,0.0,1.0,mostly inhibitory
CA1 Ivy,26,0.0,1.0,mostly inhibitory
CA1 Radial Trilaminar,26,0.0,1.0,mostly inhibitory
CA1 Schaffer Collateral Associated,26,0.0,1.0,mostly inhibitory
CA1 Perforant Path Associated,25,0.0,1.0,mostly inhibitory
CA1 Recurrent O LM,25,0.0,1.0,mostly inhibitory
CA1 Neurogliaform Projecting,24,0.0,1.0,mostly inhibitory
CA1 Oriens Bistratified,24,0.0,1.0,mostly inhibitory
CA3 Spiny Lucidum,23,0.0,1.0,mostly inhibitory
CA3 Mossy Fiber Associated,21,0.0,1.0,mostly inhibitory
CA1 Oriens Alveus,20,0.0,1.0,mostly inhibitory
CA2 Wide Arbor Basket,20,0.0,1.0,mostly inhibitory
CA3 Mossy Fiber Associated ORDEN,20,0.0,1.0,mostly inhibitory
CA1 O LMR,19,0.0,1.0,mostly inhibitory
CA1 SO SO,19,0.0,1.0,mostly inhibitory
CA1 LMR,18,0.0,1.0,mostly inhibitory
CA1 R Receiving Apical Targeting,18,0.0,1.0,mostly inhibitory
CA1 Radiatum,16,0.0,1.0,mostly inhibitory
MEC LIII Superficial Multipolar Interneuron,16,0.0,1.0,mostly inhibitory
MEC LIII Superficial Trilayered Interneuron,16,0.0,1.0,mostly inhibitory
CA1 O LM,14,0.0,1.0,mostly inhibitory
CA1 OR LM,14,0.0,1.0,mostly inhibitory
CA3 Lucidum ORAX,14,0.0,1.0,mostly inhibitory
DG Total Molecular Layer,14,0.0,1.0,mostly inhibitory
CA1 Neurogliaform,13,0.0,1.0,mostly inhibitory
CA3 O LM,12,0.0,1.0,mostly inhibitory
DG HIPP,12,0.0,1.0,mostly inhibitory
DG MOLAX,12,0.0,1.0,mostly inhibitory
DG Neurogliaform,12,0.0,1.0,mostly inhibitory
CA1 Perforant Path Associated QuadD,11,0.0,1.0,mostly inhibitory
DG AIPRIM,11,0.0,1.0,mostly inhibitory
DG MOPP,11,0.0,1.0,mostly inhibitory
CA1 Basket,9,0.0,1.0,mostly inhibitory
CA1 Basket CCK+,9,0.0,1.0,mostly inhibitory
CA1 Horizontal Basket,9,0.0,1.0,mostly inhibitory
CA3 LMR Targeting,9,0.0,1.0,mostly inhibitory
DG HICAP,9,0.0,1.0,mostly inhibitory
DG Basket,6,0.0,1.0,mostly inhibitory
CA3 Basket,5,0.0,1.0,mostly inhibitory
CA3 Basket CCK+,5,0.0,1.0,mostly inhibitory
CA2 Basket,4,0.0,1.0,mostly inhibitory
CA2 SP SR,4,0.0,1.0,mostly inhibitory
DG Axo Axonic,3,0.0,1.0,mostly inhibitory
CA1 Axo Axonic,2,0.0,1.0,mostly inhibitory
CA1 Horizontal Axo Axonic,2,0.0,1.0,mostly inhibitory
CA3 Axo Axonic,2,0.0,1.0,mostly inhibitory
CA3 Horizontal Axo Axonic,2,0.0,1.0,mostly inhibitory
