neuron,backbone_position,peak_with_inhibition,peak_without_inhibition,inhibition_index
CA1 Axo Axonic,0,1.0000000000000002,1.0000000000000004,1.000310945187266e-12
CA1 Back Projection,1,5.598387793209368e-05,3.669581654921781e-16,-55963340.72687877
CA1 Basket,2,2.4984713651024807e-05,2.8796889764615174e-16,-24977519.901864763
CA1 Basket CCK+,3,2.463820604230605e-05,2.9385434430183516e-16,-24630967.125318065
CA1 Bistratified,4,2.5355562768392126e-05,9.823505088680833e-17,-25353071.20805363
CA1 Horizontal Axo Axonic,5,4.6667431866598275e-05,1.8213930246031765e-16,-46658932.441007785
CA1 Horizontal Basket,6,6.921846787877849e-05,3.872634084197529e-16,-69191671.47586122
CA1 Ivy,7,1.2487528909077821e-05,2.3982888533748447e-18,-12487497.96044826
CA1 LMR,8,9.533121886882902e-06,1.8515746243998782e-17,-9532944.377285339
CA1 Neurogliaform,9,4.395213076298712e-06,7.062805710175981e-17,-4394901.672861776
CA1 Neurogliaform Projecting,10,3.8232234944157034e-07,5.407177396150529e-17,-382300.67771166796
CA1 O LM,11,1.1375324033197076e-05,8.046343352941492e-17,-11374407.80920992
CA1 O LMR,12,1.2212992841952042e-05,1.7201564167427165e-17,-12212781.76298568
CA1 OR LM,13,3.6461243642073315e-05,2.5359255676698146e-17,-36460318.03552084
CA1 Oriens Alveus,14,2.9694228430007796e-05,1.2533997295293978e-16,-29690506.022660617
CA1 Oriens Bistratified,15,4.035218781988509e-06,3.6768873125541063e-17,-4035069.4169962937
CA1 Perforant Path Associated,16,2.7173696736894333e-05,8.654532861284079e-17,-27171344.183896538
CA1 Perforant Path Associated QuadD,17,6.570631964313706e-05,5.303886427501283e-16,-65671487.23162651
CA1 Pyramidal,18,0.00011713830561054249,1.915908124842935e-18,-117138080.18474104
CA1 Quadrilaminar,19,1.5879084201503302e-05,1.0100139885680895e-16,-15877479.55375705
CA1 R Receiving Apical Targeting,20,1.613567216202311e-05,1.8824106169859096e-16,-16132634.337619161
CA1 Radial Trilaminar,21,1.2566989688600483e-05,3.935954407441194e-18,-12566939.225696715
CA1 Radiatum,22,3.6159936803112098e-06,9.319778569626521e-17,-3615655.7091120826
CA1 Radiatum Giant,23,8.491773870960596e-06,3.59404996046871e-19,-8491769.81897574
CA1 Recurrent O LM,24,2.3377737039938402e-05,1.1882285305187681e-16,-23374958.560553446
CA1 SO SO,25,6.350803007612073e-05,1.6182153836640983e-16,-63497753.771760754
CA1 Schaffer Collateral Associated,26,2.673968830540661e-06,1.4921107713392236e-16,-2673568.904295448
CA1 Trilaminar,27,0.00033513239781785,2.713422004477777e-16,-335041485.9235469
CA2 Basket,28,1.5132977233172534e-05,3.583270913547166e-17,-15132433.997030776
CA2 Bistratified,29,7.395914307500688e-06,1.5268465889790513e-16,-7394784.237239118
CA2 Pyramidal,30,1.8135017592786457e-06,3.591708171689228e-18,-1813494.2457329521
CA2 SP SR,31,5.356614058774621e-07,6.892087065575804e-17,-535623.4901712548
CA2 Wide Arbor Basket,32,4.968063239812445e-06,1.0022768604021297e-16,-4967564.352231938
CA3 Axo Axonic,33,3.6272320689677458e-06,3.903132581319357e-16,-3625815.8645739444
CA3 Basket,34,4.569412077119016e-06,3.632031215580795e-16,-4567752.054950952
CA3 Basket CCK+,35,6.594346199635206e-07,1.0448878394280793e-16,-659364.7236408838
CA3 Granule,36,1.894927181881191e-06,8.976295882005005e-18,-1894909.1726068119
CA3 Horizontal Axo Axonic,37,3.527755998628847e-07,3.829852070191799e-19,-352774.46475510026
CA3 LMR Targeting,38,1.2649932562646612e-06,2.0225793967453917e-16,-1264736.4530731735
CA3 Lucidum ORAX,39,2.2617444172374178e-06,2.7460945996759274e-16,-2261122.4913365417
CA3 Mossy Fiber Associated,40,4.113833018596844e-06,7.657329697604066e-17,-4113517.0329588894
CA3 Mossy Fiber Associated ORDEN,41,1.3629898106282405e-06,1.1148740859378152e-16,-1362836.8713656284
CA3 O LM,42,8.817179658764693e-07,3.932024122403981e-17,-881682.2978765137
CA3 Pyramidal,43,3.345792892786912e-07,2.590044951247665e-19,-334578.20262117375
CA3 Spiny Lucidum,44,4.443102463195722e-07,3.6281518826459467e-17,-444293.1266538516
CA3 Trilaminar,45,5.3719050356541025e-08,6.333182692454899e-19,-53718.01633530658
CA3c Pyramidal,46,4.3376842016115817e-07,9.064357752382566e-19,-433767.02697830036
DG AIPRIM,47,7.366018852219094e-05,1.122249376465124e-17,-73659360.88046151
DG Axo Axonic,48,7.373698942882725e-05,2.834343390419527e-16,-73716094.75594991
DG Basket,49,1.2717286835175817e-05,8.578787460975594e-17,-12716194.939753026
DG Granule,50,5.858551693431045e-06,4.1412820080113655e-18,-5858526.431616799
DG HICAP,51,2.6864797190382858e-05,7.092140374221473e-17,-26862891.036371063
DG HIPP,52,3.6946023730640223e-06,1.6557821698309975e-17,-3694540.199509584
DG HIPROM,53,9.64323908329845e-06,5.813501578990669e-17,-9642677.506031245
DG Hilar Ectopic Granule,54,8.474094684260067e-06,4.364801669374452e-17,-8473723.822977535
DG MOLAX,55,1.406753437112134e-05,4.322285516287121e-17,-14066925.358400766
DG MOPP,56,1.1058269546240784e-07,1.5721004243713846e-17,-110579.95701871329
DG Mossy,57,1.0738994715329641e-05,3.2268089033273466e-18,-10738959.062757699
DG Neurogliaform,58,2.751318995894425e-08,9.832290685493581e-19,-27512.162907202714
DG Semilunar Granule,59,3.2125892200453635e-07,2.2849874166255116e-19,-321257.8485972937
DG Total Molecular Layer,60,1.2510567158580165e-05,1.6271812659641964e-16,-12508530.79372022
