sender,receiver,inhibitory_weight,backbone_distance,abs_backbone_distance,direction_class,long_range
CA1 Back Projection,CA1 Axo Axonic,0.006931814823685118,-1,1,feedback inhibition,False
CA1 Basket,CA1 Axo Axonic,0.011696886544391931,-2,2,feedback inhibition,False
CA1 Basket CCK+,CA1 Axo Axonic,0.025117984385328734,-3,3,feedback inhibition,False
CA1 Bistratified,CA1 Axo Axonic,0.004324490598411957,-4,4,feedback inhibition,False
CA1 Horizontal Basket,CA1 Axo Axonic,0.008718369197786091,-6,6,feedback inhibition,False
CA1 Ivy,CA1 Axo Axonic,0.0031394739538440053,-7,7,feedback inhibition,False
CA1 LMR,CA1 Axo Axonic,0.0003777235023364464,-8,8,feedback inhibition,False
CA1 Neurogliaform,CA1 Axo Axonic,0.0013233176586831985,-9,9,feedback inhibition,False
CA1 Neurogliaform Projecting,CA1 Axo Axonic,9.963816543576417e-05,-10,10,feedback inhibition,False
CA1 O LM,CA1 Axo Axonic,0.0007150379855961184,-11,11,feedback inhibition,False
CA1 O LMR,CA1 Axo Axonic,0.0008548200203083671,-12,12,feedback inhibition,False
CA1 OR LM,CA1 Axo Axonic,0.0006364219270690988,-13,13,feedback inhibition,False
CA1 Oriens Alveus,CA1 Axo Axonic,0.0009449533911194087,-14,14,feedback inhibition,False
CA1 Oriens Bistratified,CA1 Axo Axonic,0.0004448322906981496,-15,15,feedback inhibition,False
CA1 Perforant Path Associated,CA1 Axo Axonic,0.001917083693441103,-16,16,feedback inhibition,False
CA1 Perforant Path Associated QuadD,CA1 Axo Axonic,0.00011076317769870986,-17,17,feedback inhibition,False
CA1 Quadrilaminar,CA1 Axo Axonic,3.0172938562272523e-05,-19,19,feedback inhibition,False
CA1 R Receiving Apical Targeting,CA1 Axo Axonic,0.0009133131867018656,-20,20,feedback inhibition,False
CA1 Radial Trilaminar,CA1 Axo Axonic,0.00035837322862867664,-21,21,feedback inhibition,False
CA1 Radiatum,CA1 Axo Axonic,0.0001476195305789336,-22,22,feedback inhibition,False
CA1 Recurrent O LM,CA1 Axo Axonic,0.0004226930275434757,-24,24,feedback inhibition,False
CA1 SO SO,CA1 Axo Axonic,0.0007716527163949449,-25,25,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 Axo Axonic,0.003821320182753437,-26,26,feedback inhibition,False
CA1 Trilaminar,CA1 Axo Axonic,0.0034637005185159477,-27,27,feedback inhibition,False
CA2 Bistratified,CA1 Axo Axonic,2.179706200472358e-05,-29,29,feedback inhibition,False
CA2 Wide Arbor Basket,CA1 Axo Axonic,0.01765331168937261,-32,32,feedback inhibition,False
CA3 Trilaminar,CA1 Axo Axonic,0.002236312848643542,-45,45,feedback inhibition,True
CA1 Bistratified,CA1 Back Projection,0.005280115968659898,-3,3,feedback inhibition,False
CA1 Ivy,CA1 Back Projection,0.006001340975654749,-6,6,feedback inhibition,False
CA1 Oriens Alveus,CA1 Back Projection,0.0025657290192120192,-13,13,feedback inhibition,False
CA1 Oriens Bistratified,CA1 Back Projection,0.0003808508489459627,-14,14,feedback inhibition,False
CA1 Quadrilaminar,CA1 Back Projection,2.181303143626406e-05,-18,18,feedback inhibition,False
CA1 Radial Trilaminar,CA1 Back Projection,0.0005570956430631237,-20,20,feedback inhibition,False
CA1 Recurrent O LM,CA1 Back Projection,0.0002502354807321728,-23,23,feedback inhibition,False
CA1 SO SO,CA1 Back Projection,0.001970847840809244,-24,24,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 Back Projection,0.004610566745869657,-25,25,feedback inhibition,False
CA1 Trilaminar,CA1 Back Projection,0.005455312798089905,-26,26,feedback inhibition,False
CA2 Bistratified,CA1 Back Projection,4.4238884501131455e-05,-28,28,feedback inhibition,False
CA3 Trilaminar,CA1 Back Projection,0.004590705934527339,-44,44,feedback inhibition,True
CA1 Back Projection,CA1 Basket,0.015469952619418808,1,1,feedforward inhibition,False
CA1 Basket CCK+,CA1 Basket,0.05573258409514906,-1,1,feedback inhibition,False
CA1 Bistratified,CA1 Basket,0.010939531832513174,-2,2,feedback inhibition,False
CA1 Horizontal Basket,CA1 Basket,0.020197106653219964,-4,4,feedback inhibition,False
CA1 Ivy,CA1 Basket,0.008066205709507172,-5,5,feedback inhibition,False
CA1 LMR,CA1 Basket,0.0008400846839512945,-6,6,feedback inhibition,False
CA1 Neurogliaform,CA1 Basket,0.0023589063520652307,-7,7,feedback inhibition,False
CA1 Neurogliaform Projecting,CA1 Basket,0.0001667781703435852,-8,8,feedback inhibition,False
CA1 O LM,CA1 Basket,0.001296047964902336,-9,9,feedback inhibition,False
CA1 O LMR,CA1 Basket,0.0017706954543354433,-10,10,feedback inhibition,False
CA1 OR LM,CA1 Basket,0.0010189510445879272,-11,11,feedback inhibition,False
CA1 Oriens Alveus,CA1 Basket,0.0024093186692008277,-12,12,feedback inhibition,False
CA1 Oriens Bistratified,CA1 Basket,0.0012886689876230029,-13,13,feedback inhibition,False
CA1 Perforant Path Associated,CA1 Basket,0.0034640060523775957,-14,14,feedback inhibition,False
CA1 Perforant Path Associated QuadD,CA1 Basket,0.00020862079720057117,-15,15,feedback inhibition,False
CA1 Quadrilaminar,CA1 Basket,6.993974367561265e-05,-17,17,feedback inhibition,False
CA1 R Receiving Apical Targeting,CA1 Basket,0.0020439879957485584,-18,18,feedback inhibition,False
CA1 Radial Trilaminar,CA1 Basket,0.0009035651699171773,-19,19,feedback inhibition,False
CA1 Radiatum,CA1 Basket,0.00038555712572961804,-20,20,feedback inhibition,False
CA1 Recurrent O LM,CA1 Basket,0.0009051952335640329,-22,22,feedback inhibition,False
CA1 SO SO,CA1 Basket,0.001851619755570186,-23,23,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 Basket,0.009367583295075492,-24,24,feedback inhibition,False
CA1 Trilaminar,CA1 Basket,0.008032210908962986,-25,25,feedback inhibition,False
CA2 Bistratified,CA1 Basket,9.216749645026034e-05,-27,27,feedback inhibition,False
CA2 Wide Arbor Basket,CA1 Basket,0.040588219352996044,-30,30,feedback inhibition,False
CA3 Trilaminar,CA1 Basket,0.005575618984165422,-43,43,feedback inhibition,True
CA1 Back Projection,CA1 Basket CCK+,0.014409712187548995,2,2,feedforward inhibition,False
CA1 Basket,CA1 Basket CCK+,0.02140542163752191,1,1,feedforward inhibition,False
CA1 Bistratified,CA1 Basket CCK+,0.010076113408322799,-1,1,feedback inhibition,False
CA1 Horizontal Basket,CA1 Basket CCK+,0.017461958390528387,-3,3,feedback inhibition,False
CA1 Ivy,CA1 Basket CCK+,0.007120291471287302,-4,4,feedback inhibition,False
CA1 LMR,CA1 Basket CCK+,0.00076978748963931,-5,5,feedback inhibition,False
CA1 Neurogliaform,CA1 Basket CCK+,0.0025351980282953893,-6,6,feedback inhibition,False
CA1 Neurogliaform Projecting,CA1 Basket CCK+,0.00018700303029449628,-7,7,feedback inhibition,False
CA1 O LM,CA1 Basket CCK+,0.0013704665453753814,-8,8,feedback inhibition,False
CA1 O LMR,CA1 Basket CCK+,0.0017710276502126865,-9,9,feedback inhibition,False
CA1 OR LM,CA1 Basket CCK+,0.001179207671292859,-10,10,feedback inhibition,False
CA1 Oriens Alveus,CA1 Basket CCK+,0.0021393741947289173,-11,11,feedback inhibition,False
CA1 Oriens Bistratified,CA1 Basket CCK+,0.0009859448419468075,-12,12,feedback inhibition,False
CA1 Perforant Path Associated,CA1 Basket CCK+,0.0035717245025277196,-13,13,feedback inhibition,False
CA1 Perforant Path Associated QuadD,CA1 Basket CCK+,0.0002078919453934316,-14,14,feedback inhibition,False
CA1 Quadrilaminar,CA1 Basket CCK+,6.592052789434963e-05,-16,16,feedback inhibition,False
CA1 R Receiving Apical Targeting,CA1 Basket CCK+,0.001807406759210824,-17,17,feedback inhibition,False
CA1 Radial Trilaminar,CA1 Basket CCK+,0.0007894847338137138,-18,18,feedback inhibition,False
CA1 Radiatum,CA1 Basket CCK+,0.00031400205134963295,-19,19,feedback inhibition,False
CA1 Recurrent O LM,CA1 Basket CCK+,0.0008287232688668674,-21,21,feedback inhibition,False
CA1 SO SO,CA1 Basket CCK+,0.0014659118146595573,-22,22,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 Basket CCK+,0.007901819314755842,-23,23,feedback inhibition,False
CA1 Trilaminar,CA1 Basket CCK+,0.007291429953415,-24,24,feedback inhibition,False
CA2 Bistratified,CA1 Basket CCK+,7.536861557673606e-05,-26,26,feedback inhibition,False
CA2 Wide Arbor Basket,CA1 Basket CCK+,0.03509808245816806,-29,29,feedback inhibition,False
CA3 Trilaminar,CA1 Basket CCK+,0.005210918194741443,-42,42,feedback inhibition,True
CA1 Back Projection,CA1 Bistratified,0.0065021406026247695,3,3,feedforward inhibition,False
CA1 Basket,CA1 Bistratified,0.012587448907979469,2,2,feedforward inhibition,False
CA1 Basket CCK+,CA1 Bistratified,0.031090020131148484,1,1,feedforward inhibition,False
CA1 Horizontal Basket,CA1 Bistratified,0.013971482954689762,-2,2,feedback inhibition,False
CA1 Ivy,CA1 Bistratified,0.004698558128065818,-3,3,feedback inhibition,False
CA1 LMR,CA1 Bistratified,0.0003198509366757325,-4,4,feedback inhibition,False
CA1 O LMR,CA1 Bistratified,0.0004918997243866059,-8,8,feedback inhibition,False
CA1 Oriens Alveus,CA1 Bistratified,0.0013730962442537343,-10,10,feedback inhibition,False
CA1 Oriens Bistratified,CA1 Bistratified,0.000645343583119437,-11,11,feedback inhibition,False
CA1 Quadrilaminar,CA1 Bistratified,3.233642308590914e-05,-15,15,feedback inhibition,False
CA1 R Receiving Apical Targeting,CA1 Bistratified,0.0006221140711976216,-16,16,feedback inhibition,False
CA1 Radial Trilaminar,CA1 Bistratified,0.0004653228888396404,-17,17,feedback inhibition,False
CA1 Radiatum,CA1 Bistratified,0.00020078822702388217,-18,18,feedback inhibition,False
CA1 Recurrent O LM,CA1 Bistratified,0.00012044684910501501,-20,20,feedback inhibition,False
CA1 SO SO,CA1 Bistratified,0.0009277799900086746,-21,21,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 Bistratified,0.004921877013266462,-22,22,feedback inhibition,False
CA1 Trilaminar,CA1 Bistratified,0.004442021609679934,-23,23,feedback inhibition,False
CA2 Bistratified,CA1 Bistratified,3.902757375424741e-05,-25,25,feedback inhibition,False
CA2 Wide Arbor Basket,CA1 Bistratified,0.0219147197446136,-28,28,feedback inhibition,False
CA3 Trilaminar,CA1 Bistratified,0.0034002893012715506,-41,41,feedback inhibition,False
CA1 Back Projection,CA1 Horizontal Axo Axonic,0.0067643734230259395,4,4,feedforward inhibition,False
CA1 Bistratified,CA1 Horizontal Axo Axonic,0.006046745960878387,1,1,feedforward inhibition,False
CA1 Ivy,CA1 Horizontal Axo Axonic,0.006632253282958328,-2,2,feedback inhibition,False
CA1 Oriens Alveus,CA1 Horizontal Axo Axonic,0.0026989008482789026,-9,9,feedback inhibition,False
CA1 Oriens Bistratified,CA1 Horizontal Axo Axonic,0.0004967671049066009,-10,10,feedback inhibition,False
CA1 Quadrilaminar,CA1 Horizontal Axo Axonic,1.6988483579009173e-05,-14,14,feedback inhibition,False
CA1 Radial Trilaminar,CA1 Horizontal Axo Axonic,0.0005011636234444615,-16,16,feedback inhibition,False
CA1 Recurrent O LM,CA1 Horizontal Axo Axonic,0.0004574293564855668,-19,19,feedback inhibition,False
CA1 SO SO,CA1 Horizontal Axo Axonic,0.0037290685358666005,-20,20,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 Horizontal Axo Axonic,0.002262027427497168,-21,21,feedback inhibition,False
CA1 Trilaminar,CA1 Horizontal Axo Axonic,0.0040590481015775155,-22,22,feedback inhibition,False
CA2 Bistratified,CA1 Horizontal Axo Axonic,4.8738262672053196e-05,-24,24,feedback inhibition,False
CA3 Trilaminar,CA1 Horizontal Axo Axonic,0.004477235323365067,-40,40,feedback inhibition,False
CA1 Back Projection,CA1 Horizontal Basket,0.009546822991728971,5,5,feedforward inhibition,False
CA1 Basket,CA1 Horizontal Basket,0.0305260330300267,4,4,feedforward inhibition,False
CA1 Basket CCK+,CA1 Horizontal Basket,0.06364228890880609,3,3,feedforward inhibition,False
CA1 Bistratified,CA1 Horizontal Basket,0.009577015042400919,2,2,feedforward inhibition,False
CA1 Ivy,CA1 Horizontal Basket,0.01095204738546883,-1,1,feedback inhibition,False
CA1 Oriens Alveus,CA1 Horizontal Basket,0.005458609140286975,-8,8,feedback inhibition,False
CA1 Oriens Bistratified,CA1 Horizontal Basket,0.001235759982331347,-9,9,feedback inhibition,False
CA1 Quadrilaminar,CA1 Horizontal Basket,3.3918280903884696e-05,-13,13,feedback inhibition,False
CA1 Radial Trilaminar,CA1 Horizontal Basket,0.0007233820208682104,-15,15,feedback inhibition,False
CA1 Recurrent O LM,CA1 Horizontal Basket,0.00074064663332819,-18,18,feedback inhibition,False
CA1 SO SO,CA1 Horizontal Basket,0.0044358456196180165,-19,19,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 Horizontal Basket,0.0038816260522406896,-20,20,feedback inhibition,False
CA1 Trilaminar,CA1 Horizontal Basket,0.006186699225003162,-21,21,feedback inhibition,False
CA2 Bistratified,CA1 Horizontal Basket,0.00021347076769615797,-23,23,feedback inhibition,False
CA2 Wide Arbor Basket,CA1 Horizontal Basket,0.04712279496984382,-26,26,feedback inhibition,False
CA3 Trilaminar,CA1 Horizontal Basket,0.007948614490812406,-39,39,feedback inhibition,False
CA1 Back Projection,CA1 Ivy,0.0039127904930007775,6,6,feedforward inhibition,False
CA1 Basket,CA1 Ivy,0.008608828797554991,5,5,feedforward inhibition,False
CA1 Basket CCK+,CA1 Ivy,0.020157974415751585,4,4,feedforward inhibition,False
CA1 Bistratified,CA1 Ivy,0.0035458673335803004,3,3,feedforward inhibition,False
CA1 Horizontal Basket,CA1 Ivy,0.008952674085527926,1,1,feedforward inhibition,False
CA1 LMR,CA1 Ivy,0.00014296647916944383,-1,1,feedback inhibition,False
CA1 O LMR,CA1 Ivy,0.00016647478050692114,-5,5,feedback inhibition,False
CA1 Oriens Alveus,CA1 Ivy,0.0008819265493883409,-7,7,feedback inhibition,False
CA1 Oriens Bistratified,CA1 Ivy,0.0002527322168540637,-8,8,feedback inhibition,False
CA1 Quadrilaminar,CA1 Ivy,1.730258097957044e-05,-12,12,feedback inhibition,False
CA1 R Receiving Apical Targeting,CA1 Ivy,0.0002906015259503764,-13,13,feedback inhibition,False
CA1 Radial Trilaminar,CA1 Ivy,0.00028298430271466,-14,14,feedback inhibition,False
CA1 Radiatum,CA1 Ivy,9.041165879320281e-05,-15,15,feedback inhibition,False
CA1 Recurrent O LM,CA1 Ivy,6.928601553211986e-05,-17,17,feedback inhibition,False
CA1 SO SO,CA1 Ivy,0.0005839853389693026,-18,18,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 Ivy,0.003029083136328775,-19,19,feedback inhibition,False
CA1 Trilaminar,CA1 Ivy,0.0027852871289133583,-20,20,feedback inhibition,False
CA2 Bistratified,CA1 Ivy,1.0373183070782984e-05,-22,22,feedback inhibition,False
CA2 Wide Arbor Basket,CA1 Ivy,0.014632891142580436,-25,25,feedback inhibition,False
CA3 Trilaminar,CA1 Ivy,0.0019227797080966726,-38,38,feedback inhibition,False
CA1 Back Projection,CA1 LMR,0.025373328309231967,7,7,feedforward inhibition,False
CA1 Bistratified,CA1 LMR,0.015371938859320068,4,4,feedforward inhibition,False
CA1 Ivy,CA1 LMR,0.003950568923603709,1,1,feedforward inhibition,False
CA1 Neurogliaform,CA1 LMR,0.011473560738343117,-1,1,feedback inhibition,False
CA1 Neurogliaform Projecting,CA1 LMR,0.0007995429548086982,-2,2,feedback inhibition,False
CA1 O LM,CA1 LMR,0.0063813608975417145,-3,3,feedback inhibition,False
CA1 O LMR,CA1 LMR,0.007165187081122899,-4,4,feedback inhibition,False
CA1 OR LM,CA1 LMR,0.005279766366482249,-5,5,feedback inhibition,False
CA1 Oriens Bistratified,CA1 LMR,0.0019866969222781896,-7,7,feedback inhibition,False
CA1 Perforant Path Associated,CA1 LMR,0.016415841129684985,-8,8,feedback inhibition,False
CA1 Perforant Path Associated QuadD,CA1 LMR,0.0009940802262097274,-9,9,feedback inhibition,False
CA1 Quadrilaminar,CA1 LMR,0.000183251451393698,-11,11,feedback inhibition,False
CA1 R Receiving Apical Targeting,CA1 LMR,0.00892322734028405,-12,12,feedback inhibition,False
CA1 Radial Trilaminar,CA1 LMR,0.0007504412642658219,-13,13,feedback inhibition,False
CA1 Radiatum,CA1 LMR,0.0013749015489048807,-14,14,feedback inhibition,False
CA1 Recurrent O LM,CA1 LMR,0.002595455701779863,-16,16,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 LMR,0.011778197161623597,-18,18,feedback inhibition,False
CA1 Trilaminar,CA1 LMR,0.006703523554201976,-19,19,feedback inhibition,False
CA2 Bistratified,CA1 LMR,4.5691076613064966e-05,-21,21,feedback inhibition,False
CA3 Trilaminar,CA1 LMR,0.002752116169711196,-37,37,feedback inhibition,False
CA1 Back Projection,CA1 Neurogliaform,0.0028532027976872596,8,8,feedforward inhibition,False
CA1 LMR,CA1 Neurogliaform,0.00023301973654929866,1,1,feedforward inhibition,False
CA1 Neurogliaform Projecting,CA1 Neurogliaform,0.00018872657399769777,-1,1,feedback inhibition,False
CA1 O LM,CA1 Neurogliaform,0.001160605976757942,-2,2,feedback inhibition,False
CA1 O LMR,CA1 Neurogliaform,0.0006734868705744996,-3,3,feedback inhibition,False
CA1 OR LM,CA1 Neurogliaform,0.001049791595547707,-4,4,feedback inhibition,False
CA1 Perforant Path Associated,CA1 Neurogliaform,0.0036403306632125,-7,7,feedback inhibition,False
CA1 Perforant Path Associated QuadD,CA1 Neurogliaform,0.0002060613786968535,-8,8,feedback inhibition,False
CA1 Quadrilaminar,CA1 Neurogliaform,1.1713564299091671e-05,-10,10,feedback inhibition,False
CA1 R Receiving Apical Targeting,CA1 Neurogliaform,0.0005799638153888975,-11,11,feedback inhibition,False
CA1 Recurrent O LM,CA1 Neurogliaform,0.0005125581792733953,-15,15,feedback inhibition,False
CA1 Back Projection,CA1 Neurogliaform Projecting,0.0008210886317725257,9,9,feedforward inhibition,False
CA1 LMR,CA1 Neurogliaform Projecting,7.635523620244376e-05,2,2,feedforward inhibition,False
CA1 Neurogliaform,CA1 Neurogliaform Projecting,0.0009237952720621938,1,1,feedforward inhibition,False
CA1 O LM,CA1 Neurogliaform Projecting,0.0004263184610541503,-1,1,feedback inhibition,False
CA1 O LMR,CA1 Neurogliaform Projecting,0.00022470543904120718,-2,2,feedback inhibition,False
CA1 OR LM,CA1 Neurogliaform Projecting,0.00037271218754653975,-3,3,feedback inhibition,False
CA1 Perforant Path Associated,CA1 Neurogliaform Projecting,0.0011733259950080404,-6,6,feedback inhibition,False
CA1 Perforant Path Associated QuadD,CA1 Neurogliaform Projecting,6.869438936603222e-05,-7,7,feedback inhibition,False
CA1 Quadrilaminar,CA1 Neurogliaform Projecting,3.636999042412023e-06,-9,9,feedback inhibition,False
