neuron,outgoing_inhibitory_strength,outgoing_inhibitory_edges,baseline_terminal_peak,ablated_terminal_peak,delta_terminal_peak
CA1 Trilaminar,0.11742849215875845,27,1.8954834973241436e-05,1.9138457762610944e-05,1.836227893695086e-07
CA1 Basket CCK+,0.3007393584784547,9,1.8954834973241436e-05,1.898221031981437e-05,2.7375346572933168e-08
CA1 Horizontal Basket,0.11192192792170234,9,1.8954834973241436e-05,1.8975257627023278e-05,2.0422653781842495e-08
CA1 Basket,0.13267974459485465,9,1.8954834973241436e-05,1.8972038690296403e-05,1.7203717054967626e-08
CA1 SO SO,0.03996866213132867,19,1.8954834973241436e-05,1.895686191430955e-05,2.0269410681145184e-09
CA3 Basket,0.12184073123907915,5,1.8954834973241436e-05,1.895634540296197e-05,1.5104297205331685e-09
CA3 Basket CCK+,0.3749433051178823,5,1.8954834973241436e-05,1.8956069430239864e-05,1.2344569984279463e-09
CA1 Oriens Alveus,0.04464073532228093,20,1.8954834973241436e-05,1.895590019031961e-05,1.065217078172892e-09
CA1 Horizontal Axo Axonic,0.0001468026458297556,2,1.8954834973241436e-05,1.895537916566173e-05,5.441924202931325e-10
CA1 R Receiving Apical Targeting,0.037100957839882986,18,1.8954834973241436e-05,1.8955073048347506e-05,2.380751060702957e-10
CA3 O LM,0.10030840651628362,12,1.8954834973241436e-05,1.8955043154267673e-05,2.0818102623720858e-10
CA1 LMR,0.015476338356977853,18,1.8954834973241436e-05,1.8954970566744007e-05,1.355935025718069e-10
CA1 Schaffer Collateral Associated,0.15511379640056217,26,1.8954834973241436e-05,1.8954851198123117e-05,1.6224881681237147e-11
CA3 LMR Targeting,0.07593802651751455,9,1.8954834973241436e-05,1.8954850758350766e-05,1.5785109330757052e-11
CA3 Horizontal Axo Axonic,0.00040218273417701406,2,1.8954834973241436e-05,1.8954850223816544e-05,1.525057510831651e-11
CA1 Radiatum,0.007789168284461152,16,1.8954834973241436e-05,1.895484772002423e-05,1.2746782795947098e-11
CA3 Trilaminar,0.17840860921225554,40,1.8954834973241436e-05,1.8954845763504216e-05,1.0790262780502324e-11
CA3 Mossy Fiber Associated ORDEN,0.004192723320503674,20,1.8954834973241436e-05,1.8954845474539184e-05,1.0501297748044536e-11
DG Neurogliaform,0.0014878239762210208,12,1.8954834973241436e-05,1.895483822860443e-05,3.2553629930598404e-12
CA3 Lucidum ORAX,0.000221826301835673,14,1.8954834973241436e-05,1.8954835622971705e-05,6.497302695862572e-13
CA3 Axo Axonic,5.210691590548201e-05,2,1.8954834973241436e-05,1.8954835219684926e-05,2.464434906146451e-13
CA2 SP SR,0.0024572536602466325,4,1.8954834973241436e-05,1.8954835031633963e-05,5.83925269248553e-14
DG MOPP,0.004176320436547315,11,1.8954834973241436e-05,1.8954834871000303e-05,-1.0224113222712106e-13
CA1 Neurogliaform Projecting,0.0044889324139308065,24,1.8954834973241436e-05,1.8954834025678227e-05,-9.475632084532393e-13
CA3 Spiny Lucidum,0.01894761502069246,23,1.8954834973241436e-05,1.895483246753399e-05,-2.505707447086891e-12
DG HIPROM,0.0008746479949496369,29,1.8954834973241436e-05,1.8954830291174202e-05,-4.68206723391873e-12
CA2 Bistratified,0.006869516754093237,30,1.8954834973241436e-05,1.89548243915965e-05,-1.0581644935281354e-11
DG HICAP,0.0031899912265071304,9,1.8954834973241436e-05,1.895482111993578e-05,-1.3853305655397996e-11
MEC LIII Superficial Trilayered Interneuron,0.15438771502394288,16,1.8954834973241436e-05,1.8954815939090444e-05,-1.9034150991470433e-11
DG HIPP,0.13630940909465378,12,1.8954834973241436e-05,1.895479868651434e-05,-3.628672709532488e-11
CA3 Mossy Fiber Associated,0.029234824635962928,21,1.8954834973241436e-05,1.895479464439527e-05,-4.0328846165338383e-11
CA1 Quadrilaminar,0.0014495911673332875,27,1.8954834973241436e-05,1.8954767168675654e-05,-6.780456578148186e-11
DG Axo Axonic,0.0012101794970343397,3,1.8954834973241436e-05,1.8954746963674787e-05,-8.800956664833937e-11
CA1 Radial Trilaminar,0.01583902496913486,26,1.8954834973241436e-05,1.8954699323338667e-05,-1.356499027688196e-10
CA1 Neurogliaform,0.047056606119011135,13,1.8954834973241436e-05,1.8954695767384525e-05,-1.3920585691107323e-10
DG Total Molecular Layer,0.20052670687583526,14,1.8954834973241436e-05,1.895467380368457e-05,-1.6116955686706902e-10
CA2 Basket,0.053610597545596585,4,1.8954834973241436e-05,1.8954665350658963e-05,-1.6962258247293915e-10
DG MOLAX,0.09310953993064121,12,1.8954834973241436e-05,1.8954645259710093e-05,-1.8971353134278335e-10
CA1 Oriens Bistratified,0.02837745350445733,24,1.8954834973241436e-05,1.8954631163794686e-05,-2.0380944674991408e-10
CA1 Ivy,0.14801339209097175,26,1.8954834973241436e-05,1.8954615812447756e-05,-2.1916079367967356e-10
DG Basket,0.1139818636623457,6,1.8954834973241436e-05,1.8954537230045018e-05,-2.977431964173993e-10
MEC LIII Superficial Multipolar Interneuron,0.07560896384490907,16,1.8954834973241436e-05,1.8954386048914904e-05,-4.4892432653209635e-10
CA2 Wide Arbor Basket,0.463176331215304,20,1.8954834973241436e-05,1.8954147424076265e-05,-6.875491651708865e-10
DG AIPRIM,0.3396143258454707,11,1.8954834973241436e-05,1.8953710936915613e-05,-1.124036325822475e-09
CA1 Recurrent O LM,0.016770326546294696,25,1.8954834973241436e-05,1.8953693197256913e-05,-1.1417759845228082e-09
CA1 Perforant Path Associated QuadD,0.0030809805915601313,11,1.8954834973241436e-05,1.8953155217384457e-05,-1.6797558569786597e-09
CA1 O LM,0.02652216812058799,14,1.8954834973241436e-05,1.8953081598686514e-05,-1.7533745549219715e-09
CA1 O LMR,0.04387421744172966,19,1.8954834973241436e-05,1.8952356800560483e-05,-2.4781726809530724e-09
CA1 Perforant Path Associated,0.14253696593150178,25,1.8954834973241436e-05,1.895097878085823e-05,-3.856192383206586e-09
CA1 OR LM,0.023516443800600403,14,1.8954834973241436e-05,1.8949568825659194e-05,-5.266147582241865e-09
CA1 Bistratified,0.2051019604857128,26,1.8954834973241436e-05,1.8947670389183463e-05,-7.1645840579726006e-09
CA1 Back Projection,0.47376811343054587,52,1.8954834973241436e-05,1.8827516850683686e-05,-1.2731812255774994e-07
CA1 Axo Axonic,0.0002913126929057878,2,1.8954834973241436e-05,2.948826582403563e-16,-1.8954834972946553e-05
