draw,terminal_peak
0,3.1151763745139384e-08
1,2.2736512121830383e-07
2,7.968565474114381e-06
3,2.7805795958617263e-07
4,2.1887695331227288e-06
5,0.00011757089302492723
6,1.504577074970259e-08
7,3.630320975062627e-08
8,8.918280000526791e-07
9,3.6095789221493265e-07
10,1.5637071389389828e-07
11,2.755125140982656e-09
12,1.646739079206053e-06
13,7.706790405459223e-08
14,4.953160387710144e-11
15,2.1063427784142512e-06
16,4.380040145463677e-06
17,4.5588749031414473e-05
18,1.1075051755182188e-08
19,7.533767347835444e-07
20,2.2780815781972589e-07
21,4.18132306396904e-05
22,8.51270821289156e-06
23,7.307646282289732e-09
24,4.2530833559248794e-08
25,4.1583332542688764e-08
26,5.039271015060305e-07
27,2.4488132784340733e-08
28,4.574537015892232e-09
29,5.025268118448355e-07
30,6.027453375264195e-08
31,1.3663494590501713e-08
32,1.1556515332886087e-07
33,1.2825276161562964e-08
34,1.0370063129516369e-07
35,3.066173998715095e-07
36,1.3030974058214975e-06
37,4.413704775544704e-09
38,2.2416998949470598e-08
39,3.371849006319516e-08
40,2.785395027549811e-09
41,2.491754097974698e-07
42,2.7310993200109946e-08
43,1.0477983039045499e-05
44,5.1169039150234484e-08
45,4.4336740387743157e-07
46,1.085438392358501e-06
47,4.777185415072481e-09
48,1.2547904727087586e-09
49,2.2450531580290234e-05
50,4.810142309065631e-06
51,1.4569403666086432e-06
52,6.606727657015776e-08
53,1.0692982016101329e-07
54,5.105973291908913e-07
55,1.8653938486598316e-08
56,1.5661591706080547e-08
57,0.0001175779878025314
58,2.7782427123467955e-07
59,2.885814760807538e-09
60,6.34357384142104e-06
61,1.8094759452060667e-08
62,0.00011756792965174085
63,1.4976940218450283e-08
64,3.251245667716949e-06
65,5.441544227623922e-09
66,5.935212499305468e-07
67,4.940349279036452e-07
68,1.347237456866086e-06
69,1.043610795922219e-09
70,1.5765749889338934e-09
71,1.5090263491383005e-07
72,6.1295504460301075e-06
73,5.724968601896434e-06
74,1.0450024196420295e-08
75,1.7942670824366283e-06
76,7.639828209599746e-08
77,2.1798797266271377e-07
78,1.405438388405063e-08
79,2.869617753468133e-08
80,4.112623840329781e-09
81,0.0001175747420125411
82,2.3806339547659218e-09
83,3.6683783068214087e-07
84,3.976586436775799e-06
85,5.561068719324322e-09
86,5.41286411444861e-09
87,6.378953833496825e-07
88,2.7057551809067226e-08
89,4.51820982454521e-07
90,2.3726743587525457e-09
91,1.37167569348414e-07
92,2.297872412771048e-08
93,7.196553319175145e-09
94,1.0479900577024933e-07
95,9.884371404619017e-08
96,1.7552419044153215e-08
97,1.903406577320678e-08
98,4.1001559397065594e-08
99,1.5664908598685308e-08
