triad_id,motif,rees_superpattern,rees_superpattern_name,node_a,node_b,node_c,node_ei_signature,edge_ei_signature,region_signature,region_count,within_region,nonself_edge_count,self_edge_count,edge_count,nonself_total_weight,nonself_total_abs_weight,self_total_weight,self_total_abs_weight,total_weight,total_abs_weight,mean_abs_weight,spectral_radius,max_real,edge_1_pre,edge_1_post,edge_1_pre_class,edge_1_post_class,edge_1_pre_region,edge_1_post_region,edge_1_weight,edge_1_abs_weight,edge_1_edge_type,edge_2_pre,edge_2_post,edge_2_pre_class,edge_2_post_class,edge_2_pre_region,edge_2_post_region,edge_2_weight,edge_2_abs_weight,edge_2_edge_type
T000004,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA1 Horizontal Axo Axonic,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-327.8930976903274,327.8930976903274,0,0,-327.8930976903274,327.8930976903274,163.9465488451637,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-161.94223645711918,161.94223645711918,between_nodes
T000032,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Axo Axonic,0E-3I,I->I + I->I,CA1-CA3,2,False,2,0,2,-578.5456514038532,578.5456514038532,0,0,-578.5456514038532,578.5456514038532,289.2728257019266,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Axo Axonic,i,i,CA1,CA3,-412.59479017064496,412.59479017064496,between_nodes
T000033,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Basket,0E-3I,I->I + I->I,CA1-CA3,2,False,2,0,2,-1055.140416823802,1055.140416823802,0,0,-1055.140416823802,1055.140416823802,527.570208411901,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Basket,i,i,CA1,CA3,-889.189555590594,889.189555590594,between_nodes
T000034,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Basket CCK+,0E-3I,I->I + I->I,CA1-CA3,2,False,2,0,2,-402.6150855338158,402.6150855338158,0,0,-402.6150855338158,402.6150855338158,201.3075427669079,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Basket CCK+,i,i,CA1,CA3,-236.6642243006076,236.6642243006076,between_nodes
T000035,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Granule,1E-2I,I->I + I->E,CA1-CA3,2,False,2,0,2,-263.0697514973344,263.0697514973344,0,0,-263.0697514973344,263.0697514973344,131.5348757486672,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Granule,i,e,CA1,CA3,-97.1188902641262,97.1188902641262,between_nodes
T000036,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Horizontal Axo Axonic,0E-3I,I->I + I->I,CA1-CA3,2,False,2,0,2,-325.49334931510725,325.49334931510725,0,0,-325.49334931510725,325.49334931510725,162.74667465755363,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Horizontal Axo Axonic,i,i,CA1,CA3,-159.54248808189908,159.54248808189908,between_nodes
T000037,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 LMR Targeting,0E-3I,I->I + I->I,CA1-CA3,2,False,2,0,2,-348.10929180946147,348.10929180946147,0,0,-348.10929180946147,348.10929180946147,174.05464590473073,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 LMR Targeting,i,i,CA1,CA3,-182.15843057625327,182.15843057625327,between_nodes
T000038,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Lucidum ORAX,0E-3I,I->I + I->I,CA1-CA3,2,False,2,0,2,-717.3640857526627,717.3640857526627,0,0,-717.3640857526627,717.3640857526627,358.68204287633137,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Lucidum ORAX,i,i,CA1,CA3,-551.4132245194545,551.4132245194545,between_nodes
T000039,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Mossy Fiber Associated,0E-3I,I->I + I->I,CA1-CA3,2,False,2,0,2,-389.9971923551026,389.9971923551026,0,0,-389.9971923551026,389.9971923551026,194.9985961775513,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Mossy Fiber Associated,i,i,CA1,CA3,-224.04633112189435,224.04633112189435,between_nodes
T000040,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Mossy Fiber Associated ORDEN,0E-3I,I->I + I->I,CA1-CA3,2,False,2,0,2,-642.5191628395262,642.5191628395262,0,0,-642.5191628395262,642.5191628395262,321.2595814197631,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Mossy Fiber Associated ORDEN,i,i,CA1,CA3,-476.568301606318,476.568301606318,between_nodes
T000041,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 O LM,0E-3I,I->I + I->I,CA1-CA3,2,False,2,0,2,-572.0475145793688,572.0475145793688,0,0,-572.0475145793688,572.0475145793688,286.0237572896844,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 O LM,i,i,CA1,CA3,-406.0966533461606,406.0966533461606,between_nodes
T000043,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Spiny Lucidum,0E-3I,I->I + I->I,CA1-CA3,2,False,2,0,2,-192.54028332046414,192.54028332046414,0,0,-192.54028332046414,192.54028332046414,96.27014166023207,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Spiny Lucidum,i,i,CA1,CA3,-26.589422087255947,26.589422087255947,between_nodes
T000046,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG AIPRIM,0E-3I,I->I + I->I,CA1-DG,2,False,2,0,2,-464.97195592827677,464.97195592827677,0,0,-464.97195592827677,464.97195592827677,232.48597796413839,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG AIPRIM,i,i,CA1,DG,-299.0210946950686,299.0210946950686,between_nodes
T000047,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG Axo Axonic,0E-3I,I->I + I->I,CA1-DG,2,False,2,0,2,-365.95615832086025,365.95615832086025,0,0,-365.95615832086025,365.95615832086025,182.97807916043013,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG Axo Axonic,i,i,CA1,DG,-200.00529708765205,200.00529708765205,between_nodes
