,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Axo Axonic,-1.0,-0.00601428816186255,-0.010148633231547698,-0.021793253279408908,-0.0037520812765001227,0.0,-0.007564366041318512,-0.0027239188459800565,-0.0003277262948221171,-0.0011481572909027786,-8.644960289511047e-05,-0.0006203922928464151,-0.000741672139177337,-0.0005521822147993525,-0.0008198750454646443,-0.00038595225752695485,-0.0016633297420707773,-9.61020577363723e-05,0.1404339536612029,-2.6179110639774497e-05,-0.0007924228829779701,-0.00031093731169870895,-0.0001280799354574503,0.002817260355294895,-0.00036674344833480043,-0.0006695132393649202,-0.0033155127946136297,-0.0030052293020823967,0.0,-1.8911903348955937e-05,0.25945814716889937,0.0,-0.015316638746362214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43938134122370204,0.0,-0.0019403042686399576,5.526676844241407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03921732984854186,0.5260009643478122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006582199281663374
CA1 Back Projection,0.0,-1.0071156930999998,0.0,0.0,-0.004581215709205906,0.0,0.0,-0.0052069760810478025,0.0,0.0,0.0,0.0,0.0,0.0,-0.002226117410705809,-0.00033043969155444004,0.0,0.0,0.49638743783068373,-1.8925758993618778e-05,0.0,-0.0004833559199607305,0.0,0.007327830401762512,-0.00021711316988779614,-0.001709977421397696,-0.0040002910788115185,-0.0047332226863162075,0.0,-3.838322374683876e-05,0.3359087322571774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.925280944303626,0.0,-0.003983059135146066,0.8850094662266796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01729242745455154
CA1 Basket,0.0,-0.013422279052469321,-1.0237733903892516,-0.04835556478054733,-0.00949152544753426,0.0,-0.017523725393425785,-0.006998525890229523,-0.000728887239224356,-0.0020466707361674824,-0.0001447026501814822,-0.001124497138308473,-0.0015363181187249275,-0.0008840780316351148,-0.002090410248816422,-0.0011180948761554065,-0.0030054943940870014,-0.00018100679588764485,0.2559272734539115,-6.06821998468097e-05,-0.0017734364114597614,-0.000783965158205885,-0.00033452302405340877,0.004241486916716821,-0.0007853794591853152,-0.0016065309099351187,-0.008127647196276743,-0.006969030796710985,0.0,-7.996778576878062e-05,0.5893332250717708,0.0,-0.035215777307223306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3774767268589452,0.0,-0.00483760459626575,12.77619511500139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02973141374304461,0.40169389513020753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008879047050457207
CA1 Basket CCK+,0.0,-0.012502376885386805,-0.018572102289048757,-1.040303565179897,-0.008742393028474404,0.0,-0.015150613843902351,-0.006177817179774014,-0.0006678949025395807,-0.002199627641156223,-0.00016225045531939077,-0.0011890653356631323,-0.001536606343639,-0.0010231223594723523,-0.0018561968575946533,-0.0008554406806870998,-0.0030989547383158244,-0.00018037441823375052,0.23825014119749807,-5.7194985818727725e-05,-0.0015681701476573954,-0.0006849849295343373,-0.00027243930605011214,0.003812550960617058,-0.0007190296729185166,-0.001271877033286704,-0.00685589842930168,-0.006326302990961992,0.0,-6.53924814740152e-05,0.3623369224117362,0.0,-0.030452340000625595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7060070633107645,0.0,-0.0045211772686112464,12.64838528141886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06152189518666638,0.828182497336534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011518183790261781
CA1 Bistratified,0.0,-0.005641487582662,-0.010921316694242598,-0.026974803104654974,-1.0052662484329522,0.0,-0.012122153674812603,-0.004076635519877668,-0.0002775140062075164,0.0,0.0,0.0,-0.0004267896307750824,0.0,-0.0011913469555903265,-0.0005599229597171796,0.0,0.0,0.24453258563567493,-2.805622647305106e-05,-0.0005397682120629502,-0.0004037306265351355,-0.00017421098046429298,0.0028947188827100844,-0.0001045039541781682,-0.0008049747941413847,-0.004270394897723909,-0.003854055346451538,0.0,-3.386170588607896e-05,0.2452742695384723,0.0,-0.01901398737315032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4523230061470223,0.0,-0.0029502114830980857,7.046515182963969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005161678201589534
CA1 Horizontal Axo Axonic,0.0,-0.005869010069558461,0.0,0.0,-0.005246371055100917,-1.0,0.0,-0.005754377954511592,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023416620083938273,-0.0004310127425842239,0.0,0.0,0.4182777667409628,-1.4739810320396477e-05,0.0,-0.00043482731785321634,0.0,0.0052734291423524576,-0.00039688191816656055,-0.0032354719969443025,-0.001962615148419696,-0.003521773960598987,0.0,-4.2287043678187034e-05,0.23822514770994296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.052941156213825,0.0,-0.003884608012201937,0.6455388657882498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Basket,0.0,-0.008283161908244447,-0.02648546791149171,-0.05521830494810921,-0.008309357601227791,0.0,-1.0199023369619153,-0.009502384384752717,0.0,0.0,0.0,0.0,0.0,0.0,-0.004736082709608454,-0.001072189148395016,0.0,0.0,0.6358275360985896,-2.9428702367227123e-05,0.0,-0.0006276318735097122,0.0,0.006687783452154863,-0.0006426112630315458,-0.00384869683863476,-0.0033678363038494395,-0.005367799466137463,0.0,-0.00018521480214270567,0.2812657537241192,0.0,-0.04088540665752237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.321036408099814,0.0,-0.0068964995821812446,0.6400476559355979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Ivy,0.0,-0.003394875676928771,-0.007469324908640743,-0.017489772877592683,-0.003076520142318197,0.0,-0.007767657264245772,-1.002434060781977,-0.00012404278317908706,0.0,0.0,0.0,-0.00014443941840892483,0.0,-0.0007651907242955991,-0.00021927942661610275,0.0,0.0,0.12453826083052891,-1.5012332354801193e-05,-0.0002521361810431903,-0.00024552720825639585,-7.844435880144286e-05,0.001763174753816524,-6.0115002145415406e-05,-0.0005066863729341756,-0.0026281398611330232,-0.002416613806470126,0.0,-9.000141193944434e-06,0.10989544258300826,0.0,-0.01269601485485998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10965034604143242,0.0,-0.0016682718062176348,2.924466355825501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010342904516535993
CA1 LMR,0.0,-0.022014798715603683,0.0,0.0,-0.013337238841203535,0.0,0.0,-0.0034276535819548273,-1.003082526258022,-0.009954867848928354,-0.0006937117984710024,-0.005536694830842918,-0.006216770201691336,-0.004580912381968829,0.0,-0.0017237286460740067,-0.014242965440440566,-0.0008624992283415324,0.0,-0.000158995452532203,-0.007742108224660858,-0.0006511094318944433,-0.0011929133018745415,0.0,-0.002251909333832252,0.0,-0.01021918120420548,-0.005816214567222134,0.0,-3.964319707989856e-05,0.6270202702396236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4923908704699414,0.0,-0.0023878335068917927,12.432363193754187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07444990107471405,0.9979169572653913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019189985591762493
CA1 Neurogliaform,0.0,-0.0024755398472114604,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020217618021477007,-1.0021583022767462,-0.00016374586290806415,-0.0010069828701643477,-0.0005843410731380015,-0.000910836386447039,0.0,0.0,-0.0031584798743058188,-0.0001787861537037877,0.0,-1.0163103442482123e-05,-0.0005031971565777839,0.0,0.0,0.0,-0.0004447136382432936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08105097580331855,1.0878446177149137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037608713818077758
