,total_output_gain,total_input_gain,ei
CA1 Axo Axonic,1.0060308022377795,37.96287804517463,i
CA1 Back Projection,3.16761312069823,50.615909799218436,i
CA1 Basket,1.2353403014974575,67.70864299729772,i
CA1 Basket CCK+,1.4474011727476832,71.27991575237243,i
CA1 Bistratified,1.1984289416203262,32.46479875502287,i
CA1 Horizontal Axo Axonic,1.0029630519561756,36.670880253195705,i
CA1 Horizontal Basket,1.133369883600115,35.27737904181167,i
CA1 Ivy,1.1363938887421854,12.989096086344881,i
CA1 LMR,1.0136061602919468,73.22003062154347,i
CA1 Neurogliaform,1.0487593266797997,25.950647816457092,i
CA1 Neurogliaform Projecting,1.0076246881389253,3.770054523369352,i
CA1 O LM,1.028548908238571,15.43552616812492,i
CA1 O LMR,1.0451721779053489,14.886109208839684,i
CA1 OR LM,1.0248506660200236,81.11335024518806,i
CA1 Oriens Alveus,1.0392440011393622,60.262766696305754,i
CA1 Oriens Bistratified,1.0278715124300464,3.889216787864825,i
CA1 Perforant Path Associated,1.1775359652587851,187.1958092640269,i
CA1 Perforant Path Associated QuadD,1.0021953336497222,241.55376011025345,i
CA1 Pyramidal,26.03982100723885,21.7277253225574,e
CA1 Quadrilaminar,1.0014119544805118,30.948357671356895,i
CA1 R Receiving Apical Targeting,1.0371440076456802,115.99490434129225,i
CA1 Radial Trilaminar,1.0151621163383122,18.217985233056705,i
CA1 Radiatum,1.0074263490343365,26.781507201661242,i
CA1 Radiatum Giant,1.146975373806805,1.8093852644803992,e
CA1 Recurrent O LM,1.0173227459290912,23.059216363767252,i
CA1 SO SO,1.034929251477676,58.992923812273204,i
CA1 Schaffer Collateral Associated,1.1567981568085022,19.633903774099913,i
CA1 Trilaminar,1.098812623080274,379.3185921987249,i
CA2 Basket,1.1451986313712312,58.7545527976978,i
CA2 Bistratified,1.0168547103307688,34.95151680200748,i
CA2 Pyramidal,64.77371577859587,14.786817798779772,e
CA2 SP SR,1.0055120331958913,5.562801073944219,i
CA2 Wide Arbor Basket,4.099064438314422,21.965417323069246,i
CA3 Axo Axonic,1.0125385921206291,25.311979315305045,i
CA3 Basket,4.491047647154495,35.514122403980195,i
CA3 Basket CCK+,9.106523104945447,8.264038294746683,i
CA3 Granule,1.0358909819997169,21.06116565366743,e
CA3 Horizontal Axo Axonic,1.098549021770025,3.1694561290092,i
CA3 LMR Targeting,1.5753682246275633,11.718274912170836,i
CA3 Lucidum ORAX,1.0026017590239877,13.70508943512143,i
CA3 Mossy Fiber Associated,1.143990610743548,10.848989611122928,i
CA3 Mossy Fiber Associated ORDEN,1.043161172698671,9.6231750492579,i
CA3 O LM,1.8968866194361742,5.644436662249484,i
CA3 Pyramidal,218.8930938920432,5.653908045698186,e
CA3 Spiny Lucidum,1.1076336306161723,1.686106010256633,i
CA3 Trilaminar,1.6687610446592616,1.5948568276620259,i
CA3c Pyramidal,338.33694933795033,3.6348516525157075,e
DG AIPRIM,1.476868019467206,105.20389685000237,i
DG Axo Axonic,1.0214929634566805,140.5176044272704,i
DG Basket,1.5355061684366031,23.75573154457973,i
DG Granule,58.11713638843098,9.086619757423183,e
DG HICAP,1.0119540566359626,42.656501423664245,i
DG HIPP,1.5031008755192858,6.788730661478059,i
DG HIPROM,1.0034222582617864,15.220427908892757,i
DG Hilar Ectopic Granule,1.0015858445972177,14.052158721560527,e
DG MOLAX,1.354833057442711,21.47141624284386,i
DG MOPP,1.0157407681894495,2.044408156628516,i
DG Mossy,4.793360849794367,18.823472851668694,e
DG Neurogliaform,1.0056757666404257,1.3352521854383896,i
DG Semilunar Granule,9.162762973211157,1.5730946288201018,e
DG Total Molecular Layer,1.4873311628890573,19.98796039855274,i
EC LI II Multipolar Pyramidal,1414.394372032336,25.140095744906684,e
EC LI II Pyramidal Fan,456.8012063697912,4.002387981793642,e
EC LII III Pyramidal Tripolar,272.3447307214287,31.326299098630862,e
EC LIII Pyramidal,2.4987648520812678,25.590259495873497,e
EC LIII Pyramidal Stellate,17.9262804712566,21.95479366471563,e
EC LIII Stellate,2.043280528458679,31.717901360943518,e
EC LIII V Bipolar Pyramidal,8.59313768985634,13.486727016877639,e
EC LIV VI Deep Multipolar Principal,9.385322874964963,6.912009181377143,e
EC LV Deep Pyramidal,1.8613440288946772,11.116840287847019,e
LEC LIII Complex Pyramidal,19.65136221916415,20.360905776030673,e
LEC LIII Multipolar Principal,33.69365679107638,15.035735795123129,e
LEC LVI Multipolar Pyramidal,2.180244454597642,10.655235740456312,e
MEC LII III Pyramidal Multiform,11.67572341151171,23.341634042913313,e
MEC LII Oblique Pyramidal,1.7510058091887388,19.72030257615599,e
MEC LII Stellate,121.826252923307,27.169867473957275,e
MEC LIII Bipolar Complex Pyramidal,9.632330721231892,28.838381795384212,e
MEC LIII Complex Pyramidal,38.32015871726473,19.746829853717827,e
MEC LIII Superficial Multipolar Interneuron,3.262901116063467,415.58547646683024,i
MEC LIII Superficial Trilayered Interneuron,9.118686954345103,31.254109124182406,i
MEC LV Multipolar Pyramidal,2.1363899719623727,6.900286383362556,e
MEC LV Pyramidal,52.404316363052324,8.861942679835382,e
MEC LV Superficial Pyramidal,5.0306449275136496,5.308082982624694,e
MEC LV VI Pyramidal Polymorphic,1.0874409400811564,18.62284011903195,e
SUB CA1 Projecting Pyramidal,1.3815747678175407,9.894945975170124,e
