cell,ei,deg,030T,120U,021D,210,012,021U,201,120D,021C,111U,120C,102,300,111D,030C,all_triads,per_deg
CA1 Axo Axonic,I,37,289,137,103,30,1624,102,2,31,41,71,6,277,0,0,0,2713,73.32432432432432
CA1 Back Projection,I,70,222,141,429,140,1102,86,2,105,73,311,36,548,60,47,0,3302,47.17142857142857
CA1 Basket,I,43,199,79,100,67,1333,79,2,108,41,74,16,568,24,23,0,2713,63.093023255813954
CA1 Basket CCK+,I,43,199,79,100,67,1333,79,2,108,41,74,16,568,24,23,0,2713,63.093023255813954
CA1 Bistratified,I,52,45,70,50,114,750,13,23,107,36,89,12,1176,96,46,0,2627,50.51923076923077
CA1 Horizontal Axo Axonic,I,20,57,62,212,17,1082,1,15,12,36,95,4,330,0,19,0,1942,97.1
CA1 Horizontal Basket,I,30,74,46,149,45,1014,20,22,57,39,72,7,571,20,49,0,2185,72.83333333333333
CA1 Ivy,I,52,45,70,50,114,750,13,23,107,36,89,12,1176,96,46,0,2627,50.51923076923077
CA1 LMR,I,44,115,62,93,74,1047,41,20,116,44,91,23,764,38,48,1,2577,58.56818181818182
CA1 Neurogliaform,I,27,71,28,35,20,1123,82,13,50,84,64,33,485,10,76,0,2174,80.51851851851852
CA1 Neurogliaform Projecting,I,49,136,61,122,39,1110,161,26,88,222,150,47,480,16,156,1,2815,57.44897959183673
CA1 O LM,I,32,120,42,128,65,1141,60,25,41,54,63,25,499,9,37,0,2309,72.15625
CA1 O LMR,I,37,149,39,100,85,1185,48,17,57,52,61,25,598,22,28,0,2466,66.64864864864865
CA1 OR LM,I,41,147,54,90,98,1233,45,8,90,73,46,31,642,19,28,0,2604,63.51219512195122
CA1 Oriens Alveus,I,50,135,70,68,96,1100,36,2,104,65,102,46,832,58,46,1,2761,55.22
CA1 Oriens Bistratified,I,41,117,82,67,65,1139,32,6,68,36,80,17,746,52,33,4,2544,62.048780487804876
CA1 Perforant Path Associated,I,51,210,75,140,62,1222,124,4,109,227,151,45,442,17,73,6,2907,57.0
CA1 Perforant Path Associated QuadD,I,41,178,79,101,66,1290,56,6,87,33,95,23,560,19,33,0,2626,64.04878048780488
CA1 Pyramidal,E,64,78,35,80,135,954,57,18,170,178,245,64,843,70,107,5,3039,47.484375
CA1 Quadrilaminar,I,57,57,80,50,124,793,20,26,131,40,134,20,1139,97,49,1,2761,48.43859649122807
CA1 R Receiving Apical Targeting,I,35,143,45,101,53,1153,62,18,70,66,58,18,572,21,28,1,2409,68.82857142857142
CA1 Radial Trilaminar,I,60,27,40,53,153,642,25,30,160,41,115,13,1290,117,55,0,2761,46.016666666666666
CA1 Radiatum,I,33,123,45,107,49,1103,59,22,65,47,54,14,581,21,32,1,2323,70.39393939393939
CA1 Radiatum Giant,E,50,118,33,66,117,1091,39,11,127,67,85,75,841,34,51,6,2761,55.22
CA1 Recurrent O LM,I,42,99,81,75,65,1043,51,14,73,41,88,16,784,57,35,0,2522,60.04761904761905
CA1 SO SO,I,36,83,65,78,48,1028,41,20,58,39,93,12,709,45,34,0,2353,65.36111111111111
CA1 Schaffer Collateral Associated,I,52,111,76,58,121,1006,30,6,115,67,119,28,926,59,39,0,2761,53.09615384615385
CA1 Trilaminar,I,44,127,87,77,77,1139,32,2,70,39,76,26,787,57,31,0,2627,59.70454545454545
CA2 Basket,I,12,3,2,93,4,661,1,4,9,13,131,0,561,6,13,0,1501,125.08333333333333
CA2 Bistratified,I,37,205,35,46,7,1516,81,1,149,92,123,7,382,6,20,1,2671,72.1891891891892
CA2 Pyramidal,E,62,319,94,648,37,1283,103,1,203,106,162,23,299,9,30,1,3318,53.516129032258064
CA2 SP SR,I,10,0,1,59,4,615,0,4,4,7,112,0,582,6,17,0,1411,141.1
CA2 Wide Arbor Basket,I,42,85,51,121,71,1018,117,49,33,102,192,33,577,14,74,2,2539,60.45238095238095
CA3 Axo Axonic,I,22,93,33,150,28,1280,27,2,7,29,122,0,360,1,1,0,2133,96.95454545454545
CA3 Basket,I,24,71,25,142,31,1160,26,2,29,29,130,0,480,6,2,0,2133,88.875
CA3 Basket CCK+,I,24,71,25,142,31,1160,26,2,29,29,130,0,480,6,2,0,2133,88.875
CA3 Granule,E,22,34,14,121,28,903,18,11,21,13,119,1,627,12,18,0,1940,88.18181818181819
CA3 Horizontal Axo Axonic,I,10,11,4,132,11,781,0,19,1,8,97,0,415,1,6,0,1486,148.6
CA3 LMR Targeting,I,25,53,19,131,31,1011,18,5,32,24,136,0,606,14,7,0,2087,83.48
CA3 Lucidum ORAX,I,29,38,26,71,43,930,12,1,29,40,165,1,767,22,18,0,2163,74.58620689655173
CA3 Mossy Fiber Associated,I,36,63,49,103,50,1174,58,3,47,47,118,17,722,24,29,0,2504,69.55555555555556
CA3 Mossy Fiber Associated ORDEN,I,38,48,37,79,63,1080,52,11,59,47,137,17,816,26,32,0,2504,65.89473684210526
CA3 O LM,I,19,38,12,75,26,1049,28,6,14,22,118,2,507,6,15,0,1918,100.94736842105263
CA3 Pyramidal,E,64,175,105,116,95,1120,57,11,176,209,375,12,636,32,40,3,3162,49.40625
CA3 Spiny Lucidum,I,34,56,51,123,51,1101,73,12,43,85,55,17,707,12,43,0,2429,71.44117647058823
CA3 Trilaminar,I,47,215,86,292,40,1511,104,3,151,84,89,7,362,8,27,0,2979,63.38297872340426
