pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
DG Granule,DG Mossy,e,e,1548576.2061576212,0.029,44908.709978571016
DG Granule,DG Total Molecular Layer,e,i,601011.3620444787,0.0744,44715.245336109205
DG Granule,DG MOLAX,e,i,627179.024910298,0.0744,46662.119453326166
DG Granule,DG HICAP,e,i,418316.0675269433,0.21477,89841.7418227616
DG Granule,DG Axo Axonic,e,i,708529.9461439403,0.27069,191791.9711217032
DG Granule,DG HIPP,e,i,895441.2950256229,0.01581,14156.9268743551
DG Granule,DG HIPROM,e,i,1008478.4073152255,0.03192,32190.630761501994
DG Granule,DG AIPRIM,e,i,896639.1990388761,0.2501,224249.46367962292
DG Granule,DG Basket,e,i,381384.7396357308,0.09135,34839.49596572401
DG Granule,DG Hilar Ectopic Granule,e,e,989157.7112523052,0.02539,25114.71428869603
DG Granule,CA3 Pyramidal,e,e,19094.65915724406,0.0123,234.86430763410192
DG Granule,CA3c Pyramidal,e,e,105286.88541901702,0.01712,1802.5114783735714
DG Granule,CA3 LMR Targeting,e,i,31784.513863372915,0.06811,2164.8432392343293
DG Granule,CA3 Lucidum ORAX,e,i,30282.85444549081,0.31002,9388.290535191061
DG Granule,CA3 Spiny Lucidum,e,i,53212.60849785681,0.03588,1909.2683929031025
DG Granule,CA3 Axo Axonic,e,i,84424.96800175622,0.11589,9784.00954172353
DG Granule,CA3 Mossy Fiber Associated ORDEN,e,i,57172.640039631064,0.12381,7078.544563306722
DG Granule,CA3 Mossy Fiber Associated,e,i,154426.1818540976,0.10855,16762.962040262293
DG Granule,CA3 Basket,e,i,72274.03331240187,0.1496,10812.19538353532
DG Granule,CA3 Basket CCK+,e,i,17751.839032304833,0.08623,1530.7410797556458
DG Granule,CA2 Pyramidal,e,e,228776.9384270294,0.01469,3360.733225493062
DG Granule,CA2 Bistratified,e,i,234548.93684897735,0.09557,22415.841894656765
DG Granule,CA2 Basket,e,i,520440.6141559855,0.08812,45861.22691942544
DG Granule,CA2 Wide Arbor Basket,e,i,228861.13048572556,0.06561,15015.578771168455
DG Semilunar Granule,DG Granule,e,e,10939.477860675,0.04463,488.2288969219253
DG Semilunar Granule,DG Semilunar Granule,e,e,10125.8588480868,0.00401,40.60469398082807
DG Semilunar Granule,DG Mossy,e,e,177762.26892369404,0.029,5155.105798787127
DG Semilunar Granule,DG Total Molecular Layer,e,i,68942.98489200667,0.0744,5129.358075965296
DG Semilunar Granule,DG MOLAX,e,i,118054.76483116006,0.0744,8783.274503438308
DG Semilunar Granule,DG HICAP,e,i,98020.43648096238,0.21477,21051.84914301629
DG Semilunar Granule,DG Axo Axonic,e,i,128067.62295686032,0.27069,34666.62485819252
DG Semilunar Granule,DG HIPP,e,i,100437.40385577992,0.01581,1587.9153549598807
DG Semilunar Granule,DG HIPROM,e,i,245668.80320107125,0.03192,7841.748198178194
DG Semilunar Granule,DG AIPRIM,e,i,175502.85009078524,0.2501,43893.26280770539
DG Semilunar Granule,DG Basket,e,i,90708.45105852399,0.09135,8286.217004196167
DG Semilunar Granule,DG Hilar Ectopic Granule,e,e,180734.24338692802,0.02539,4588.842439594102
DG Semilunar Granule,CA3 Pyramidal,e,e,5221.038911896258,0.0123,64.21877861632397
DG Semilunar Granule,CA3c Pyramidal,e,e,11545.91769716424,0.01712,197.66611097545177
DG Semilunar Granule,CA3 LMR Targeting,e,i,3374.7560060192,0.06811,229.85463156996772
