pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,c_ij
1000,1002,DG Granule,DG Mossy,e,e,0.007771
1000,1004,DG Granule,DG Total Molecular Layer,e,i,0.00422
1000,1005,DG Granule,DG MOLAX,e,i,0.004358
1000,1009,DG Granule,DG HICAP,e,i,0.003335
1000,1010,DG Granule,DG Axo Axonic,e,i,0.003907
1000,1013,DG Granule,DG HIPP,e,i,0.005946
1000,1026,DG Granule,DG HIPROM,e,i,0.005372
1000,1027,DG Granule,DG AIPRIM,e,i,0.005331
1000,1035,DG Granule,DG Basket,e,i,0.00346
1000,1041,DG Granule,DG Hilar Ectopic Granule,e,e,0.005576
1000,2000,DG Granule,CA3 Pyramidal,e,e,8.53e-05
1000,2004,DG Granule,CA3c Pyramidal,e,e,0.0003366
1000,2005,DG Granule,CA3 LMR Targeting,e,i,0.0001794
1000,2013,DG Granule,CA3 Lucidum ORAX,e,i,0.0001907
1000,2019,DG Granule,CA3 Spiny Lucidum,e,i,0.0004899
1000,2028,DG Granule,CA3 Axo Axonic,e,i,0.0006667
1000,2035,DG Granule,CA3 Mossy Fiber Associated ORDEN,e,i,0.0003844
1000,2036,DG Granule,CA3 Mossy Fiber Associated,e,i,0.0009879
1000,2043,DG Granule,CA3 Basket,e,i,0.0005885
1000,2044,DG Granule,CA3 Basket CCK+,e,i,0.0001724
1000,3000,DG Granule,CA2 Pyramidal,e,e,0.000809067
1000,3003,DG Granule,CA2 Bistratified,e,i,0.001402889
1000,3006,DG Granule,CA2 Basket,e,i,0.002201249
1000,3007,DG Granule,CA2 Wide Arbor Basket,e,i,0.001310674
1001,1000,DG Semilunar Granule,DG Granule,e,e,0.0002463
1001,1001,DG Semilunar Granule,DG Semilunar Granule,e,e,0.000279
1001,1002,DG Semilunar Granule,DG Mossy,e,e,0.00581
1001,1004,DG Semilunar Granule,DG Total Molecular Layer,e,i,0.002668
1001,1005,DG Semilunar Granule,DG MOLAX,e,i,0.004599
1001,1009,DG Semilunar Granule,DG HICAP,e,i,0.004227
1001,1010,DG Semilunar Granule,DG Axo Axonic,e,i,0.004204
1001,1013,DG Semilunar Granule,DG HIPP,e,i,0.003702
1001,1026,DG Semilunar Granule,DG HIPROM,e,i,0.007157
1001,1027,DG Semilunar Granule,DG AIPRIM,e,i,0.005796
1001,1035,DG Semilunar Granule,DG Basket,e,i,0.003812
1001,1041,DG Semilunar Granule,DG Hilar Ectopic Granule,e,e,0.005599
1001,2000,DG Semilunar Granule,CA3 Pyramidal,e,e,0.0001301
1001,2004,DG Semilunar Granule,CA3c Pyramidal,e,e,0.0002067
1001,2005,DG Semilunar Granule,CA3 LMR Targeting,e,i,0.0001075
1001,2013,DG Semilunar Granule,CA3 Lucidum ORAX,e,i,0.0004143
1001,2019,DG Semilunar Granule,CA3 Spiny Lucidum,e,i,0.0006109
1001,2028,DG Semilunar Granule,CA3 Axo Axonic,e,i,0.0004636
1001,2035,DG Semilunar Granule,CA3 Mossy Fiber Associated ORDEN,e,i,0.0002087
1001,2036,DG Semilunar Granule,CA3 Mossy Fiber Associated,e,i,0.0001812
1001,2043,DG Semilunar Granule,CA3 Basket,e,i,0.0003222
1001,2044,DG Semilunar Granule,CA3 Basket CCK+,e,i,0.0001085
1002,1000,DG Mossy,DG Granule,e,e,0.002374
1002,1001,DG Mossy,DG Semilunar Granule,e,e,0.002166
