pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,g_ij
1000,1002,DG Granule,DG Mossy,e,e,1.49
1000,1004,DG Granule,DG Total Molecular Layer,e,i,1.376
1000,1005,DG Granule,DG MOLAX,e,i,1.358
1000,1009,DG Granule,DG HICAP,e,i,1.105
1000,1010,DG Granule,DG Axo Axonic,e,i,1.403
1000,1013,DG Granule,DG HIPP,e,i,1.106
1000,1026,DG Granule,DG HIPROM,e,i,1.488
1000,1027,DG Granule,DG AIPRIM,e,i,1.428
1000,1035,DG Granule,DG Basket,e,i,1.204
1000,1041,DG Granule,DG Hilar Ectopic Granule,e,e,1.284
1000,2000,DG Granule,CA3 Pyramidal,e,e,1.263
1000,2004,DG Granule,CA3c Pyramidal,e,e,1.815
1000,2005,DG Granule,CA3 LMR Targeting,e,i,1.341
1000,2013,DG Granule,CA3 Lucidum ORAX,e,i,1.328
1000,2019,DG Granule,CA3 Spiny Lucidum,e,i,0.964691926
1000,2028,DG Granule,CA3 Axo Axonic,e,i,1.341
1000,2035,DG Granule,CA3 Mossy Fiber Associated ORDEN,e,i,1.359
1000,2036,DG Granule,CA3 Mossy Fiber Associated,e,i,1.421543084
1000,2043,DG Granule,CA3 Basket,e,i,1.498
1000,2044,DG Granule,CA3 Basket CCK+,e,i,1.258
1000,3000,DG Granule,CA2 Pyramidal,e,e,1.945
1000,3003,DG Granule,CA2 Bistratified,e,i,1.453
1000,3006,DG Granule,CA2 Basket,e,i,2.05
1000,3007,DG Granule,CA2 Wide Arbor Basket,e,i,1.252
1001,1000,DG Semilunar Granule,DG Granule,e,e,1.4
1001,1001,DG Semilunar Granule,DG Semilunar Granule,e,e,1.372
1001,1002,DG Semilunar Granule,DG Mossy,e,e,1.534
1001,1004,DG Semilunar Granule,DG Total Molecular Layer,e,i,1.442
1001,1005,DG Semilunar Granule,DG MOLAX,e,i,1.412
1001,1009,DG Semilunar Granule,DG HICAP,e,i,1.188
1001,1010,DG Semilunar Granule,DG Axo Axonic,e,i,1.491
1001,1013,DG Semilunar Granule,DG HIPP,e,i,1.183
1001,1026,DG Semilunar Granule,DG HIPROM,e,i,1.595
1001,1027,DG Semilunar Granule,DG AIPRIM,e,i,1.513
1001,1035,DG Semilunar Granule,DG Basket,e,i,1.354
1001,1041,DG Semilunar Granule,DG Hilar Ectopic Granule,e,e,1.36
1001,2000,DG Semilunar Granule,CA3 Pyramidal,e,e,1.252
1001,2004,DG Semilunar Granule,CA3c Pyramidal,e,e,1.88
1001,2005,DG Semilunar Granule,CA3 LMR Targeting,e,i,1.384
1001,2013,DG Semilunar Granule,CA3 Lucidum ORAX,e,i,1.382
1001,2019,DG Semilunar Granule,CA3 Spiny Lucidum,e,i,1.040492685
1001,2028,DG Semilunar Granule,CA3 Axo Axonic,e,i,1.385
1001,2035,DG Semilunar Granule,CA3 Mossy Fiber Associated ORDEN,e,i,1.425
1001,2036,DG Semilunar Granule,CA3 Mossy Fiber Associated,e,i,1.592841256
1001,2043,DG Semilunar Granule,CA3 Basket,e,i,1.582
1001,2044,DG Semilunar Granule,CA3 Basket CCK+,e,i,1.326
1002,1000,DG Mossy,DG Granule,e,e,1.993
1002,1001,DG Mossy,DG Semilunar Granule,e,e,1.542
1002,1002,DG Mossy,DG Mossy,e,e,1.76
1002,1004,DG Mossy,DG Total Molecular Layer,e,i,1.639
1002,1005,DG Mossy,DG MOLAX,e,i,1.517
1002,1009,DG Mossy,DG HICAP,e,i,1.223
1002,1010,DG Mossy,DG Axo Axonic,e,i,1.812
1002,1013,DG Mossy,DG HIPP,e,i,1.157
1002,1026,DG Mossy,DG HIPROM,e,i,1.857
1002,1027,DG Mossy,DG AIPRIM,e,i,1.725
1002,1035,DG Mossy,DG Basket,e,i,1.619
1002,1041,DG Mossy,DG Hilar Ectopic Granule,e,e,1.531
