pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,tau_d
1000,1002,DG Granule,DG Mossy,e,e,5.468
1000,1004,DG Granule,DG Total Molecular Layer,e,i,4.814
1000,1005,DG Granule,DG MOLAX,e,i,4.929
1000,1009,DG Granule,DG HICAP,e,i,4.756
1000,1010,DG Granule,DG Axo Axonic,e,i,5.033
1000,1013,DG Granule,DG HIPP,e,i,5.31
1000,1026,DG Granule,DG HIPROM,e,i,4.92
1000,1027,DG Granule,DG AIPRIM,e,i,4.665
1000,1035,DG Granule,DG Basket,e,i,3.743
1000,1041,DG Granule,DG Hilar Ectopic Granule,e,e,5.003
1000,2000,DG Granule,CA3 Pyramidal,e,e,7.426
1000,2004,DG Granule,CA3c Pyramidal,e,e,7.046
1000,2005,DG Granule,CA3 LMR Targeting,e,i,4.925
1000,2013,DG Granule,CA3 Lucidum ORAX,e,i,4.969
1000,2019,DG Granule,CA3 Spiny Lucidum,e,i,4.603387846
1000,2028,DG Granule,CA3 Axo Axonic,e,i,4.127
1000,2035,DG Granule,CA3 Mossy Fiber Associated ORDEN,e,i,4.867
1000,2036,DG Granule,CA3 Mossy Fiber Associated,e,i,4.890168869
1000,2043,DG Granule,CA3 Basket,e,i,3.583
1000,2044,DG Granule,CA3 Basket CCK+,e,i,3.458
1000,3000,DG Granule,CA2 Pyramidal,e,e,4.894
1000,3003,DG Granule,CA2 Bistratified,e,i,4.012
1000,3006,DG Granule,CA2 Basket,e,i,4.106
1000,3007,DG Granule,CA2 Wide Arbor Basket,e,i,4.72
1001,1000,DG Semilunar Granule,DG Granule,e,e,6.305
1001,1001,DG Semilunar Granule,DG Semilunar Granule,e,e,5.055
1001,1002,DG Semilunar Granule,DG Mossy,e,e,4.795
1001,1004,DG Semilunar Granule,DG Total Molecular Layer,e,i,4.901
1001,1005,DG Semilunar Granule,DG MOLAX,e,i,4.972
1001,1009,DG Semilunar Granule,DG HICAP,e,i,4.809
1001,1010,DG Semilunar Granule,DG Axo Axonic,e,i,4.678
1001,1013,DG Semilunar Granule,DG HIPP,e,i,5.259
1001,1026,DG Semilunar Granule,DG HIPROM,e,i,4.935
1001,1027,DG Semilunar Granule,DG AIPRIM,e,i,4.661
1001,1035,DG Semilunar Granule,DG Basket,e,i,4.225
1001,1041,DG Semilunar Granule,DG Hilar Ectopic Granule,e,e,5.054
1001,2000,DG Semilunar Granule,CA3 Pyramidal,e,e,7.897
1001,2004,DG Semilunar Granule,CA3c Pyramidal,e,e,7.143
1001,2005,DG Semilunar Granule,CA3 LMR Targeting,e,i,4.972
1001,2013,DG Semilunar Granule,CA3 Lucidum ORAX,e,i,5.029
1001,2019,DG Semilunar Granule,CA3 Spiny Lucidum,e,i,4.876046978
1001,2028,DG Semilunar Granule,CA3 Axo Axonic,e,i,4.11
1001,2035,DG Semilunar Granule,CA3 Mossy Fiber Associated ORDEN,e,i,4.882
1001,2036,DG Semilunar Granule,CA3 Mossy Fiber Associated,e,i,5.085209039
1001,2043,DG Semilunar Granule,CA3 Basket,e,i,3.496
1001,2044,DG Semilunar Granule,CA3 Basket CCK+,e,i,3.444
1002,1000,DG Mossy,DG Granule,e,e,5.831
1002,1001,DG Mossy,DG Semilunar Granule,e,e,4.624
1002,1002,DG Mossy,DG Mossy,e,e,4.337
1002,1004,DG Mossy,DG Total Molecular Layer,e,i,4.497
1002,1005,DG Mossy,DG MOLAX,e,i,4.668
1002,1009,DG Mossy,DG HICAP,e,i,4.382
1002,1010,DG Mossy,DG Axo Axonic,e,i,3.988
1002,1013,DG Mossy,DG HIPP,e,i,4.953
1002,1026,DG Mossy,DG HIPROM,e,i,4.282
1002,1027,DG Mossy,DG AIPRIM,e,i,3.969
1002,1035,DG Mossy,DG Basket,e,i,3.618
1002,1041,DG Mossy,DG Hilar Ectopic Granule,e,e,4.561
1004,1000,DG Total Molecular Layer,DG Granule,i,e,7.041
1004,1001,DG Total Molecular Layer,DG Semilunar Granule,i,e,5.585
1004,1002,DG Total Molecular Layer,DG Mossy,i,e,5.296
1004,1004,DG Total Molecular Layer,DG Total Molecular Layer,i,i,5.537
1004,1005,DG Total Molecular Layer,DG MOLAX,i,i,5.694
1004,1007,DG Total Molecular Layer,DG Neurogliaform,i,i,5.631
1004,1008,DG Total Molecular Layer,DG MOPP,i,i,5.596
1004,1009,DG Total Molecular Layer,DG HICAP,i,i,5.681
1004,1010,DG Total Molecular Layer,DG Axo Axonic,i,i,5.433
1004,1013,DG Total Molecular Layer,DG HIPP,i,i,6.153
1004,1026,DG Total Molecular Layer,DG HIPROM,i,i,5.581
1004,1027,DG Total Molecular Layer,DG AIPRIM,i,i,5.285
1004,1035,DG Total Molecular Layer,DG Basket,i,i,5.031
1004,1041,DG Total Molecular Layer,DG Hilar Ectopic Granule,i,e,5.895
1004,4011,DG Total Molecular Layer,CA1 Neurogliaform Projecting,i,i,5.861
1005,1000,DG MOLAX,DG Granule,i,e,7.531
1005,1001,DG MOLAX,DG Semilunar Granule,i,e,6.123
1005,1004,DG MOLAX,DG Total Molecular Layer,i,i,5.906
1005,1005,DG MOLAX,DG MOLAX,i,i,6.173
1005,1007,DG MOLAX,DG Neurogliaform,i,i,6.003
1005,1008,DG MOLAX,DG MOPP,i,i,5.979
1005,1009,DG MOLAX,DG HICAP,i,i,5.947
1005,1010,DG MOLAX,DG Axo Axonic,i,i,5.796
1005,1026,DG MOLAX,DG HIPROM,i,i,5.932
1005,1027,DG MOLAX,DG AIPRIM,i,i,5.613
1005,1035,DG MOLAX,DG Basket,i,i,5.352
1005,1041,DG MOLAX,DG Hilar Ectopic Granule,i,e,6.255
1005,4011,DG MOLAX,CA1 Neurogliaform Projecting,i,i,6.21
1007,1000,DG Neurogliaform,DG Granule,i,e,9.295
1007,1001,DG Neurogliaform,DG Semilunar Granule,i,e,7.09
1007,1004,DG Neurogliaform,DG Total Molecular Layer,i,i,6.706
1007,1005,DG Neurogliaform,DG MOLAX,i,i,6.896
1007,1007,DG Neurogliaform,DG Neurogliaform,i,i,6.916
1007,1008,DG Neurogliaform,DG MOPP,i,i,6.854
1007,1009,DG Neurogliaform,DG HICAP,i,i,6.679
1007,1010,DG Neurogliaform,DG Axo Axonic,i,i,6.556
1007,1027,DG Neurogliaform,DG AIPRIM,i,i,6.356
1007,1035,DG Neurogliaform,DG Basket,i,i,5.986
1007,1041,DG Neurogliaform,DG Hilar Ectopic Granule,i,e,7.075
1007,4011,DG Neurogliaform,CA1 Neurogliaform Projecting,i,i,7.149
1007,5005,DG Neurogliaform,SUB CA1 Projecting Pyramidal,i,e,7.117
1008,1000,DG MOPP,DG Granule,i,e,9.88
1008,1001,DG MOPP,DG Semilunar Granule,i,e,7.3
1008,1004,DG MOPP,DG Total Molecular Layer,i,i,6.923
1008,1005,DG MOPP,DG MOLAX,i,i,7.115
1008,1007,DG MOPP,DG Neurogliaform,i,i,7.145
1008,1008,DG MOPP,DG MOPP,i,i,7.092
1008,1009,DG MOPP,DG HICAP,i,i,6.864
1008,1010,DG MOPP,DG Axo Axonic,i,i,6.767
1008,1027,DG MOPP,DG AIPRIM,i,i,6.567
1008,1035,DG MOPP,DG Basket,i,i,6.162
1008,1041,DG MOPP,DG Hilar Ectopic Granule,i,e,7.299
1008,4011,DG MOPP,CA1 Neurogliaform Projecting,i,i,7.345
1009,1000,DG HICAP,DG Granule,i,e,10.17
1009,1001,DG HICAP,DG Semilunar Granule,i,e,7.02
1009,1004,DG HICAP,DG Total Molecular Layer,i,i,6.875
1009,1005,DG HICAP,DG MOLAX,i,i,7.079
1009,1009,DG HICAP,DG HICAP,i,i,7.177
1009,1010,DG HICAP,DG Axo Axonic,i,i,6.887
1009,1026,DG HICAP,DG HIPROM,i,i,7.274
1009,1027,DG HICAP,DG AIPRIM,i,i,6.993
1009,1035,DG HICAP,DG Basket,i,i,6.465
1009,1041,DG HICAP,DG Hilar Ectopic Granule,i,e,7.196
1010,1000,DG Axo Axonic,DG Granule,i,e,4.406
1010,1002,DG Axo Axonic,DG Mossy,i,e,4.081
1010,1041,DG Axo Axonic,DG Hilar Ectopic Granule,i,e,4.453
1013,1000,DG HIPP,DG Granule,i,e,9.22
1013,1001,DG HIPP,DG Semilunar Granule,i,e,6.696
1013,1004,DG HIPP,DG Total Molecular Layer,i,i,6.506
1013,1005,DG HIPP,DG MOLAX,i,i,6.756
1013,1007,DG HIPP,DG Neurogliaform,i,i,6.802
1013,1008,DG HIPP,DG MOPP,i,i,6.756
1013,1009,DG HIPP,DG HICAP,i,i,6.74
1013,1010,DG HIPP,DG Axo Axonic,i,i,6.655
1013,1027,DG HIPP,DG AIPRIM,i,i,6.54
1013,1035,DG HIPP,DG Basket,i,i,6.005
1013,1041,DG HIPP,DG Hilar Ectopic Granule,i,e,6.98
1013,4011,DG HIPP,CA1 Neurogliaform Projecting,i,i,6.981
1026,1000,DG HIPROM,DG Granule,i,e,8.093
1026,1001,DG HIPROM,DG Semilunar Granule,i,e,6.228
1026,1002,DG HIPROM,DG Mossy,i,e,5.929
1026,1004,DG HIPROM,DG Total Molecular Layer,i,i,6.189
1026,1005,DG HIPROM,DG MOLAX,i,i,6.345
1026,1007,DG HIPROM,DG Neurogliaform,i,i,6.367
1026,1008,DG HIPROM,DG MOPP,i,i,6.325
1026,1009,DG HIPROM,DG HICAP,i,i,6.496
1026,1010,DG HIPROM,DG Axo Axonic,i,i,6.005
1026,1013,DG HIPROM,DG HIPP,i,i,7.281
1026,1026,DG HIPROM,DG HIPROM,i,i,6.591
1026,1027,DG HIPROM,DG AIPRIM,i,i,6.302
1026,1035,DG HIPROM,DG Basket,i,i,5.502
1026,1041,DG HIPROM,DG Hilar Ectopic Granule,i,e,6.621
1026,2000,DG HIPROM,CA3 Pyramidal,i,e,8.883
1026,2001,DG HIPROM,CA3 Granule,i,e,6.525
1026,2004,DG HIPROM,CA3c Pyramidal,i,e,8.039
1026,2005,DG HIPROM,CA3 LMR Targeting,i,i,6.209
1026,2009,DG HIPROM,CA3 O LM,i,i,5.746
1026,2013,DG HIPROM,CA3 Lucidum ORAX,i,i,6.471
1026,2019,DG HIPROM,CA3 Spiny Lucidum,i,i,6.457196048
1026,2020,DG HIPROM,CA3 Trilaminar,i,i,6.36
1026,2028,DG HIPROM,CA3 Axo Axonic,i,i,5.203
1026,2035,DG HIPROM,CA3 Mossy Fiber Associated ORDEN,i,i,6.43
1026,2036,DG HIPROM,CA3 Mossy Fiber Associated,i,i,6.75193724
1026,2043,DG HIPROM,CA3 Basket,i,i,4.333
1026,2044,DG HIPROM,CA3 Basket CCK+,i,i,4.947
1026,2047,DG HIPROM,CA3 Horizontal Axo Axonic,i,i,6.222
1026,3007,DG HIPROM,CA2 Wide Arbor Basket,i,i,5.915
1026,4011,DG HIPROM,CA1 Neurogliaform Projecting,i,i,6.612
1027,1000,DG AIPRIM,DG Granule,i,e,7.215
1027,1001,DG AIPRIM,DG Semilunar Granule,i,e,6.049
1027,1002,DG AIPRIM,DG Mossy,i,e,5.803
1027,1004,DG AIPRIM,DG Total Molecular Layer,i,i,5.934
1027,1005,DG AIPRIM,DG MOLAX,i,i,6.093
1027,1009,DG AIPRIM,DG HICAP,i,i,6.239
1027,1010,DG AIPRIM,DG Axo Axonic,i,i,5.816
1027,1013,DG AIPRIM,DG HIPP,i,i,7.029
1027,1026,DG AIPRIM,DG HIPROM,i,i,6.32
