motif,receiver_group,middle_or_sender_group,origin_or_partner_group,possible_count,observed_count,expected_count_independent,observed_probability,expected_probability_independent,excess_probability,enrichment_ratio
chain,E,E,E,31744,4857,4417.62109375,0.1530052923387097,0.13916397094726562,0.013841321391444061,1.0994605234187307
chain,E,E,I,54272,1360,2041.3125,0.025058962264150945,0.037612627137382074,-0.012553664873231129,0.6662380208811733
chain,E,I,E,52576,1217,1100.2075471698113,0.02314744370054778,0.020926041295834818,0.002221402404712962,1.1061549278866767
chain,E,I,I,89888,1956,2374.6415094339623,0.021760412958348168,0.026417781121328344,-0.0046573681629801765,0.823703279938978
chain,I,E,E,54272,3227,4202.0,0.05945975825471698,0.07742482311320754,-0.017965064858490566,0.767967634459781
chain,I,E,I,88192,3258,1845.5094339622642,0.03694212626995646,0.020926041295834818,0.01601608497412164,1.7653662127346337
chain,I,I,E,89888,4446,4888.1509433962265,0.04946155215379139,0.05438046172343613,-0.00491890956964474,0.9095463809288538
chain,I,I,I,146068,10413,10027.836240655039,0.07128871484514061,0.06865183504022125,0.002636879804919362,1.038409458441635
reciprocal,E,E,E,992,248,138.0506591796875,0.25,0.13916397094726562,0.11083602905273438,1.7964419834982595
reciprocal,E,I,E,1696,124,35.49056603773585,0.07311320754716981,0.020926041295834818,0.05218716625133499,3.493886230728336
reciprocal,I,E,I,1696,124,35.49056603773585,0.07311320754716981,0.020926041295834818,0.05218716625133499,3.493886230728336
reciprocal,I,I,I,2756,348,189.20445737084978,0.1262699564586357,0.06865183504022125,0.05761812141841445,1.8392801355514758
divergent,E,E,E,31744,5494,4417.62109375,0.17307207661290322,0.13916397094726562,0.033908105665637595,1.2436557783945863
divergent,E,E,I,54272,3588,4202.0,0.06611143867924528,0.07742482311320754,-0.011313384433962265,0.8538791051880057
divergent,E,I,E,52576,794,534.475825471698,0.015101947656725501,0.010165775743147027,0.004936171913578475,1.4855676574319532
divergent,E,I,I,89888,2367,2374.6415094339623,0.026332769668921324,0.026417781121328344,-8.501145240702099e-05,0.9967820366132722
divergent,I,E,E,54272,3588,4202.0,0.06611143867924528,0.07742482311320754,-0.011313384433962265,0.8538791051880057
divergent,I,E,I,88192,8604,3798.9433962264156,0.09755986937590712,0.04307582769668922,0.0544840416792179,2.2648402733630006
divergent,I,I,E,89888,2367,2374.6415094339623,0.026332769668921324,0.026417781121328344,-8.501145240702099e-05,0.9967820366132722
divergent,I,I,I,146068,14552,10027.836240655039,0.0996248322699017,0.06865183504022125,0.030972997229680443,1.45116051466846
convergent,E,E,E,31744,4916,4417.62109375,0.1548639112903226,0.13916397094726562,0.015699940343056967,1.1128161278827424
convergent,E,E,I,54272,1482,2041.3125,0.02730689858490566,0.037612627137382074,-0.010305728552476412,0.7260034904013962
convergent,E,I,E,54272,1482,2041.3125,0.02730689858490566,0.037612627137382074,-0.010305728552476412,0.7260034904013962
convergent,E,I,I,88192,2294,896.5400943396226,0.02601142960812772,0.010165775743147027,0.015845653864980692,2.5587254987070316
convergent,I,E,E,52576,2346,2264.7547169811323,0.04462111990261716,0.04307582769668922,0.001545292205927945,1.0358737669954678
convergent,I,E,I,89888,4998,4888.1509433962265,0.05560252758988964,0.05438046172343613,0.0012220658664535144,1.02247251729249
convergent,I,I,E,89888,4998,4888.1509433962265,0.05560252758988964,0.05438046172343613,0.0012220658664535144,1.02247251729249
convergent,I,I,I,146068,11852,10027.836240655039,0.08114029082345209,0.06865183504022125,0.012488455783230837,1.1819100068616402
