Study,Manipulation,Motif level,Reference,Stability-leading eigenvalue Re(lambda),Delta Re(lambda) vs reference,Stability margin 1 - Re(lambda),Delta stability margin vs reference,E-only Re(lambda),E-only margin 1 - Re(lambda),Mean I response to I input,Paradoxical I response,ISN-plausible,Interpretation
Ablation / scrambling,original,,original full empirical J,0.9999999999999994,-0.0,5.551115123125783e-16,0.0,1.0419282697498593,-0.041928269749859304,51753939692257.97,False,False,"E-only unstable, but I-to-I response is not paradoxical"
Ablation / scrambling,remove_top_chain_edges,,original full empirical J,0.7131683089934708,-0.2868316910065286,0.28683169100652917,0.2868316910065286,0.7161274965093456,0.2838725034906544,0.9235880033713949,False,False,Stable but not ISN-like because E-only subnetwork is stable
Ablation / scrambling,weaken_top_chain_edges_50pct,,original full empirical J,0.8174888461133314,-0.18251115388666805,0.1825111538866686,0.18251115388666805,0.8430034511203872,0.15699654887961279,0.796603604628189,False,False,Stable but not ISN-like because E-only subnetwork is stable
Ablation / scrambling,remove_top_reciprocal_edges,,original full empirical J,0.697973816015506,-0.30202618398449343,0.302026183984494,0.30202618398449343,0.697973816015506,0.302026183984494,0.9477893590937624,False,False,Stable but not ISN-like because E-only subnetwork is stable
Ablation / scrambling,remove_top_convergent_edges,,original full empirical J,1.0312996663650056,0.03129966636500614,-0.031299666365005585,-0.03129966636500614,1.0370792813184884,-0.037079281318488366,0.9504590833287697,False,False,Full network unstable; paradoxical response not interpretable as stable ISN
Ablation / scrambling,remove_top_divergent_edges,,original full empirical J,0.8526251605176303,-0.14737483948236918,0.14737483948236973,0.14737483948236918,0.8627712564005187,0.13722874359948134,0.8617713737703757,False,False,Stable but not ISN-like because E-only subnetwork is stable
Ablation / scrambling,block_shuffle_all,,original full empirical J,0.7593722979978232,-0.2406277020021762,0.24062770200217676,0.2406277020021762,0.846180396266,0.15381960373400005,0.5205130931278268,False,False,Stable but not ISN-like because E-only subnetwork is stable
Chain enrichment on Jeff,chain_multiplier_0,0.0,chain_multiplier_1 on empirical Jeff,0.9054566293497861,-0.13908471805320533,0.0945433706502139,0.13908471805320533,1.012622413251374,-0.01262241325137392,-0.13590580517625483,True,True,"ISN-like: stable full E/I, unstable E-only, paradoxical I response"
Chain enrichment on Jeff,chain_multiplier_0.25,0.25,chain_multiplier_1 on empirical Jeff,0.9395648505069429,-0.10497649689604849,0.06043514949305706,0.10497649689604849,1.0398654853235083,-0.03986548532350831,-0.6420698221951945,True,True,"ISN-like: stable full E/I, unstable E-only, paradoxical I response"
Chain enrichment on Jeff,chain_multiplier_0.5,0.5,chain_multiplier_1 on empirical Jeff,0.974180374140749,-0.07036097326224244,0.025819625859251016,0.07036097326224244,1.0671408924326165,-0.06714089243261645,-2.4238150202477944,True,True,"ISN-like: stable full E/I, unstable E-only, paradoxical I response"
Chain enrichment on Jeff,chain_multiplier_0.75,0.75,chain_multiplier_1 on empirical Jeff,1.0091986549249239,-0.03534269247806754,-0.009198654924923888,0.03534269247806754,1.0944450141907627,-0.09444501419076268,9.177768097238697,False,False,Full network unstable; paradoxical response not interpretable as stable ISN
Chain enrichment on Jeff,chain_multiplier_1,1.0,chain_multiplier_1 on empirical Jeff,1.0445413474029914,-0.0,-0.04454134740299143,0.0,1.1217747510383234,-0.12177475103832336,2.3469918089790878,False,False,Full network unstable; paradoxical response not interpretable as stable ISN
Chain enrichment on Jeff,chain_multiplier_1.25,1.25,chain_multiplier_1 on empirical Jeff,1.0801487745978808,0.03560742719488941,-0.08014877459788083,-0.03560742719488941,1.1491274341859554,-0.14912743418595542,1.5360514050535894,False,False,Full network unstable; paradoxical response not interpretable as stable ISN
Chain enrichment on Jeff,chain_multiplier_1.5,1.5,chain_multiplier_1 on empirical Jeff,1.1159747921683045,0.0714334447653131,-0.11597479216830453,-0.0714334447653131,1.1765007535118002,-0.17650075351180017,1.20982219543035,False,False,Full network unstable; paradoxical response not interpretable as stable ISN
Block removal on J,original,,original J,0.9999999999999994,-0.0,5.551115123125783e-16,0.0,1.0419282697498593,-0.041928269749859304,51753939692257.97,False,False,"E-only unstable, but I-to-I response is not paradoxical"
Block removal on J,remove_E<-E,,original J,0.0743302389496471,-0.9256697610503524,0.9256697610503529,0.9256697610503524,0.0,1.0,0.7244004411370669,False,False,Stable but not ISN-like because E-only subnetwork is stable
