receiver_group,input_group,mean_response,std_response,paradoxical,rank
E,E,1249507721123906.0,904519945042494.2,False,1
E,I,-7320633180647.099,5299414009446.165,False,1
I,E,3990833701446447.0,6876205668069088.0,False,1
I,I,-23381551885868.816,40286409215096.42,True,1
E,E,1249507721123907.8,904519945042494.2,False,2
E,I,-7320633180647.232,5299414009446.157,False,2
I,E,3990833701446457.5,6876205668069096.0,False,2
I,I,-23381551885869.63,40286409215097.07,True,2
E,E,1249507721123908.0,904519945042494.2,False,4
E,I,-7320633180647.24,5299414009446.153,False,4
I,E,3990833701446458.5,6876205668069096.0,False,4
I,I,-23381551885869.637,40286409215096.98,True,4
E,E,1249507721123906.5,904519945042494.2,False,8
E,I,-7320633180647.092,5299414009446.2,False,8
I,E,3990833701446457.5,6876205668069096.0,False,8
I,I,-23381551885869.336,40286409215096.88,True,8
E,E,1249507721123906.5,904519945042494.4,False,12
E,I,-7320633180647.076,5299414009446.223,False,12
I,E,3990833701446457.0,6876205668069098.0,False,12
I,I,-23381551885869.223,40286409215096.66,True,12
