motif,node_1,node_2,node_3,motif_block,composition,weighted_score,abs_weighted_score,edge_1,edge_2
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Back Projection,I->E->I,EII,-0.00012963139321887354,0.00012963139321887354,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Back Projection
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Basket,I->E->I,EII,-6.683531147670677e-05,6.683531147670677e-05,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Basket
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Basket CCK+,I->E->I,EII,-6.221893501777071e-05,6.221893501777071e-05,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Basket CCK+
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Bistratified,I->E->I,EII,-6.385959302656347e-05,6.385959302656347e-05,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Bistratified
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Horizontal Axo Axonic,I->E->I,EII,-0.00010923308190890387,0.00010923308190890387,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Horizontal Axo Axonic
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Horizontal Basket,I->E->I,EII,-0.00016604612258438754,0.00016604612258438754,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Horizontal Basket
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Ivy,I->E->I,EII,-3.252312010769221e-05,3.252312010769221e-05,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Ivy
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 O LM,I->E->I,EII,-2.642197432065324e-05,2.642197432065324e-05,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 O LM
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 O LMR,I->E->I,EII,-2.877113891057813e-05,2.877113891057813e-05,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 O LMR
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 OR LM,I->E->I,EII,-8.648548070338345e-05,8.648548070338345e-05,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 OR LM
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Oriens Alveus,I->E->I,EII,-7.173516263579438e-05,7.173516263579438e-05,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Oriens Alveus
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Oriens Bistratified,I->E->I,EII,-9.309310659962729e-06,9.309310659962729e-06,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Oriens Bistratified
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Perforant Path Associated QuadD,I->E->I,EII,-0.00016262915422769669,0.00016262915422769669,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Perforant Path Associated QuadD
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Quadrilaminar,I->E->I,EII,-3.8875182238015e-05,3.8875182238015e-05,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Quadrilaminar
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Radial Trilaminar,I->E->I,EII,-4.1342440606015125e-05,4.1342440606015125e-05,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Radial Trilaminar
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 Recurrent O LM,I->E->I,EII,-5.3206648586015365e-05,5.3206648586015365e-05,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 Recurrent O LM
chain,CA1 Axo Axonic,CA1 Pyramidal,CA1 SO SO,I->E->I,EII,-0.0001460164252974567,0.0001460164252974567,CA1 Axo Axonic -> CA1 Pyramidal,CA1 Pyramidal -> CA1 SO SO
