receiver,sender,receiver_group,sender_group,weight,dominant_lambda_sensitivity,weighted_sensitivity
EC LI II Multipolar Pyramidal,EC LI II Multipolar Pyramidal,E,E,0.697973816015506,0.7254101885721275,0.5063173174942156
EC LII III Pyramidal Tripolar,EC LI II Multipolar Pyramidal,E,E,1.1007648554201064,0.1384601221237986,0.15241203631105343
EC LI II Multipolar Pyramidal,EC LII III Pyramidal Tripolar,E,E,0.16085052354302015,0.9174347342166201,0.1475698573152949
MEC LII Stellate,EC LI II Multipolar Pyramidal,E,E,0.9207038573654043,0.04096783776276688,0.037719246256099535
EC LI II Multipolar Pyramidal,MEC LII Stellate,E,E,0.0450106337340324,0.7866879243662179,0.035409322026634014
MEC LIII Superficial Multipolar Interneuron,EC LI II Multipolar Pyramidal,I,E,15.570332158163978,-0.0017546898013816015,-0.027321103042054314
EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,E,E,0.28506466310511647,0.0907837071045583,0.02587922688119448
EC LI II Pyramidal Fan,EC LI II Multipolar Pyramidal,E,E,0.10243720915632765,0.23110489121744857,0.023673740078692128
EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,E,I,-0.0016052950722499368,12.476843405880885,-0.020029015236694703
EC LII III Pyramidal Tripolar,EC LII III Pyramidal Tripolar,E,E,0.0868762269844522,0.17511213288896002,0.015213081404592849
EC LI II Multipolar Pyramidal,MEC LIII Complex Pyramidal,E,E,0.021060180278101567,0.5497776733418788,0.011578416913455201
MEC LIII Complex Pyramidal,EC LI II Multipolar Pyramidal,E,E,0.5293464924574882,0.018767266157259755,0.009934386513361575
EC LI II Multipolar Pyramidal,LEC LIII Multipolar Principal,E,E,0.020579451029455416,0.39789492584616265,0.008188459141319899
LEC LIII Complex Pyramidal,EC LI II Multipolar Pyramidal,E,E,0.654400598864941,0.009881998952819342,0.006466786032707697
MEC LII Stellate,EC LII III Pyramidal Tripolar,E,E,0.12165834602665081,0.05181250269353853,0.006303423381197287
LEC LIII Multipolar Principal,EC LI II Multipolar Pyramidal,E,E,0.34462320008105674,0.01750533422942549,0.006032744300633072
EC LI II Multipolar Pyramidal,LEC LIII Complex Pyramidal,E,E,0.009331806959869628,0.5814649341538699,0.005426118519457218
MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,I,I,-0.1789938833343113,-0.030180152171322392,0.005402062636765442
EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,E,I,-0.002127665125439617,2.3814736667790943,-0.005066978467958686
MEC LIII Bipolar Complex Pyramidal,EC LI II Multipolar Pyramidal,E,E,1.1710925488133417,0.0043010063053351205,0.00503687643657716
MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,E,I,-0.014714947928216569,0.322791497403039,-0.004749860075956772
EC LI II Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron,E,I,-0.004934497739541599,0.9185328631259952,-0.004532498336789897
MEC LIII Superficial Trilayered Interneuron,EC LI II Multipolar Pyramidal,I,E,1.0639247463725199,-0.004211434673149337,-0.004480649566494844
EC LII III Pyramidal Tripolar,MEC LII Stellate,E,E,0.029720573982203926,0.15015629473783407,0.004462731266649415
EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,E,E,0.01419274613887115,0.2922810539338866,0.0041482707996853595
MEC LII III Pyramidal Multiform,EC LI II Multipolar Pyramidal,E,E,0.8159287872574925,0.0049556826631417875,0.004043484145370259
EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,E,E,0.004228431281815254,0.834038800283837,0.0035266757533678416
EC LI II Multipolar Pyramidal,MEC LV Pyramidal,E,E,0.01515774658682258,0.21329047381609179,0.003233002951487636
MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,I,E,1.3333665420906033,-0.002219176676759731,-0.0029589759317792392
MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,I,E,1.529039636111346,-0.0019029141022578993,-0.0029096310864675672
MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,E,I,-0.00408795941120305,0.7046348459065686,-0.002880518649785368
EC LI II Multipolar Pyramidal,MEC LII III Pyramidal Multiform,E,E,0.00396078309182121,0.6716116194883783,0.0026601079467402293
MEC LIII Complex Pyramidal,MEC LII Stellate,E,E,0.12194810842437338,0.02035259759494688,0.002481960778226223
MEC LIII Complex Pyramidal,EC LII III Pyramidal Tripolar,E,E,0.09491983728594544,0.023735180605677718,0.002252939481043457
EC LIII Pyramidal Stellate,EC LI II Multipolar Pyramidal,E,E,0.7108423607939733,0.0030755872315087742,0.002186257688473498
CA1 Pyramidal,CA3c Pyramidal,E,E,3.265905649897713,0.0005649834270698607,0.0018451825665660308
CA3 Pyramidal,MEC LII Stellate,E,E,0.14968296379037044,0.010603516760244977,0.001587165815274335
EC LII III Pyramidal Tripolar,LEC LIII Complex Pyramidal,E,E,0.01397630802918561,0.1109850772183444,0.0015511616258465318
MEC LII Stellate,MEC LIII Complex Pyramidal,E,E,0.04551477503107892,0.03104891946912882,0.0014131845845954845
EC LII III Pyramidal Tripolar,EC LI II Pyramidal Fan,E,E,0.08139674611812248,0.01732802126379078,0.0014104445475382058
MEC LV Pyramidal,EC LI II Multipolar Pyramidal,E,E,0.08891375798449158,0.014796639383217344,0.0013156248131031836
LEC LIII Multipolar Principal,CA1 Pyramidal,E,E,0.11463364067085123,0.011160828214538218,0.0012794063711344722
