rank,singular_value,variance_fraction,cumulative_variance_fraction
1,64.07373897580678,0.6219762165407893,0.6219762165407893
2,45.27254961256892,0.3105156900624458,0.9324919066032351
3,16.129379448174557,0.03941385919564779,0.9719057657988829
4,13.0589599439559,0.025836329963295972,0.9977420957621789
5,2.231755139108034,0.0007545825015987254,0.9984966782637776
6,2.0183617810106034,0.0006171797536702276,0.9991138580174479
7,1.6322945095944321,0.00040365532175120147,0.9995175133391991
8,1.3813924985409705,0.00028909982547519007,0.9998066131646743
9,0.9054740388163413,0.00012421259898329158,0.9999308257636577
10,0.5141754189989929,4.005311192049714e-05,0.9999708788755781
11,0.27887041952561215,1.1781987101038645e-05,0.9999826608626792
12,0.18998487350306525,5.468291920020606e-06,0.9999881291545992
13,0.15967925280979173,3.862874746364222e-06,0.9999919920293456
14,0.11387079470730872,1.9644380886795426e-06,0.9999939564674343
15,0.10800360413254517,1.7672180536778362e-06,0.999995723685488
16,0.08539837467157319,1.1048742527187462e-06,0.9999968285597407
17,0.07766821381498065,9.139033682320205e-07,0.9999977424631089
18,0.05582922792109095,4.7221185581362996e-07,0.9999982146749647
19,0.052097772312991,4.111989051550635e-07,0.9999986258738699
20,0.04584062223220656,3.183571813789805e-07,0.9999989442310513
21,0.03995894528391887,2.419032347950053e-07,0.9999991861342861
22,0.03667740423605209,2.0380311918799764e-07,0.9999993899374052
23,0.03114803094158792,1.4698561632725115e-07,0.9999995369230216
24,0.027791485417954828,1.1701382139591238e-07,0.999999653936843
25,0.02355325470356741,8.404570024818201e-08,0.9999997379825433
26,0.020518948644022383,6.378577724724398e-08,0.9999998017683205
27,0.01978864417064213,5.932608935062637e-08,0.9999998610944099
28,0.013546409946367039,2.7801105856842997e-08,0.9999998888955157
29,0.012353004400358,2.311845650120835e-08,0.9999999120139722
30,0.010752458898896247,1.751576965142154e-08,0.9999999295297418
31,0.009275604810524194,1.3034612272075967e-08,0.9999999425643541
32,0.009057589003420883,1.24290765677734e-08,0.9999999549934306
33,0.0073455318655380715,8.174480027380678e-09,0.9999999631679106
34,0.007082880845946279,7.600348639675621e-09,0.9999999707682593
35,0.0065040492958586766,6.408867477619839e-09,0.9999999771771267
36,0.006083547182557787,5.606959308132168e-09,0.9999999827840861
37,0.004836669983585511,3.544104786952453e-09,0.9999999863281909
38,0.004394674806654035,2.925951553400958e-09,0.9999999892541425
39,0.004100757440784422,2.547661980784834e-09,0.9999999918018044
40,0.0038080672834382595,2.196963639481473e-09,0.999999993998768
41,0.0034166787510210984,1.7685687069011182e-09,0.9999999957673368
42,0.0032317626538426896,1.5823135924301712e-09,0.9999999973496504
43,0.0021369525351980258,6.918363788862815e-10,0.9999999980414868
44,0.0019659833940355127,5.855626037639278e-10,0.9999999986270494
45,0.001667010487440032,4.2100795988500927e-10,0.9999999990480574
46,0.0011791140193576778,2.1063243527754357e-10,0.9999999992586898
47,0.001076731241299198,1.7564195864365442e-10,0.9999999994343317
48,0.0008596956355252358,1.1197036315289617e-10,0.999999999546302
49,0.000806246431120295,9.848027515445061e-11,0.9999999996447823
50,0.000685744506561747,7.124236322504166e-11,0.9999999997160246
51,0.0006469986735858103,6.341915096468345e-11,0.9999999997794438
52,0.0005964534899491894,5.389727535003945e-11,0.999999999833341
53,0.0005027218896200953,3.828857774192466e-11,0.9999999998716296
54,0.0004371261838106684,2.8948581363447812e-11,0.9999999999005782
55,0.00037250963525652667,2.10227082895771e-11,0.9999999999216009
56,0.00034848569485102914,1.8398548136745913e-11,0.9999999999399994
57,0.00032146227801478617,1.565574283331809e-11,0.9999999999556551
58,0.0002914351284546937,1.2867596692344617e-11,0.9999999999685227
59,0.00024337722767160086,8.97374082531157e-12,0.9999999999774964
60,0.00022613638704520713,7.747374348518129e-12,0.9999999999852438
61,0.0001573396764410614,3.750508450739978e-12,0.9999999999889944
62,0.00012960448309269629,2.544800207239907e-12,0.9999999999915392
63,0.00012163968904952574,2.2416316271734426e-12,0.9999999999937809
64,0.00011362202775471835,1.955864275267867e-12,0.9999999999957367
65,9.744364888659017e-05,1.438535948962281e-12,0.9999999999971753
66,8.011598543218411e-05,9.724157865271522e-13,0.9999999999981477
67,6.759468456454049e-05,6.922113791775363e-13,0.9999999999988399
68,5.9344947874584595e-05,5.335574009047228e-13,0.9999999999993735
69,4.287704213069698e-05,2.785244201677494e-13,0.9999999999996521
70,3.363755244098117e-05,1.7142036621221175e-13,0.9999999999998235
71,2.2762733969250415e-05,7.849870431685083e-14,0.999999999999902
72,1.7144013880267348e-05,4.4528561168432406e-14,0.9999999999999465
73,1.5543712087644082e-05,3.660354342778216e-14,0.9999999999999831
74,8.399218063199549e-06,1.0687874764224193e-14,0.9999999999999938
75,4.230116906501319e-06,2.710930494863426e-15,0.9999999999999964
76,3.409794285912085e-06,1.7614487031026752e-15,0.9999999999999982
77,2.433314924322875e-06,8.970368466890205e-16,0.9999999999999991
78,1.7800079278141845e-06,4.800179921902733e-16,0.9999999999999996
79,1.3979364041249968e-06,2.9606595635187526e-16,0.9999999999999999
80,6.350838334716268e-07,6.110486065741894e-17,1.0
81,4.6920365636598464e-07,3.3353116349229126e-17,1.0
82,2.3473517241562457e-07,8.34776049176039e-18,1.0
83,9.79407906739208e-08,1.4532517492665016e-18,1.0
84,5.1215529389409434e-08,3.973900374945043e-19,1.0
85,2.3282924594922918e-10,8.212751952711131e-24,1.0
