rank_by_abs,real,imag,abs
1,1.0337424834576134,0.0,1.0337424834576134
2,-0.1612972144508721,0.0,0.1612972144508721
3,9.494032027720296e-17,0.0,9.494032027720296e-17
4,3.1953753217876104e-17,0.0,3.1953753217876104e-17
5,1.745693894210188e-18,0.0,1.745693894210188e-18
6,3.825862808779638e-33,-4.996966538363606e-33,6.293401371049584e-33
7,3.825862808779638e-33,4.996966538363606e-33,6.293401371049584e-33
8,1.2203184014186547e-48,0.0,1.2203184014186547e-48
9,-1.5729844965193737e-49,7.967787786275988e-49,8.12157142635704e-49
10,-1.5729844965193737e-49,-7.967787786275988e-49,8.12157142635704e-49
11,3.5533869429566846e-50,0.0,3.5533869429566846e-50
12,6.223155842976824e-65,0.0,6.223155842976824e-65
