motif,receiver_group,middle_or_sender_group,origin_or_partner_group,n_pairs,correlation
chain,E,E,E,31744,0.006883452471389335
chain,E,E,I,54272,-0.008960378573457281
chain,E,I,E,52576,-0.008893499517602314
chain,E,I,I,89888,0.010803898035335182
chain,I,E,E,54272,-0.00787059729116345
chain,I,E,I,88192,-0.022151576922447472
chain,I,I,E,89888,-0.0021235745563770035
chain,I,I,I,146068,0.0032252423674529237
reciprocal,E,E,E,992,0.0033001448904258117
divergent,E,E,E,31744,0.12244238480458883
convergent,E,E,E,31744,-0.007437550813072556
reciprocal,E,I,E,1696,-0.021105672769069002
divergent,E,I,E,52576,0.01898312362948546
convergent,E,I,I,88192,0.004433220307085546
reciprocal,I,E,I,1696,-0.021105672769069148
divergent,I,E,I,88192,0.13400842127368626
convergent,I,E,E,52576,0.004023418539651242
reciprocal,I,I,I,2756,0.14279037589437846
divergent,I,I,I,146068,0.053115515856470764
convergent,I,I,I,146068,0.025543239750704806
