,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Axo Axonic,0.0,-0.006330829644065845,-0.010682771822681795,-0.022940266609904128,-0.003949559238421184,0.0,-0.007962490569808965,-0.002867282995768482,-0.00034497504718117614,-0.0012085866220029255,-9.099958199485319e-05,-0.0006530445187857006,-0.0007807075149235132,-0.0005812444366308977,-0.0008630263636469945,-0.0004062655342389001,-0.0017508734127060824,-0.0001011600607751288,0.14782521438021368,-2.7556958568183696e-05,-0.0008341293505031269,-0.00032730243336706225,-0.00013482098469205303,0.0029655372160998913,-0.0003860457350892638,-0.0007047507782788639,-0.003490013468014349,-0.0031633992653498934,0.0,-1.9907266683111525e-05,0.2731138391251574,0.0,-0.01612277762774971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46250667497231823,0.0,-0.002042425545936799,5.817554572885695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0412813998405704,0.5536852256292762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006928630822803556
CA1 Back Projection,0.0,-0.007490203263157808,0.0,0.0,-0.004822332325479905,0.0,0.0,-0.005481027453734532,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023432814849534845,-0.00034783125426783183,0.0,0.0,0.5225130924533516,-1.9921851572230305e-05,0.0,-0.0005087957052218218,0.0,0.0077135056860658064,-0.00022854017882925924,-0.0017999762330502074,-0.004210832714538443,-0.004982339669806537,0.0,-4.040339341772503e-05,0.3535881392180817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.237137836109084,0.0,-0.004192693826469546,0.9315889118175581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018202555215317422
CA1 Basket,0.0,-0.014128714792072979,-0.025024621462370087,-0.05090059450583932,-0.009991079418457121,0.0,-0.018446026729921888,-0.007366869358136344,-0.0007672497254993226,-0.0021543902485973514,-0.00015231857913840238,-0.0011836811982194463,-0.001617176967078872,-0.0009306084543527531,-0.002200431840859393,-0.0011769419749004285,-0.0031636783095652663,-0.00019053346935541573,0.2693971299514859,-6.38759998387471e-05,-0.0018667751699576447,-0.0008252264823219847,-0.0003521294990035884,0.004464723070228236,-0.0008267152201950692,-0.0016910851683527577,-0.008555418101343944,-0.007335821891274726,0.0,-8.417661659871649e-05,0.6203507632334433,0.0,-0.0370692392707614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4499755019567855,0.0,-0.005092215364490267,13.448626436843577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031296224992678555,0.42283567908442926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00934636531627075
CA1 Basket CCK+,0.0,-0.013160396721459801,-0.019549581356893442,-0.04242480545252335,-0.009202518977341484,0.0,-0.015948014572528802,-0.006502965452393703,-0.000703047265831138,-0.002315397517006552,-0.00017078995296777985,-0.0012516477217506662,-0.0016174803617252642,-0.00107697090470774,-0.0019538914290470047,-0.0009004638744074742,-0.003262057619279817,-0.00018986780866710594,0.250789622313156,-6.0205248230239746e-05,-0.0016507054185867331,-0.0007210367679308818,-0.00028677821689485506,0.004013211537491643,-0.0007568733399142285,-0.0013388179297754786,-0.007216735188738615,-0.006659266306275785,0.0,-6.88341910252792e-05,0.3814072867491963,0.0,-0.03205509473750064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7431653298008051,0.0,-0.004759133966959209,13.314089769914599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06475988967017518,0.8717710498279312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012124403989749252
CA1 Bistratified,0.0,-0.005938407981749477,-0.011496122836044847,-0.028394529583847358,-0.0055434194031075785,0.0,-0.012760161762960643,-0.004291195284081758,-0.00029212000653422795,0.0,0.0,0.0,-0.00044925224292113967,0.0,-0.0012540494269371867,-0.0005893925891759788,0.0,0.0,0.25740272172176326,-2.9532869971632715e-05,-0.0005681770653294217,-0.00042497960687909025,-0.000183379979436098,0.00304707250811588,-0.0001100041622928087,-0.0008473418885698791,-0.004495152523919907,-0.0040569003646858314,0.0,-3.5643900932714713e-05,0.2581834416194447,0.0,-0.02001472355068456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47612948015476064,0.0,-0.003105485771682197,7.417384403119971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005433345475357408
CA1 Horizontal Axo Axonic,0.0,-0.0061779053363773305,0.0,0.0,-0.0055224958474746535,0.0,0.0,-0.006057239952117469,0.0,0.0,0.0,0.0,0.0,0.0,-0.002464907377256662,-0.0004536976237728676,0.0,0.0,0.440292386043119,-1.551558981094367e-05,0.0,-0.00045771296616128063,0.0,0.005550978044581538,-0.00041777044017532716,-0.003405759996783478,-0.0020659106825470495,-0.0037071304848410413,0.0,-4.451267755598638e-05,0.25076331337888746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2662538486461345,0.0,-0.004089061065475725,0.6795145955665792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Basket,0.0,-0.008719117798152055,-0.027879439906833395,-0.05812453152432552,-0.008746692211818733,0.0,-0.020949828380963466,-0.010002509878687076,0.0,0.0,0.0,0.0,0.0,0.0,-0.004985350220640481,-0.0011286201562052806,0.0,0.0,0.6692921432616736,-3.097758143918647e-05,0.0,-0.0006606651300102238,0.0,0.00703977205489986,-0.0006764329084542591,-0.004051259830141855,-0.003545090846157307,-0.005650315227513122,0.0,-0.00019496294962390083,0.29606921444644146,0.0,-0.043037270165813046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.548459376947176,0.0,-0.007259473244401315,0.6737343746690508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Ivy,0.0,-0.0035735533441355505,-0.007862447272253418,-0.01841028723957126,-0.003238442255071788,0.0,-0.008176481330785029,-0.0025621692441863053,-0.00013057135071482858,0.0,0.0,0.0,-0.00015204149306202622,0.0,-0.0008054639203111574,-0.000230820449069582,0.0,0.0,0.13109290613739893,-1.5802455110317053e-05,-0.0002654065063612531,-0.00025844969290146944,-8.257300926467674e-05,0.0018559734250700264,-6.32789496267531e-05,-0.0005333540767728168,-0.0027664630117189733,-0.0025438040068106607,0.0,-9.47383283573099e-06,0.11567941324527194,0.0,-0.013364226163010515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11542141688571841,0.0,-0.0017560755854922482,3.078385637711056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010887267912143158
CA1 LMR,0.0,-0.02317347233221442,0.0,0.0,-0.014039198780214257,0.0,0.0,-0.003608056402057715,-0.0032447644821284264,-0.010478808262029852,-0.0007302229457589503,-0.005828099821939918,-0.006543968633359306,-0.004822013033651403,0.0,-0.0018144512063936924,-0.014992595200463763,-0.0009078939245700346,0.0,-0.00016736363424442433,-0.008149587604906172,-0.0006853783493625723,-0.0012556982124995182,0.0,-0.002370430877718162,0.0,-0.01075703284653209,-0.006122331123391724,0.0,-4.172968113673535e-05,0.660021337094341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5183061794420439,0.0,-0.0025135089546229413,13.086698098688625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07836831692075169,1.050438902384623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020199984833434215
CA1 Neurogliaform,0.0,-0.0026058314181173284,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021281703180502126,-0.0022718971334171343,-0.000172364066219015,-0.0010599819685940509,-0.0006150958664610545,-0.0009587751436284628,0.0,0.0,-0.0033247156571640218,-0.0001881959512671451,0.0,-1.0698003623665399e-05,-0.0005296812174502991,0.0,0.0,0.0,-0.0004681196192034673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853168166350722,1.1450995975946467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003958811980850293
