edge_label,source_node,target_node,source_idx,target_idx,original_weight
CA1 Pyramidal→CA1 Axo Axonic,CA1 Pyramidal,CA1 Axo Axonic,27,29,50979.62873
CA1 Pyramidal→CA1 Horizontal Axo Axonic,CA1 Pyramidal,CA1 Horizontal Axo Axonic,27,30,34139.20669
CA1 Pyramidal→CA1 Basket,CA1 Pyramidal,CA1 Basket,27,31,42387.40709
CA1 Pyramidal→CA1 Basket CCK+,CA1 Pyramidal,CA1 Basket CCK+,27,32,52663.47034
CA1 Pyramidal→CA1 Horizontal Basket,CA1 Pyramidal,CA1 Horizontal Basket,27,33,111130.9434
CA1 Pyramidal→CA1 Ivy,CA1 Pyramidal,CA1 Ivy,27,34,78455.60289
CA1 Pyramidal→CA1 Recurrent O LM,CA1 Pyramidal,CA1 Recurrent O LM,27,38,172923.8142
CA1 Pyramidal→CA1 O LMR,CA1 Pyramidal,CA1 O LMR,27,39,45331.42552
CA1 Pyramidal→CA1 Oriens Alveus,CA1 Pyramidal,CA1 Oriens Alveus,27,40,48773.83945
CA1 Pyramidal→CA1 Oriens Bistratified,CA1 Pyramidal,CA1 Oriens Bistratified,27,41,54313.14416
CA1 Pyramidal→CA1 OR LM,CA1 Pyramidal,CA1 OR LM,27,42,76314.98469
CA1 Pyramidal→CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Perforant Path Associated QuadD,27,44,50774.80379
CA1 Pyramidal→CA1 SO SO,CA1 Pyramidal,CA1 SO SO,27,48,92632.40647
CA1 Pyramidal→CA1 Trilaminar,CA1 Pyramidal,CA1 Trilaminar,27,49,133386.2001
CA1 Pyramidal→CA1 Radial Trilaminar,CA1 Pyramidal,CA1 Radial Trilaminar,27,50,35009.97556
CA1 Pyramidal→LEC LIII Multipolar Principal,CA1 Pyramidal,LEC LIII Multipolar Principal,27,57,82548.25544
CA1 Pyramidal→EC LIII V Bipolar Pyramidal,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,27,63,309145.2458
CA1 Pyramidal→EC LIV VI Deep Multipolar Principal,CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,27,64,280911.9093
CA1 Pyramidal→EC LV Deep Pyramidal,CA1 Pyramidal,EC LV Deep Pyramidal,27,65,347496.0963
CA1 Pyramidal→MEC LV Multipolar Pyramidal,CA1 Pyramidal,MEC LV Multipolar Pyramidal,27,66,183361.2451
CA1 Pyramidal→MEC LV Pyramidal,CA1 Pyramidal,MEC LV Pyramidal,27,67,156562.7262
CA1 Pyramidal→MEC LV Superficial Pyramidal,CA1 Pyramidal,MEC LV Superficial Pyramidal,27,68,68085.2758
CA1 Pyramidal→MEC LV VI Pyramidal Polymorphic,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,27,69,234917.3183
CA1 Pyramidal→LEC LVI Multipolar Pyramidal,CA1 Pyramidal,LEC LVI Multipolar Pyramidal,27,70,282246.3869
