edge_label,source_node,target_node,source_idx,target_idx,original_weight
DG Granule→DG Mossy,DG Granule,DG Mossy,0,2,1548576.206
DG Granule→DG AIPRIM,DG Granule,DG AIPRIM,0,3,896639.199
DG Granule→DG Axo Axonic,DG Granule,DG Axo Axonic,0,4,708529.9461
DG Granule→DG Basket,DG Granule,DG Basket,0,5,381384.7396
DG Granule→DG HICAP,DG Granule,DG HICAP,0,6,418316.0675
DG Granule→DG HIPP,DG Granule,DG HIPP,0,7,826561.1954
DG Granule→DG HIPROM,DG Granule,DG HIPROM,0,8,1008478.407
DG Granule→DG MOLAX,DG Granule,DG MOLAX,0,9,627179.0249
DG Granule→DG Total Molecular Layer,DG Granule,DG Total Molecular Layer,0,12,601011.362
DG Granule→CA3 Pyramidal,DG Granule,CA3 Pyramidal,0,13,19094.65916
DG Granule→CA3c Pyramidal,DG Granule,CA3c Pyramidal,0,14,105286.8854
DG Granule→CA3 Axo Axonic,DG Granule,CA3 Axo Axonic,0,16,84424.968
DG Granule→CA3 Basket,DG Granule,CA3 Basket,0,17,93333.19129
DG Granule→CA3 LMR Targeting,DG Granule,CA3 LMR Targeting,0,18,31784.51386
DG Granule→CA3 Lucidum ORAX,DG Granule,CA3 Lucidum ORAX,0,19,30282.85445
DG Granule→CA3 Spiny Lucidum,DG Granule,CA3 Spiny Lucidum,0,20,176486.3056
DG Granule→CA3 Mossy Fiber Associated ORDEN,DG Granule,CA3 Mossy Fiber Associated ORDEN,0,21,57172.64004
DG Granule→CA2 Basket,DG Granule,CA2 Basket,0,23,520440.6142
DG Granule→CA2 Wide Arbor Basket,DG Granule,CA2 Wide Arbor Basket,0,24,228861.1305
DG Granule→CA2 Bistratified,DG Granule,CA2 Bistratified,0,25,234548.9368
DG Semilunar Granule→DG Granule,DG Semilunar Granule,DG Granule,1,0,10939.47786
DG Semilunar Granule→DG Mossy,DG Semilunar Granule,DG Mossy,1,2,177762.2689
DG Semilunar Granule→DG AIPRIM,DG Semilunar Granule,DG AIPRIM,1,3,175502.8501
